season,hour,norm_charge_mean,norm_discharge_mean,norm_charge_p50,norm_discharge_p50,sample_count
fall,0,0.05110148067894545,0.028196492219762278,0.029071867100036113,0.0,92
fall,1,0.08150679223268606,0.020414399612666136,0.07583965330444203,0.0,91
fall,2,0.14635346596343346,0.00550839554089825,0.10978692668833515,0.0,91
fall,3,0.16140233908381252,0.0022501875156263024,0.14626218851570963,0.0,91
fall,4,0.09465868187428318,0.005857630993058946,0.06464427591188154,0.0,91
fall,5,0.01794990852412304,0.07646668968445783,0.0,0.04405922715781871,91
fall,6,0.0028811924803257413,0.32342377737827355,0.0,0.3438064283134706,91
fall,7,0.03130419598458602,0.2665182415994984,0.0,0.17515348501263994,91
fall,8,0.37320173506522364,0.05016687898594724,0.3531960996749729,0.0,91
fall,9,0.6498716162854842,0.0036510979089527306,0.6294691224268689,0.0,91
fall,10,0.8071386901289392,0.0,0.8313470566991694,0.0,91
fall,11,0.8409052606235704,0.0,0.8403755868544601,0.0,90
fall,12,0.769659376376603,0.0,0.7053087757313109,0.0,91
fall,13,0.5632920027286225,0.0025199630833433653,0.49476345250993137,0.0,90
fall,14,0.39696165156620195,0.009500791732644388,0.3369447453954496,0.0,91
fall,15,0.18329305219879435,0.027621349398164134,0.12748284579270494,0.0,91
fall,16,0.036245083915723134,0.08778112461752764,0.0,0.050198627663416394,91
fall,17,0.0,0.6375650351815032,0.0,0.6070783676417479,91
fall,18,0.0,1.074244282261617,0.0,1.0704225352112675,91
fall,19,0.0,0.8967255207775251,0.0,0.90465872156013,91
fall,20,0.0,0.6873787101306061,0.0,0.6894185626579993,91
fall,21,0.0,0.4768810099254303,0.0,0.4507042253521127,91
fall,22,0.0013493187924390525,0.18716242226534752,0.0,0.1668472372697725,91
fall,23,0.04284484024462356,0.04871834557641708,0.0007222824124232575,0.0,91
spring,0,0.034591046838444266,0.040047419410554744,0.0,0.00577825929938606,92
spring,1,0.0833137060938653,0.009479956663055256,0.06175514626218852,0.0,92
spring,2,0.11956129194341075,0.0046281030665598945,0.10039725532683279,0.0,92
spring,3,0.11355535666619562,0.004977467929090709,0.1119537739256049,0.0,92
spring,4,0.030551760955925066,0.027234757485829132,0.009389671361502348,0.0,92
spring,5,0.0016643899068883759,0.16212492345376606,0.0,0.15113759479956662,92
spring,6,0.0024573303813965174,0.3136550630426932,0.0,0.3076923076923077,92
spring,7,0.05934884670340885,0.10690564793442932,0.0,0.018057060310581435,92
spring,8,0.14318463736712359,0.02368615259001052,0.12964969302997473,0.0,92
spring,9,0.2505888171840407,0.00786659757878374,0.2275189599133261,0.0,92
spring,10,0.4068962268594846,0.0,0.39797760924521486,0.0,92
spring,11,0.5084161602838884,0.0,0.5193210545323221,0.0,92
spring,12,0.4935033837360844,0.0,0.49440231130371975,0.0,92
spring,13,0.4449926986669179,0.0,0.43752257132538824,0.0,92
spring,14,0.30404164115125537,0.0024808830687581456,0.28945467677862047,0.0,92
spring,15,0.1505291503760579,0.00880085417746165,0.12784398699891658,0.0,92
spring,16,0.05536451709140013,0.01658501735047969,0.021668472372697724,0.0,92
spring,17,0.01865372839040935,0.09672303609841883,0.0,0.01607078367641748,92
spring,18,0.0,0.4049335029126823,0.0,0.40520043336944744,92
spring,19,0.0,0.7120134407335877,0.0,0.6901408450704225,92
spring,20,0.0,0.6572181135867602,0.0,0.6672083784759841,92
spring,21,0.0,0.5009813619734012,0.0,0.5030697002527988,92
spring,22,0.0030147439822883794,0.19172672601943883,0.0,0.18436258577103648,92
spring,23,0.018267395298814583,0.03142722210977899,0.0,0.00036114120621162876,91
summer,0,0.05839103741736933,0.022991348312842493,0.033947273383893105,0.0,92
summer,1,0.1085700378413177,0.005322907343727919,0.09064644275911882,0.0,92
summer,2,0.14762824438268407,0.0011344544412517467,0.12387143373058865,0.0,92
summer,3,0.1660150423163283,0.0007850895787209322,0.13994221740700613,0.0,92
summer,4,0.09980058724700487,0.006206133119788969,0.059407728421812925,0.0,92
summer,5,0.02480883068758145,0.05202788638183617,0.0,0.016973636691946552,92
summer,6,0.0305792390911803,0.0615745756590827,0.0,0.014084507042253521,92
summer,7,0.27957824987831115,0.0030422221175436114,0.24954857349223547,0.0,92
summer,8,0.5569739507277781,0.0,0.5628385698808234,0.0,92
summer,9,0.6010567305729584,0.0,0.6133983387504514,0.0,92
summer,10,0.5864893934397915,0.0,0.5843264716504153,0.0,92
summer,11,0.453004537817765,0.0,0.4582881906825569,0.0,92
summer,12,0.28681677579411813,0.0009224802549970953,0.27916215240158904,0.0,92
summer,13,0.14795405655785326,0.01317380313093724,0.10274467316720838,0.0,92
summer,14,0.06436164366354201,0.03396690062336112,0.015529071867100036,0.0,92
summer,15,0.02690501986276634,0.06771005071678679,0.0,0.036475261827374504,92
summer,16,0.022802926813949468,0.07977295209383391,0.0,0.046406644998194295,92
summer,17,0.004663432097602336,0.18594846672005277,0.0,0.14626218851570966,92
summer,18,0.0,0.6167271185642281,0.0,0.6215240158902131,92
summer,19,0.0,0.9777662631306233,0.0,0.9853737811484291,92
summer,20,0.0,0.8537652896195455,0.0,0.8690863127482846,92
summer,21,0.0,0.5902853015529073,0.0,0.6076200794510653,92
summer,22,0.0010363182439116303,0.21504781195534414,0.0,0.21776814734561212,92
summer,23,0.03289132790051345,0.029601802565672745,0.0,0.00288912964969303,92
winter,0,0.05047148990810963,0.03641105894627022,0.026182737450343087,0.0,90
winter,1,0.07837165442799245,0.026744512660005614,0.048392921632358255,0.0,90
winter,2,0.13506681112314917,0.010942578548212352,0.11105092091007585,0.0,90
winter,3,0.13302034428794993,0.007431483487821516,0.09516070783676417,0.0,90
winter,4,0.08284980538501666,0.023397937482444526,0.020043336944745395,0.0,90
winter,5,0.031018016933509893,0.10056177520966254,0.0,0.05922715781870711,90
winter,6,0.00223506279844308,0.2788170619156535,0.0,0.24033947273383893,90
winter,7,0.0067934673568476375,0.2644717306689138,0.0,0.24142289635247383,90
winter,8,0.08113237831547691,0.09483568075117368,0.018779342723004695,0.0,90
winter,9,0.2632398378877252,0.013438465551141606,0.26236908631274825,0.0,90
winter,10,0.4840696601259982,0.00198226395409494,0.4916937522571325,0.0,90
winter,11,0.6484932386340837,0.000248786164279122,0.6115926327193932,0.0,90
winter,12,0.67294651097468,0.0012118293808434653,0.641025641025641,0.0,90
winter,13,0.5877412623891497,0.0017575538702299263,0.5315998555435175,0.0,90
winter,14,0.4136952770755587,0.004642670839853938,0.31220657276995306,0.0,90
winter,15,0.19760041731872716,0.020424541551302113,0.09154929577464789,0.0,90
winter,16,0.018462340997552267,0.17543437261747122,0.0,0.14608161791260382,90
winter,17,0.0,0.5988563861803298,0.0,0.6189960274467317,90
winter,18,0.0,0.6658681433329321,0.0,0.6475261827374503,90
winter,19,0.0,0.5722523173227398,0.0,0.5599494402311304,90
winter,20,0.0,0.4516391798081939,0.0,0.4344528710725894,90
winter,21,0.002676457606035071,0.29509249227559087,0.0,0.2562296858071506,90
winter,22,0.01060551342241483,0.15883792785201234,0.0,0.0879378837125316,90
winter,23,0.03159183018337948,0.07046266201195779,0.0,0.012278801011195377,90
