case_name,load_scale,model,n_scenarios,seed,lolh_hours,eue_mwh,neue_ppm,cvar_eue_mwh,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,lolh_ci95_halfwidth,lolh_ci95_rel_halfwidth,runtime_s
load_scale_120,1.2,M1,10,42,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,13.958264457541512,0.138888203557627,0.9679999351501465
load_scale_120,1.2,M3,10,42,7.7,3245.3653570434426,72.00148620789756,9712.357466792264,2284.704542896609,0.7039899338107176,5.044224155738257,0.6550940461997736,3674.861000061035
load_scale_1225,1.225,M1,10,42,146.3,55732.04485712509,1211.23385258029,81228.91549487512,10303.713324139106,0.18487951322356375,15.21313005999167,0.1039858514011734,1.2079999446868896
load_scale_1225,1.225,M3,10,42,15.2,7728.070150774649,167.95544117805363,20847.379560542104,4310.882056101677,0.5578212894029646,7.332484314488659,0.48240028384793815,3651.638000011444
load_scale_125,1.25,M1,10,42,196.6,85503.79362325,1821.1028831527478,115170.95285125001,12952.629424509261,0.15148602039321926,19.473717627156407,0.09905248030089729,1.308000087738037
load_scale_125,1.25,M3,10,42,26.6,14643.681281729083,311.8885030953217,34060.46033941587,6420.279258173857,0.4384334194834217,9.09143323256692,0.3417832042318391,3661.694999933243
load_scale_1275,1.275,M1,10,42,250.4,124018.37921072988,2589.6136618005175,158554.7219160498,16348.801241863142,0.1318256321837874,23.101038899197203,0.09225654512458947,0.47099995613098145
load_scale_1275,1.275,M3,10,42,45.2,26356.06691283905,550.338033630031,51062.57934570865,8639.269993191036,0.3277905622929845,11.46893124924899,0.25373741701878294,3652.78200006485
load_scale_130,1.3,M1,10,42,313.3,172564.82156548012,3534.0120457148264,212706.93636410008,20060.08487738711,0.116246664270303,22.844349109182822,0.07291525409889187,0.4330000877380371
load_scale_130,1.3,M3,10,42,70.9,44821.02009694511,917.9044922764043,74206.21089938667,10870.527255947087,0.24253190205030598,13.009210344128416,0.1834867467437012,3658.1210000514984
load_scale_135,1.35,M1,10,42,450.0,301007.62360112526,5936.122267994362,351336.06452610024,27378.073044506604,0.09095474964044817,20.598140153367673,0.0457736447852615,1.5450000762939453
load_scale_135,1.35,M3,10,42,150.1,107988.84322051945,2129.6303703780386,146979.2411706605,16430.051918886005,0.15214582755863854,17.45133928002853,0.11626475203216877,3701.3849999904633
