model,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M3,1,6.0,1779.4778133961331,636.8230188653783,5.0,1.2,8.836000204086304
M3,2,6.0,2522.2746481307545,781.0900187999996,3.0,2.0,9.135999917984009
M3,3,6.0,2519.0376033961334,854.0680419999999,3.0,2.0,8.884000062942505
M3,4,14.0,7004.091136661509,1000.4025376,4.0,3.5,9.264000177383423
M3,5,24.0,9712.357466792264,1085.7195783999996,7.0,3.4285714285714284,9.380000114440918
M3,6,21.0,8239.83785026151,836.3365812000002,4.0,5.25,8.973000049591064
M3,7,4.0,676.5770517961292,225.68144159999883,3.0,1.3333333333333333,9.103999853134155
M3,8,0.0,0.0,0.0,0.0,0.0,9.329999923706055
M3,9,0.0,0.0,0.0,0.0,0.0,9.157000064849854
M3,10,0.0,0.0,0.0,0.0,0.0,8.72000002861023
M3,11,7.0,3237.736763730755,911.0900187999996,2.0,3.5,8.593000173568726
M3,12,0.0,0.0,0.0,0.0,0.0,8.819999933242798
M3,13,0.0,0.0,0.0,0.0,0.0,8.746000051498413
M3,14,2.0,839.7710056653752,511.7822120000001,1.0,2.0,8.453999996185303
M3,15,16.0,9853.506778661507,1347.7195783999996,4.0,4.0,8.894999980926514
M3,16,3.0,102.97820926537509,45.52982239999983,2.0,1.5,9.295000076293945
M3,17,0.0,0.0,0.0,0.0,0.0,8.418999910354614
M3,18,10.0,3095.745364930748,985.1041924653767,2.0,5.0,8.047000169754028
M3,19,0.0,0.0,0.0,0.0,0.0,8.304999828338623
M3,20,0.0,0.0,0.0,0.0,0.0,8.88099980354309
M2,1,7.0,1779.4778133961336,805.7195783999996,6.0,1.1666666666666667,1.0739998817443848
M2,2,7.0,2522.274648130755,934.837098,5.0,1.4,0.3429999351501465
M2,3,4.0,2519.037603396134,846.7596492653784,4.0,1.0,0.5830001831054688
M2,4,14.0,7004.091136661509,1042.7195783999996,4.0,3.5,0.3539998531341553
M2,5,24.0,9712.357466792264,1302.4009067999996,11.0,2.1818181818181817,0.3940000534057617
M2,6,18.0,8239.837850261509,1155.7642731999986,7.0,2.5714285714285716,0.43900012969970703
M2,7,3.0,676.57705179613,429.20357566537587,3.0,1.0,0.40599989891052246
M2,8,0.0,0.0,0.0,0.0,0.0,0.3399999141693115
M2,9,0.0,0.0,0.0,0.0,0.0,0.39499998092651367
M2,10,0.0,0.0,0.0,0.0,0.0,0.6160001754760742
M2,11,7.0,3237.7367637307543,989.837098,4.0,1.75,0.3379998207092285
M2,12,0.0,0.0,0.0,0.0,0.0,0.40000009536743164
M2,13,0.0,0.0,0.0,0.0,0.0,0.3880000114440918
M2,14,2.0,839.771005665375,611.4300863999988,2.0,1.0,0.3340001106262207
M2,15,17.0,9853.506778661507,1439.837098,8.0,2.125,0.3379998207092285
M2,16,3.0,102.97820926537497,45.52982239999983,2.0,1.5,0.3710000514984131
M2,17,0.0,0.0,0.0,0.0,0.0,0.6679999828338623
M2,18,9.0,3095.745364930748,1090.8992683999986,2.0,4.5,0.33500003814697266
M2,19,0.0,0.0,0.0,0.0,0.0,0.3919999599456787
M2,20,0.0,0.0,0.0,0.0,0.0,0.3359999656677246
M1,1,93.0,29464.531872399966,1057.5103431999987,27.0,3.4444444444444446,0.0
M1,2,127.0,40276.92264119996,1047.4009067999987,34.0,3.735294117647059,0.0
M1,3,101.0,35615.93109359997,1076.7977315999997,31.0,3.2580645161290325,0.0
M1,4,128.0,49491.39154559995,1259.4009067999987,31.0,4.129032258064516,0.0
M1,5,129.0,54383.20719439995,1302.4009067999987,28.0,4.607142857142857,0.0
M1,6,97.0,39633.035714399964,1332.3098683999997,28.0,3.4642857142857144,0.0
M1,7,102.0,36566.712325199966,887.4009067999987,25.0,4.08,0.0
M1,8,90.0,24945.436746799973,822.4009067999987,27.0,3.3333333333333335,0.0
M1,9,61.0,13900.730931999982,684.4151787999999,21.0,2.9047619047619047,0.0
M1,10,77.0,19638.346831999974,928.415178799999,26.0,2.9615384615384617,0.0
M1,11,116.0,40313.85112839996,1102.4009067999987,28.0,4.142857142857143,0.0
M1,12,74.0,19869.128942399977,719.1027760000006,22.0,3.3636363636363638,0.0
M1,13,89.0,23746.44494479997,894.5298223999998,30.0,2.966666666666667,0.0
M1,14,64.0,18393.798245999984,778.5207527999992,19.0,3.3684210526315788,0.0
M1,15,99.0,43791.13605639996,1552.4009067999987,27.0,3.6666666666666665,0.0
M1,16,92.0,23056.623701599965,1028.5298223999998,31.0,2.967741935483871,0.0
M1,17,69.0,14618.263687599972,628.4009067999987,22.0,3.1363636363636362,0.0
M1,18,102.0,34907.47428799997,1152.3098683999997,26.0,3.923076923076923,0.0
M1,19,94.0,27280.860125999963,831.6539771999996,25.0,3.76,0.0
M1,20,104.0,30448.88220039996,921.9917112000003,32.0,3.25,0.0
M1c,1,6.0,1779.4778133961363,636.8230188653779,5.0,1.2,0.0
M1c,2,6.0,2522.2746481307568,781.0900187999996,3.0,2.0,0.0
M1c,3,6.0,2519.0376033961284,854.0680419999999,3.0,2.0,0.0
M1c,4,14.0,7004.091136661507,1000.4025376,4.0,3.5,0.0
M1c,5,24.0,9712.357466792266,1085.7195783999996,7.0,3.4285714285714284,0.0
M1c,6,21.0,8239.837850261514,836.3365812000002,4.0,5.25,0.0
M1c,7,4.0,676.5770517961282,225.68144159999883,3.0,1.3333333333333333,0.0
M1c,8,0.0,0.0,0.0,0.0,0.0,0.0
M1c,9,0.0,0.0,0.0,0.0,0.0,0.0
M1c,10,0.0,0.0,0.0,0.0,0.0,0.0
M1c,11,7.0,3237.7367637307552,911.0900187999996,2.0,3.5,0.0
M1c,12,0.0,0.0,0.0,0.0,0.0,0.0
M1c,13,0.0,0.0,0.0,0.0,0.0,0.0
M1c,14,2.0,839.7710056653759,511.7822120000001,1.0,2.0,0.0
M1c,15,16.0,9853.506778661507,1347.7195783999996,4.0,4.0,0.0
M1c,16,3.0,102.97820926537406,45.52982239999983,2.0,1.5,0.0
M1c,17,0.0,0.0,0.0,0.0,0.0,0.0
M1c,18,10.0,3095.745364930747,985.1041924653755,2.0,5.0,0.0
M1c,19,0.0,0.0,0.0,0.0,0.0,0.0
M1c,20,0.0,0.0,0.0,0.0,0.0,0.0
M1b,1,77.0,26714.720508432656,1057.5103431999987,20.0,3.85,0.0
M1b,2,116.0,37527.111277232645,1047.4009067999987,30.0,3.8666666666666667,0.0
M1b,3,91.0,32866.11972963266,1076.7977315999997,28.0,3.25,0.0
M1b,4,119.0,47276.46728003264,1259.4009067999987,28.0,4.25,0.0
M1b,5,116.0,51633.395830432644,1302.4009067999987,24.0,4.833333333333333,0.0
M1b,6,82.0,36755.830083232664,1332.3098683999997,22.0,3.727272727272727,0.0
M1b,7,95.0,33816.900961232655,887.4009067999987,23.0,4.130434782608695,0.0
M1b,8,78.0,21310.925382832662,822.4009067999987,25.0,3.12,0.0
M1b,9,50.0,11150.91956803267,684.4151787999999,17.0,2.9411764705882355,0.0
M1b,10,63.0,16888.535468032664,928.415178799999,21.0,3.0,0.0
M1b,11,107.0,38192.926862832646,1102.4009067999987,25.0,4.28,0.0
M1b,12,66.0,17119.317578432667,714.837098,20.0,3.3,0.0
M1b,13,74.0,20795.239627632654,894.5298223999998,23.0,3.217391304347826,0.0
M1b,14,51.0,15643.986882032672,778.5207527999992,15.0,3.4,0.0
M1b,15,85.0,40808.88215643266,1552.4009067999987,20.0,4.25,0.0
M1b,16,78.0,20306.81233763266,1028.5298223999998,25.0,3.12,0.0
M1b,17,50.0,11868.452323632662,628.4009067999987,14.0,3.5714285714285716,0.0
M1b,18,95.0,32157.662924032662,1152.3098683999997,25.0,3.8,0.0
M1b,19,80.0,24914.821059232658,831.6539771999996,18.0,4.444444444444445,0.0
M1b,20,98.0,27699.07083643265,921.9917112000003,31.0,3.161290322580645,0.0
HOPE-ED,1,6.0,1779.477813396131,540.6860412653765,6.0,1.0,121.8
HOPE-ED,2,6.0,2522.274648130752,1024.602470465376,6.0,1.0,121.8
HOPE-ED,3,8.0,2519.0376033961325,1076.7977315999997,6.0,1.3333333333333333,121.2
HOPE-ED,4,16.0,7004.0911366615055,1239.700264,10.0,1.6,120.6
HOPE-ED,5,23.0,9712.357466792262,1144.6539771999996,14.0,1.6428571428571428,121.8
HOPE-ED,6,18.0,8239.837850261516,1332.3098683999997,10.0,1.8,118.87000012397766
HOPE-ED,7,5.0,676.5770517961251,321.55222046537705,5.0,1.0,117.16000008583069
HOPE-ED,8,0.0,0.0,0.0,0.0,0.0,117.10399985313416
HOPE-ED,9,0.0,0.0,0.0,0.0,0.0,113.37199997901917
HOPE-ED,10,0.0,0.0,0.0,0.0,0.0,117.64300012588501
HOPE-ED,11,8.0,3237.736763730753,1102.4009067999978,6.0,1.3333333333333333,111.89300012588501
HOPE-ED,12,0.0,0.0,0.0,0.0,0.0,117.34599995613098
HOPE-ED,13,0.0,0.0,0.0,0.0,0.0,118.76200008392334
HOPE-ED,14,2.0,839.7710056653738,625.3629768653751,2.0,1.0,117.16699981689453
HOPE-ED,15,20.0,9853.506778661502,1552.4009067999978,13.0,1.5384615384615385,118.34299993515015
HOPE-ED,16,3.0,102.978209265376,45.52982239999983,2.0,1.5,116.82100009918213
HOPE-ED,17,0.0,0.0,0.0,0.0,0.0,116.49000000953674
HOPE-ED,18,10.0,3095.74536493075,1041.5207527999992,5.0,2.0,112.8270001411438
HOPE-ED,19,0.0,0.0,0.0,0.0,0.0,116.49699997901917
HOPE-ED,20,0.0,0.0,0.0,0.0,0.0,118.03600001335144
HOPE-UC,1,9.0,1779.4778133961322,668.2972087999997,7.0,1.2857142857142858,623.2
HOPE-UC,2,7.0,2522.274648130753,645.939763599999,6.0,1.1666666666666667,552.5
HOPE-UC,3,9.0,2519.037603396132,722.1931183999975,6.0,1.5,545.5
HOPE-UC,4,22.0,7004.091136661509,1125.0946080653791,10.0,2.2,545.4
HOPE-UC,5,29.0,9712.357466792266,1211.0946080653791,12.0,2.4166666666666665,616.3
HOPE-UC,6,18.0,8239.837850261512,1332.3098683999997,9.0,2.0,595.0990002155304
HOPE-UC,7,5.0,676.5770517961272,321.5522204653771,5.0,1.0,545.444000005722
HOPE-UC,8,0.0,0.0,0.0,0.0,0.0,573.074000120163
HOPE-UC,9,0.0,0.0,0.0,0.0,0.0,545.7489998340607
HOPE-UC,10,0.0,0.0,0.0,0.0,0.0,639.5439999103546
HOPE-UC,11,9.0,3237.736763730755,944.6539771999996,4.0,2.25,576.2699999809265
HOPE-UC,12,0.0,0.0,0.0,0.0,0.0,530.9409999847412
HOPE-UC,13,0.0,0.0,0.0,0.0,0.0,526.0840001106262
HOPE-UC,14,2.0,839.7710056653759,625.3629768653768,2.0,1.0,603.1330001354218
HOPE-UC,15,21.0,9853.506778661507,1552.4009067999996,13.0,1.6153846153846154,545.3430001735687
HOPE-UC,16,3.0,102.97820926537358,45.52982239999983,2.0,1.5,614.2820000648499
HOPE-UC,17,0.0,0.0,0.0,0.0,0.0,572.8900001049042
HOPE-UC,18,11.0,3095.745364930749,938.3923464653772,6.0,1.8333333333333333,587.4199998378754
HOPE-UC,19,0.0,0.0,0.0,0.0,0.0,560.0539999008179
HOPE-UC,20,0.0,0.0,0.0,0.0,0.0,540.2159998416901
