case_folder,mode,hour,load_shed_mw
RAChronoOps_VRE120_base_s001_ED,ED,4983,135.5378843999997
RAChronoOps_VRE120_base_s001_ED,ED,4986,540.6860412653765
RAChronoOps_VRE120_base_s001_ED,ED,4989,409.9164291999996
RAChronoOps_VRE120_base_s001_ED,ED,5006,169.78032959999928
RAChronoOps_VRE120_base_s001_ED,ED,5010,101.76964566537788
RAChronoOps_VRE120_base_s001_ED,ED,6066,421.7874832653781
RAChronoOps_VRE120_base_s001_UC,UC,4983,135.5378843999997
RAChronoOps_VRE120_base_s001_UC,UC,4984,668.2972087999997
RAChronoOps_VRE120_base_s001_UC,UC,4986,39.400906799999575
RAChronoOps_VRE120_base_s001_UC,UC,4989,242.9043548653778
RAChronoOps_VRE120_base_s001_UC,UC,5006,169.7803296000002
RAChronoOps_VRE120_base_s001_UC,UC,5010,101.76964566537742
RAChronoOps_VRE120_base_s001_UC,UC,6063,249.31983640000044
RAChronoOps_VRE120_base_s001_UC,UC,6066,74.51034319999872
RAChronoOps_VRE120_base_s001_UC,UC,6067,97.95730366537884
RAChronoOps_VRE120_base_s002_ED,ED,4983,84.53788439999971
RAChronoOps_VRE120_base_s002_ED,ED,4986,1024.602470465376
RAChronoOps_VRE120_base_s002_ED,ED,5005,450.34828480000033
RAChronoOps_VRE120_base_s002_ED,ED,5007,645.9397635999994
RAChronoOps_VRE120_base_s002_ED,ED,5011,274.6102116653781
RAChronoOps_VRE120_base_s002_ED,ED,5013,42.23603319999893
RAChronoOps_VRE120_base_s002_UC,UC,4983,84.53788439999971
RAChronoOps_VRE120_base_s002_UC,UC,4984,617.2972087999995
RAChronoOps_VRE120_base_s002_UC,UC,4986,407.3052616653773
RAChronoOps_VRE120_base_s002_UC,UC,5005,450.3482847999999
RAChronoOps_VRE120_base_s002_UC,UC,5007,645.939763599999
RAChronoOps_VRE120_base_s002_UC,UC,5011,274.6102116653785
RAChronoOps_VRE120_base_s002_UC,UC,5013,42.23603319999938
RAChronoOps_VRE120_base_s003_ED,ED,4984,424.6024704653764
RAChronoOps_VRE120_base_s003_ED,ED,5055,1.7416116000003967
RAChronoOps_VRE120_base_s003_ED,ED,5056,503.5883323999997
RAChronoOps_VRE120_base_s003_ED,ED,5061,20.152421265379303
RAChronoOps_VRE120_base_s003_ED,ED,5078,11.981915199999094
RAChronoOps_VRE120_base_s003_ED,ED,5079,459.8852732000005
RAChronoOps_VRE120_base_s003_ED,ED,5081,20.2878476653774
RAChronoOps_VRE120_base_s003_ED,ED,5084,1076.7977315999997
RAChronoOps_VRE120_base_s003_UC,UC,4984,424.60247046537614
RAChronoOps_VRE120_base_s003_UC,UC,5055,1.7416116000003967
RAChronoOps_VRE120_base_s003_UC,UC,5056,503.5883324000001
RAChronoOps_VRE120_base_s003_UC,UC,5061,20.152421265378962
RAChronoOps_VRE120_base_s003_UC,UC,5078,11.981915199999094
RAChronoOps_VRE120_base_s003_UC,UC,5079,459.88527320000026
RAChronoOps_VRE120_base_s003_UC,UC,5081,722.1931183999975
RAChronoOps_VRE120_base_s003_UC,UC,5083,281.09472926537967
RAChronoOps_VRE120_base_s003_UC,UC,5084,93.79773159999968
RAChronoOps_VRE120_base_s004_ED,ED,4406,34.52800959999968
RAChronoOps_VRE120_base_s004_ED,ED,4410,1239.700264
RAChronoOps_VRE120_base_s004_ED,ED,4411,164.50396759999967
RAChronoOps_VRE120_base_s004_ED,ED,4412,391.47177246537706
RAChronoOps_VRE120_base_s004_ED,ED,4985,1101.6539771999996
RAChronoOps_VRE120_base_s004_ED,ED,4986,276.40090679999867
RAChronoOps_VRE120_base_s004_ED,ED,4987,503.8280080653793
RAChronoOps_VRE120_base_s004_ED,ED,4988,59.71957839999959
RAChronoOps_VRE120_base_s004_ED,ED,5005,172.34828480000033
RAChronoOps_VRE120_base_s004_ED,ED,5007,677.9397635999994
RAChronoOps_VRE120_base_s004_ED,ED,5009,466.6102116653783
RAChronoOps_VRE120_base_s004_ED,ED,5013,229.23603319999893
RAChronoOps_VRE120_base_s004_ED,ED,5029,63.5492211999981
RAChronoOps_VRE120_base_s004_ED,ED,5030,619.5657611999995
RAChronoOps_VRE120_base_s004_ED,ED,5032,17.639694465375726
RAChronoOps_VRE120_base_s004_ED,ED,5035,985.3956824000015
RAChronoOps_VRE120_base_s004_UC,UC,4406,34.52800959999968
RAChronoOps_VRE120_base_s004_UC,UC,4407,430.2452443999982
RAChronoOps_VRE120_base_s004_UC,UC,4409,698.2881148000006
RAChronoOps_VRE120_base_s004_UC,UC,4410,256.70026400000006
RAChronoOps_VRE120_base_s004_UC,UC,4411,164.50396759999967
RAChronoOps_VRE120_base_s004_UC,UC,4412,17.40253759999996
RAChronoOps_VRE120_base_s004_UC,UC,4413,228.53587566537894
RAChronoOps_VRE120_base_s004_UC,UC,4984,474.2972087999997
RAChronoOps_VRE120_base_s004_UC,UC,4985,118.65397719999964
RAChronoOps_VRE120_base_s004_UC,UC,4986,1125.0946080653791
RAChronoOps_VRE120_base_s004_UC,UC,4987,163.83709799999997
RAChronoOps_VRE120_base_s004_UC,UC,4988,59.71957839999959
RAChronoOps_VRE120_base_s004_UC,UC,5005,172.34828479999987
RAChronoOps_VRE120_base_s004_UC,UC,5006,443.7803296000002
RAChronoOps_VRE120_base_s004_UC,UC,5008,529.3810847999994
RAChronoOps_VRE120_base_s004_UC,UC,5010,171.3885608653784
RAChronoOps_VRE120_base_s004_UC,UC,5013,229.23603319999938
RAChronoOps_VRE120_base_s004_UC,UC,5029,63.549221199998556
RAChronoOps_VRE120_base_s004_UC,UC,5030,619.5657612
RAChronoOps_VRE120_base_s004_UC,UC,5032,502.72428719999743
RAChronoOps_VRE120_base_s004_UC,UC,5034,497.9154072653792
RAChronoOps_VRE120_base_s004_UC,UC,5035,2.395682400001533
RAChronoOps_VRE120_base_s005_ED,ED,4959,206.51810040000055
RAChronoOps_VRE120_base_s005_ED,ED,4962,559.0483132653806
