"case_folder","mode","lolh","lolp_percent","lole_days","eue_mwh","ann_tol_mwh","eue_ann_tol_error_pct","cvar_eue_mwh","max_shortfall_mw","n_shortage_events","mean_shortage_duration_h","p95_shortage_duration_h","runtime_s"
"RAChronoOps_VRE120_base_s001_ED","ED","6.0","0.0684931506849315","3.0","1779.477813396131","1779.477813396131","0.0","1779.477813396131","540.6860412653765","6","1.0","1.0","121.8"
"RAChronoOps_VRE120_base_s001_UC","UC","9.0","0.10273972602739725","3.0","1779.4778133961322","1779.4778133961322","0.0","1779.4778133961322","668.2972087999997","7","1.2857142857142858","2.0","623.2"
"RAChronoOps_VRE120_base_s002_ED","ED","6.0","0.0684931506849315","2.0","2522.274648130752","2522.274648130752","0.0","2522.274648130752","1024.602470465376","6","1.0","1.0","121.8"
"RAChronoOps_VRE120_base_s002_UC","UC","7.0","0.07990867579908677","2.0","2522.274648130753","2522.274648130753","0.0","2522.274648130753","645.939763599999","6","1.1666666666666667","1.7499999999999991","552.5"
"RAChronoOps_VRE120_base_s003_ED","ED","8.0","0.091324200913242","3.0","2519.0376033961325","2519.0376033961325","0.0","2519.0376033961325","1076.7977315999997","6","1.3333333333333333","2.0","121.2"
"RAChronoOps_VRE120_base_s003_UC","UC","9.0","0.10273972602739725","3.0","2519.037603396132","2519.0376033961315","1.8052424079473052e-14","2519.037603396132","722.1931183999975","6","1.5","2.0","545.5"
"RAChronoOps_VRE120_base_s004_ED","ED","16.0","0.182648401826484","4.0","7004.0911366615055","7004.0911366615055","0.0","7004.0911366615055","1239.700264","10","1.6","3.5500000000000007","120.6"
"RAChronoOps_VRE120_base_s004_UC","UC","22.0","0.2511415525114155","4.0","7004.091136661509","7004.091136661508","1.2985192283012437e-14","7004.091136661509","1125.0946080653791","10","2.2","5.0","545.4"
"RAChronoOps_VRE120_base_s005_ED","ED","23.0","0.2625570776255708","6.0","9712.357466792262","9712.357466792262","0.0","9712.357466792262","1144.6539771999996","14","1.6428571428571428","3.3499999999999996","121.8"
"RAChronoOps_VRE120_base_s005_UC","UC","29.0","0.3310502283105023","6.0","9712.357466792266","9712.357466792268","1.8728608473948806e-14","9712.357466792266","1211.0946080653791","12","2.4166666666666665","6.0","616.3"
"RAChronoOps_VRE120_base_s006_ED","ED","18.0","0.2054794520547945","4.0","8239.837850261516","8239.837850261516","0.0","8239.837850261516","1332.3098683999997","10","1.8","3.5500000000000007","118.87000012397766"
"RAChronoOps_VRE120_base_s006_UC","UC","18.0","0.2054794520547945","4.0","8239.837850261512","8239.83785026151","2.207554853143289e-14","8239.837850261512","1332.3098683999997","9","2.0","3.5999999999999996","595.0990002155304"
"RAChronoOps_VRE120_base_s007_ED","ED","5.0","0.05707762557077625","3.0","676.5770517961251","676.5770517961251","0.0","676.5770517961251","321.55222046537705","5","1.0","1.0","117.16000008583069"
"RAChronoOps_VRE120_base_s007_UC","UC","5.0","0.05707762557077625","3.0","676.5770517961272","676.5770517961272","0.0","676.5770517961272","321.5522204653771","5","1.0","1.0","545.444000005722"
"RAChronoOps_VRE120_base_s008_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","117.10399985313416"
"RAChronoOps_VRE120_base_s008_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","573.074000120163"
"RAChronoOps_VRE120_base_s009_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","113.37199997901917"
"RAChronoOps_VRE120_base_s009_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","545.7489998340607"
"RAChronoOps_VRE120_base_s010_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","117.64300012588501"
"RAChronoOps_VRE120_base_s010_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","639.5439999103546"
"RAChronoOps_VRE120_base_s011_ED","ED","8.0","0.091324200913242","2.0","3237.736763730753","3237.736763730753","0.0","3237.736763730753","1102.4009067999978","6","1.3333333333333333","2.0","111.89300012588501"
"RAChronoOps_VRE120_base_s011_UC","UC","9.0","0.10273972602739725","2.0","3237.736763730755","3237.7367637307543","1.404522307003338e-14","3237.736763730755","944.6539771999996","4","2.25","3.8499999999999996","576.2699999809265"
"RAChronoOps_VRE120_base_s012_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","117.34599995613098"
"RAChronoOps_VRE120_base_s012_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","530.9409999847412"
"RAChronoOps_VRE120_base_s013_ED","ED","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","118.76200008392334"
"RAChronoOps_VRE120_base_s013_UC","UC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.0","0.0","526.0840001106262"
"RAChronoOps_VRE120_base_s014_ED","ED","2.0","0.0228310502283105","1.0","839.7710056653738","839.7710056653738","0.0","839.7710056653738","625.3629768653751","2","1.0","1.0","117.16699981689453"
"RAChronoOps_VRE120_base_s014_UC","UC","2.0","0.0228310502283105","1.0","839.7710056653759","839.7710056653759","0.0","839.7710056653759","625.3629768653768","2","1.0","1.0","603.1330001354218"
"RAChronoOps_VRE120_base_s015_ED","ED","20.0","0.228310502283105","4.0","9853.506778661502","9853.5067786615","1.8460325287287698e-14","9853.506778661502","1552.4009067999978","13","1.5384615384615385","3.200000000000001","118.34299993515015"
