case_name,scenario_id,mode,case_folder,start_time,end_time,runtime_s,status,error_message,output_dir
VRE120_base,6,ED,RAChronoOps_VRE120_base_s006_ED,2026-05-19 11:11:42,2026-05-19 11:13:41,118.87000012397766,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s006_ED/output
VRE120_base,7,ED,RAChronoOps_VRE120_base_s007_ED,2026-05-19 11:13:43,2026-05-19 11:15:40,117.16000008583069,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s007_ED/output
VRE120_base,8,ED,RAChronoOps_VRE120_base_s008_ED,2026-05-19 11:15:40,2026-05-19 11:17:37,117.10399985313416,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s008_ED/output
VRE120_base,9,ED,RAChronoOps_VRE120_base_s009_ED,2026-05-19 11:17:37,2026-05-19 11:19:30,113.37199997901917,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s009_ED/output
VRE120_base,10,ED,RAChronoOps_VRE120_base_s010_ED,2026-05-19 11:19:30,2026-05-19 11:21:28,117.64300012588501,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s010_ED/output
VRE120_base,11,ED,RAChronoOps_VRE120_base_s011_ED,2026-05-19 11:21:28,2026-05-19 11:23:20,111.89300012588501,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s011_ED/output
VRE120_base,12,ED,RAChronoOps_VRE120_base_s012_ED,2026-05-19 11:23:20,2026-05-19 11:25:17,117.34599995613098,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s012_ED/output
VRE120_base,13,ED,RAChronoOps_VRE120_base_s013_ED,2026-05-19 11:25:17,2026-05-19 11:27:16,118.76200008392334,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s013_ED/output
VRE120_base,14,ED,RAChronoOps_VRE120_base_s014_ED,2026-05-19 11:27:16,2026-05-19 11:29:13,117.16699981689453,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s014_ED/output
VRE120_base,15,ED,RAChronoOps_VRE120_base_s015_ED,2026-05-19 11:29:13,2026-05-19 11:31:12,118.34299993515015,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s015_ED/output
VRE120_base,16,ED,RAChronoOps_VRE120_base_s016_ED,2026-05-19 11:31:12,2026-05-19 11:33:08,116.82100009918213,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s016_ED/output
VRE120_base,17,ED,RAChronoOps_VRE120_base_s017_ED,2026-05-19 11:33:08,2026-05-19 11:35:05,116.49000000953674,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_base_s017_ED/output
