case_folder,mode,lolh,lolp_percent,lole_days,eue_mwh,ann_tol_mwh,eue_ann_tol_error_pct,cvar_eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,p95_shortage_duration_h,runtime_s
RAChronoOps_VRE120_base_nostorage_s001_ED,ED,93.0,1.0616438356164384,25.0,29464.531872399966,29464.53187239996,2.4693952870837792e-14,29464.531872399966,1057.5103431999987,27,3.4444444444444446,7.0,120.58
RAChronoOps_VRE120_base_nostorage_s001_UC,UC,93.0,1.0616438356164384,25.0,29464.531872399966,29464.531872399966,0.0,29464.531872399966,1057.5103431999992,27,3.4444444444444446,7.0,731.89
RAChronoOps_VRE120_base_nostorage_s002_ED,ED,127.0,1.4497716894977168,30.0,40276.92264119995,40276.92264119994,1.806483002437909e-14,40276.92264119995,1047.4009067999978,34,3.735294117647059,6.349999999999994,123.13
RAChronoOps_VRE120_base_nostorage_s002_UC,UC,127.0,1.4497716894977168,30.0,40276.92264119995,40276.92264119995,0.0,40276.92264119995,1047.400906799999,34,3.735294117647059,6.349999999999994,863.07
RAChronoOps_VRE120_base_nostorage_s003_ED,ED,101.0,1.1529680365296804,29.0,35615.93109359997,35615.93109359995,4.085788236203595e-14,35615.93109359997,1076.7977315999997,31,3.2580645161290325,7.0,123.03
RAChronoOps_VRE120_base_nostorage_s003_UC,UC,101.0,1.1529680365296804,29.0,35615.93109359997,35615.93109359998,4.0857882362035916e-14,35615.93109359997,1076.7977315999997,31,3.2580645161290325,7.0,913.08
RAChronoOps_VRE120_base_nostorage_s004_ED,ED,128.0,1.461187214611872,30.0,49491.39154559995,49491.39154559995,0.0,49491.39154559995,1259.4009067999978,31,4.129032258064516,8.0,123.07
RAChronoOps_VRE120_base_nostorage_s004_UC,UC,128.0,1.461187214611872,30.0,49491.391545599945,49491.39154559994,1.4701460975247724e-14,49491.391545599945,1259.400906799999,31,4.129032258064516,8.0,898.5
RAChronoOps_VRE120_base_nostorage_s005_ED,ED,129.0,1.4726027397260275,28.0,54383.20719439995,54383.2071943999,8.027431248960248e-14,54383.20719439995,1302.4009067999978,28,4.607142857142857,8.0,124.46
RAChronoOps_VRE120_base_nostorage_s005_UC,UC,129.0,1.4726027397260275,28.0,54383.20719439995,54383.20719439994,1.3379052081600404e-14,54383.20719439995,1302.4009067999991,28,4.607142857142857,8.0,924.58
