case_folder,mode,hour,load_shed_mw
RAChronoOps_VRE120_wind_hvy_s001_ED,ED,4983,103.3378843999999
RAChronoOps_VRE120_wind_hvy_s001_ED,ED,4985,162.28604126537573
RAChronoOps_VRE120_wind_hvy_s001_ED,ED,4989,248.51642919999904
RAChronoOps_VRE120_wind_hvy_s002_ED,ED,4983,52.33788439999989
RAChronoOps_VRE120_wind_hvy_s002_ED,ED,4984,484.8024704653744
RAChronoOps_VRE120_wind_hvy_s004_ED,ED,4410,187.30026399999952
RAChronoOps_VRE120_wind_hvy_s004_ED,ED,4411,132.90396760000021
RAChronoOps_VRE120_wind_hvy_s004_ED,ED,4985,1080.6539771999996
RAChronoOps_VRE120_wind_hvy_s004_ED,ED,4986,186.20090679999885
RAChronoOps_VRE120_wind_hvy_s004_ED,ED,4987,134.94758646537662
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,4963,231.6509524653801
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,4964,14.189081599999554
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,4983,307.3378843999999
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,4985,1123.6539771999996
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,4986,229.20090679999885
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,4987,661.9475864653768
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,5056,157.80139526538005
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,5058,61.5393583999994
RAChronoOps_VRE120_wind_hvy_s005_ED,ED,5415,5.309868399998777
RAChronoOps_VRE120_wind_hvy_s001_UC,UC,4983,103.3378843999999
RAChronoOps_VRE120_wind_hvy_s001_UC,UC,4984,410.8024704653762
RAChronoOps_VRE120_wind_hvy_s002_UC,UC,4983,52.33788439999989
RAChronoOps_VRE120_wind_hvy_s002_UC,UC,4984,484.8024704653761
RAChronoOps_VRE120_wind_hvy_s004_UC,UC,4410,187.30026399999952
RAChronoOps_VRE120_wind_hvy_s004_UC,UC,4411,132.90396760000021
RAChronoOps_VRE120_wind_hvy_s004_UC,UC,4984,426.6972087999993
RAChronoOps_VRE120_wind_hvy_s004_UC,UC,4985,97.65397719999964
RAChronoOps_VRE120_wind_hvy_s004_UC,UC,4986,818.4141864653772
RAChronoOps_VRE120_wind_hvy_s004_UC,UC,4987,59.03709799999888
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4961,126.57356606537905
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4963,105.07738640000116
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4964,14.189081599999554
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4983,307.3378843999999
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4984,824.6972087999993
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4985,140.65397719999964
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4986,947.4141864653775
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,4987,102.03709799999888
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,5056,157.80139526537937
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,5058,61.5393583999994
RAChronoOps_VRE120_wind_hvy_s005_UC,UC,5415,5.3098683999996865
