model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M1,VRE120_base,1,93.0,29464.531872399966,1057.5103431999987,27,3.4444444444444446,0.0
M1,VRE120_base,2,127.0,40276.92264119996,1047.4009067999987,34,3.735294117647059,0.0
M1,VRE120_base,3,101.0,35615.93109359997,1076.7977315999997,31,3.2580645161290325,0.0
M1,VRE120_base,4,128.0,49491.39154559995,1259.4009067999987,31,4.129032258064516,0.0
M1,VRE120_base,5,129.0,54383.20719439995,1302.4009067999987,28,4.607142857142857,0.0
M1,VRE120_base,6,97.0,39633.035714399964,1332.3098683999997,28,3.4642857142857144,0.0
M1,VRE120_base,7,102.0,36566.712325199966,887.4009067999987,25,4.08,0.0
M1,VRE120_base,8,90.0,24945.436746799973,822.4009067999987,27,3.3333333333333335,0.0
M1,VRE120_base,9,61.0,13900.730931999982,684.4151787999999,21,2.9047619047619047,0.0
M1,VRE120_base,10,77.0,19638.346831999974,928.415178799999,26,2.9615384615384617,0.0
M1,VRE120_base,11,116.0,40313.85112839996,1102.4009067999987,28,4.142857142857143,0.0
M1,VRE120_base,12,74.0,19869.128942399977,719.1027760000006,22,3.3636363636363638,0.0
M1,VRE120_base,13,89.0,23746.44494479997,894.5298223999998,30,2.966666666666667,0.0
M1,VRE120_base,14,64.0,18393.798245999984,778.5207527999992,19,3.3684210526315788,0.0
M1,VRE120_base,15,99.0,43791.13605639996,1552.4009067999987,27,3.6666666666666665,0.0
M1,VRE120_base,16,92.0,23056.623701599965,1028.5298223999998,31,2.967741935483871,0.0
M1,VRE120_base,17,69.0,14618.263687599972,628.4009067999987,22,3.1363636363636362,0.0
M1,VRE120_base,18,102.0,34907.47428799997,1152.3098683999997,26,3.923076923076923,0.0
M1,VRE120_base,19,94.0,27280.860125999963,831.6539771999996,25,3.76,0.0
M1,VRE120_base,20,104.0,30448.88220039996,921.9917112000003,32,3.25,0.0
M1b,VRE120_base,1,77.0,26714.720508432656,1057.5103431999987,20,3.85,0.0
M1b,VRE120_base,2,116.0,37527.111277232645,1047.4009067999987,30,3.8666666666666667,0.0
M1b,VRE120_base,3,91.0,32866.11972963266,1076.7977315999997,28,3.25,0.0
M1b,VRE120_base,4,119.0,47276.46728003264,1259.4009067999987,28,4.25,0.0
M1b,VRE120_base,5,116.0,51633.395830432644,1302.4009067999987,24,4.833333333333333,0.0
M1b,VRE120_base,6,82.0,36755.830083232664,1332.3098683999997,22,3.727272727272727,0.0
M1b,VRE120_base,7,95.0,33816.900961232655,887.4009067999987,23,4.130434782608695,0.0
M1b,VRE120_base,8,78.0,21310.925382832662,822.4009067999987,25,3.12,0.0
M1b,VRE120_base,9,50.0,11150.91956803267,684.4151787999999,17,2.9411764705882355,0.0
