case_name,scenario_id,total_m1c_charge_mwh,m1c_charge_when_vre_surplus_mwh,m1c_charge_when_thermal_headroom_mwh,share_charge_thermal_headroom_proxy,total_m3_charge_mwh,m3_charge_when_vre_surplus_mwh,m3_charge_when_vre_not_surplus_mwh
VRE120_base,1,32833.5171366346,0.0,32833.517136634604,1.0000000000000002,817302.6745452415,17253.01506293471,800049.6594823045
VRE120_base,2,44021.95484115168,0.0,44021.95484115168,1.0,835167.6966348971,17000.450524469416,818167.2461104253
VRE120_base,3,38846.67206019017,0.0,38846.672060190154,0.9999999999999997,823593.7138293721,17213.359252374714,806380.3545769963
VRE120_base,4,49280.45752545084,0.0,49280.457525450845,1.0000000000000002,838480.3425516214,17696.950557607357,820783.3919940118
VRE120_base,5,51706.62343508333,0.0,51706.623435083326,0.9999999999999999,845839.9564783587,17296.899942480006,828543.056535877
VRE120_base,6,36953.67692011752,0.0,36953.67692011752,1.0,814617.7210079512,17630.19683041471,796987.524177534
VRE120_base,7,41950.27404152349,0.0,41950.2740415235,1.0000000000000004,824381.4326117935,17122.167815222063,807259.2647965698
VRE120_base,8,29789.497900852537,0.0,29789.497900852537,1.0,813259.9888930032,17282.23109354207,795977.7577994599
VRE120_base,9,17517.602551074768,0.0,17517.602551074764,0.9999999999999998,841720.1584361603,17328.359252374707,824391.799183784
VRE120_base,10,23892.731328852533,0.0,23892.731328852544,1.0000000000000004,833513.9079426209,16426.038551140526,817087.869391478
VRE120_base,11,43268.0285873739,0.0,43268.02858737388,0.9999999999999997,853859.1861902096,16777.210459702066,837081.975730506
VRE120_base,12,24149.155895963653,0.0,24149.15589596365,0.9999999999999999,853544.5304941897,17517.295210782067,836027.2352834047
VRE120_base,13,28457.284787519195,0.0,28457.284787519202,1.0000000000000002,849162.6789901648,17661.05687869471,831501.6221114679
VRE120_base,14,21576.820671446574,0.0,21576.82067144657,0.9999999999999998,823393.018652721,16648.42742882942,806744.5912238902
VRE120_base,15,39780.82293522864,0.0,39780.82293522864,1.0,842974.103392286,17280.12734114207,825693.9760511422
VRE120_base,16,27576.396507002115,0.0,27576.396507002115,1.0,815153.6401211151,16980.312154189414,798173.3279669248
VRE120_base,17,18314.86116840809,0.0,18314.861168408082,0.9999999999999996,836112.7833295282,16323.812058069421,819788.9712714577
VRE120_base,18,37418.7114300406,0.0,37418.71143004059,0.9999999999999996,821025.5579746003,17832.243356542072,803193.3146180563
VRE120_base,19,32384.412766630307,0.0,32384.412766630307,1.0,832062.1765548063,17346.695212942068,814715.4813418629
VRE120_base,20,35904.437293741415,0.0,35904.4372937414,0.9999999999999996,824935.1327259118,16852.964447807353,808082.1682781025
VRE120_bal15,1,17529.918231074775,0.0,17529.918231074775,1.0,1.1411081619909096e6,344647.0408321194,796461.1211587903
VRE120_bal15,2,24233.399235002125,0.0,24233.39923500211,0.9999999999999994,1.1507928948220783e6,341780.77578423626,809012.1190378417
VRE120_bal15,3,23764.35271151922,0.0,23764.352711519212,0.9999999999999997,1.1351009177652537e6,343608.87845951074,791492.0393057432
VRE120_bal15,4,28581.658433224344,0.0,28581.65843322435,1.0000000000000002,1.147162010739488e6,342267.684317455,804894.3264220327
VRE120_bal15,5,29361.734094040585,0.0,29361.73409404059,1.0000000000000002,1.1550164038465945e6,343331.8348916581,811684.5689549366
VRE120_bal15,6,26235.21999063032,0.0,26235.219990630325,1.0000000000000002,1.1569719562742729e6,342716.41071480646,814255.5455594657
VRE120_bal15,7,21034.373920852533,0.0,21034.373920852533,1.0,1.1256521492923144e6,341332.4765419608,784319.6727503533
VRE120_bal15,8,15713.995509741437,0.0,15713.995509741437,1.0,1.1221509298772556e6,342388.35265405936,779762.5772231962
VRE120_bal15,9,8437.743244408106,0.0,8437.743244408108,1.0000000000000002,1.1499374335996327e6,343008.9474424881,806928.4861571452
VRE120_bal15,10,10612.762746185886,0.0,10612.762746185886,1.0,1.1374338735081027e6,341399.72723429074,796034.1462738124
VRE120_bal15,11,23906.61267811323,0.0,23906.612678113237,1.0000000000000002,1.1460126240980348e6,342387.26596953283,803625.3581285022
VRE120_bal15,12,12963.107796408105,0.0,12963.107796408101,0.9999999999999997,1.169335741345867e6,342481.9033593941,826853.8379864726
VRE120_bal15,13,14084.141143519213,0.0,14084.141143519217,1.0000000000000002,1.1451313863698067e6,343883.13556050643,801248.2508093007
VRE120_bal15,14,8250.05275463033,0.0,8250.052754630331,1.0000000000000002,1.1350432610566998e6,341829.94376976247,793213.3172869374
VRE120_bal15,15,24606.734883002126,0.0,24606.734883002122,0.9999999999999999,1.1543244302067172e6,343194.8141029594,811129.616103757
VRE120_bal15,16,12633.101077741438,0.0,12633.101077741436,0.9999999999999999,1.1459875044576973e6,342129.7486872408,803857.7557704553
VRE120_bal15,17,8416.347963074779,0.0,8416.347963074777,0.9999999999999998,1.1435827905841875e6,343029.8393990985,800552.9511850899
VRE120_bal15,18,19045.85915151921,0.0,19045.859151519213,1.0000000000000002,1.1378432742351114e6,343613.79372434446,794229.4805107662
VRE120_bal15,19,16615.146887963656,0.0,16615.14688796366,1.0000000000000002,1.1249522603225308e6,342643.290015226,782308.9703073036
VRE120_bal15,20,19055.2095684081,0.0,19055.209568408092,0.9999999999999997,1.140419960462978e6,341738.17632036237,798681.7841426152
VRE120_wind_hvy,1,17754.469023446574,2072.3459599636776,15682.1230634829,0.8832775028514268,1.0160114390579581e6,508556.02912344906,507455.40993450925
VRE120_wind_hvy,2,24027.027894557672,2072.3459599636776,21954.681934593995,0.9137493838581225,1.0340106120714452e6,513228.12546182267,520782.486609623
VRE120_wind_hvy,3,22951.15833996365,2072.3459599636776,20878.812379999978,0.9097062584263904,1.0226080055066857e6,511935.6436236995,510672.3618829868
VRE120_wind_hvy,4,26748.14540300211,2072.3459599636776,24675.79944303844,0.9225237515072324,1.0335393157910602e6,509697.3769235944,523841.9388674667
VRE120_wind_hvy,5,30487.71378196794,2072.3459599636776,28415.367822004268,0.9320268494127175,1.030042480636407e6,511589.1801176952,518453.3005187127
