case_name,scenario_id,m1c_lolh,m3_lolh,m1c_eue,m3_eue,max_abs_soc_diff_mwh,mean_abs_soc_diff_mwh,soc_diff_at_shortage_hours_mean_mwh,m1c_soc_min_before_shortage_mwh,m3_soc_min_before_shortage_mwh,m1c_soc_at_first_shortage_mwh,m3_soc_at_first_shortage_mwh,hours_m1c_full_soc,hours_m3_full_soc,hours_m1c_empty_soc,hours_m3_empty_soc
VRE120_base,1,6.0,6.0,1779.4778133961363,1779.4778133961331,3932.0,2124.213029681515,0.0,2173.258095479659,0.0,1137.08511549782,1137.08511549782,8621,1313,4,1817
VRE120_base,2,6.0,6.0,2522.2746481307568,2522.2746481307545,3932.0,2067.173809583725,0.0,806.2685036264817,0.0,1218.2502421088084,1218.2502421088084,8579,1288,5,1646
VRE120_base,3,6.0,6.0,2519.0376033961284,2519.0376033961334,3932.0,2108.3775948194293,0.0,675.708677966512,0.0,0.0,0.0,8605,1249,6,1839
VRE120_base,4,14.0,14.0,7004.091136661507,7004.091136661509,3932.0,2118.5606102167008,3.410605131648481e-13,289.25584807756536,0.0,987.2988478445336,987.2988478445316,8573,1163,10,1840
VRE120_base,5,24.0,24.0,9712.357466792266,9712.357466792264,3932.0,2136.107729737869,1.1398289719484941e-13,292.45563836188774,0.0,2000.36618693963,2000.36618693963,8567,1179,17,1784
VRE120_base,6,21.0,21.0,8239.837850261514,8239.83785026151,3932.0,2060.8636505493932,2.598556290779795e-13,956.5339469972481,0.0,2410.596045944989,2410.596045944989,8613,1221,13,1750
VRE120_base,7,4.0,4.0,676.5770517961282,676.5770517961292,3932.0,2165.9746510001623,0.0,436.7896595061187,0.0,0.0,0.0,8603,1237,4,1749
VRE120_base,8,0.0,0.0,0.0,0.0,3932.0,2106.7326024819577,NaN,342.9991127737735,0.0,NaN,NaN,8627,1400,0,1794
VRE120_base,9,0.0,0.0,0.0,0.0,3932.0,2113.993686875082,NaN,1507.1062877070815,0.0,NaN,NaN,8670,1220,0,1706
VRE120_base,10,0.0,0.0,0.0,0.0,3932.0,2086.2087113704515,NaN,1016.0363994131322,0.0,NaN,NaN,8645,1234,0,1757
VRE120_base,11,7.0,7.0,3237.7367637307552,3237.736763730755,3932.0,2092.253397834729,2.6391587328232295e-13,390.8537497145679,0.0,1191.410815661307,1191.410815661306,8590,1384,5,1717
VRE120_base,12,0.0,0.0,0.0,0.0,3932.0,2129.216013810798,NaN,765.5140085495118,0.0,NaN,NaN,8646,1286,0,1794
VRE120_base,13,0.0,0.0,0.0,0.0,3932.0,2106.5127458125617,NaN,402.8515770436553,0.0,NaN,NaN,8629,1239,0,1783
VRE120_base,14,2.0,2.0,839.7710056653759,839.7710056653752,3932.0,2146.038917921855,0.0,352.47445108580257,0.0,0.0,0.0,8666,1228,2,1850
VRE120_base,15,16.0,16.0,9853.506778661507,9853.506778661507,3932.0,2113.1402662912406,1.7053025658242404e-13,403.0558175951629,0.0,0.0,0.0,8612,1312,13,1769
VRE120_base,16,3.0,3.0,102.97820926537406,102.97820926537509,3932.0,2059.911385636397,9.094947017729282e-13,1423.4470069301442,0.0,1855.7112941192354,1855.711294119234,8629,1316,1,1727
VRE120_base,17,0.0,0.0,0.0,0.0,3932.0,2133.3329338975864,NaN,1590.2430518538467,0.0,NaN,NaN,8663,1263,0,1786
VRE120_base,18,10.0,10.0,3095.745364930747,3095.745364930748,3932.0,2165.9059076665294,3.637978807091713e-13,1142.5236191698102,0.0,106.35063918797118,106.35063918796936,8612,1164,7,1744
VRE120_base,19,0.0,0.0,0.0,0.0,3932.0,2129.1441389679057,NaN,697.6613233253963,0.0,NaN,NaN,8626,1307,0,1833
VRE120_base,20,0.0,0.0,0.0,0.0,3932.0,2095.8336757014445,NaN,421.1111825786022,0.0,NaN,NaN,8605,1335,0,1857
VRE120_bal15,1,1.0,1.0,36.21034319999944,36.21034319999944,3932.0,2199.3068958256554,499.2895455290279,28.088962448672703,0.0,2464.6225499482994,1965.3330044192714,8690,1265,0,2149
VRE120_bal15,2,1.0,1.0,47.35247046537643,47.35247046537444,3932.0,2183.169011166109,0.0,365.9956483350413,0.0,0.0,0.0,8655,1295,1,2128
VRE120_bal15,3,0.0,0.0,0.0,0.0,3932.0,2195.640733165307,NaN,582.5416455315285,0.0,NaN,NaN,8674,1268,0,2152
VRE120_bal15,4,7.0,7.0,1245.609239665374,1245.6092396653735,3932.0,2189.4456829250735,128.31051472694162,2174.6220448636727,0.0,2824.741005392856,2525.3498043633263,8650,1336,2,2037
VRE120_bal15,5,9.0,9.0,2163.992451330755,2163.9924513307533,3932.0,2178.120927180377,29.983077074189268,2058.8283583660427,0.0,2040.772861410208,1905.8490145763571,8650,1328,4,2134
VRE120_bal15,6,0.0,0.0,0.0,0.0,3932.0,2188.7158701003336,NaN,364.71644630577146,0.0,NaN,NaN,8669,1248,0,2113
VRE120_bal15,7,0.0,0.0,0.0,0.0,3932.0,2210.9537183531556,NaN,936.716743470387,0.0,NaN,NaN,8672,1253,0,2097
VRE120_bal15,8,0.0,0.0,0.0,0.0,3932.0,2186.8576599008493,NaN,1302.9582589624194,0.0,NaN,NaN,8697,1341,0,2076
VRE120_bal15,9,0.0,0.0,0.0,0.0,3932.0,2217.1517881013206,NaN,2109.3179366040363,0.0,NaN,NaN,8722,1242,0,2120
VRE120_bal15,10,0.0,0.0,0.0,0.0,3932.0,2191.516920375973,NaN,2429.7157732947544,0.0,NaN,NaN,8710,1289,0,2116
VRE120_bal15,11,2.0,2.0,377.3524704653746,377.3524704653742,3932.0,2204.704455589623,4.547473508864641e-13,2240.1322775490307,0.0,2004.4851067182658,2004.4851067182667,8658,1203,1,2103
VRE120_bal15,12,0.0,0.0,0.0,0.0,3932.0,2201.132857261617,NaN,2003.9298069664117,0.0,NaN,NaN,8707,1301,0,2066
VRE120_bal15,13,0.0,0.0,0.0,0.0,3932.0,2168.9283980180744,NaN,2072.566691091813,0.0,NaN,NaN,8695,1300,0,2138
VRE120_bal15,14,0.0,0.0,0.0,0.0,3932.0,2209.993425288675,NaN,2726.9277648828966,0.0,NaN,NaN,8720,1258,0,2060
VRE120_bal15,15,6.0,6.0,3279.9306660653756,3279.9306660653747,3932.0,2186.1496199986254,4.547473508864641e-13,894.1966045758863,0.0,2196.4922576550584,2196.4922576550593,8676,1298,3,2073
VRE120_bal15,16,0.0,0.0,0.0,0.0,3932.0,2188.2366008077215,NaN,2725.5261822865436,0.0,NaN,NaN,8689,1285,0,2117
VRE120_bal15,17,0.0,0.0,0.0,0.0,3932.0,2226.5753955340106,NaN,2320.7546417849912,0.0,NaN,NaN,8721,1237,0,2119
VRE120_bal15,18,1.0,1.0,51.04726759999903,51.04726759999903,3932.0,2195.423835306646,812.9065339136364,2799.4961937162807,0.0,1763.3232137344417,950.4166798208053,8683,1306,0,2085
VRE120_bal15,19,0.0,0.0,0.0,0.0,3932.0,2212.8413882341824,NaN,1755.7466574539983,0.0,NaN,NaN,8683,1292,0,2146
VRE120_bal15,20,0.0,0.0,0.0,0.0,3932.0,2183.3144195789037,NaN,1855.4377444525176,0.0,NaN,NaN,8674,1270,0,2190
VRE120_wind_hvy,1,2.0,2.0,514.140354865377,514.1403548653742,3932.0,2291.475951940898,0.0,448.3009805364742,0.0,0.0,0.0,8686,1549,2,2802
VRE120_wind_hvy,2,2.0,2.0,537.140354865377,537.1403548653741,3932.0,2271.2760025273665,0.0,476.7614794779897,0.0,0.0,0.0,8656,1589,2,2760
VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,3932.0,2266.3824587085805,NaN,121.42885805130848,0.0,NaN,NaN,8671,1558,0,2832
VRE120_wind_hvy,4,7.0,7.0,1722.006702065376,1722.0067020653742,3932.0,2293.389805120242,132.21078015233525,2568.3576984454153,0.0,2895.827020018161,2433.089289484989,8645,1488,2,2790
VRE120_wind_hvy,5,11.0,11.0,2792.631010996136,2792.6310109961328,3932.0,2272.3280340604383,46.29987395328931,1336.7255687335821,0.0,1530.0650192930148,1530.0650192930148,8641,1511,5,2770
VRE120_wind_hvy,6,9.0,9.0,1513.2404797307554,1513.240479730754,3932.0,2261.6441272738944,0.0,1911.2060103308374,0.0,2446.224374249552,2446.224374249552,8664,1519,4,2737
VRE120_wind_hvy,7,0.0,0.0,0.0,0.0,3932.0,2283.8890724748107,NaN,475.6039559901673,0.0,NaN,NaN,8681,1544,0,2810
VRE120_wind_hvy,8,0.0,0.0,0.0,0.0,3932.0,2261.96611031967,NaN,911.9982730934038,0.0,NaN,NaN,8692,1567,0,2750
VRE120_wind_hvy,9,0.0,0.0,0.0,0.0,3932.0,2277.802756262084,NaN,1814.268857764769,0.0,NaN,NaN,8712,1537,0,2846
VRE120_wind_hvy,10,0.0,0.0,0.0,0.0,3932.0,2295.7047250372657,NaN,2331.9720092898942,0.0,NaN,NaN,8705,1537,0,2809
VRE120_wind_hvy,11,3.0,3.0,814.8024704653772,814.802470465374,3932.0,2257.2810095951354,4.547473508864641e-13,1408.403862364065,0.0,1263.7215648238225,1263.7215648238239,8662,1560,2,2748
VRE120_wind_hvy,12,0.0,0.0,0.0,0.0,3932.0,2268.1631055773723,NaN,1976.312582067606,0.0,NaN,NaN,8699,1544,0,2759
VRE120_wind_hvy,13,0.0,0.0,0.0,0.0,3932.0,2247.1081696207402,NaN,1529.333575194207,0.0,NaN,NaN,8693,1569,0,2763
VRE120_wind_hvy,14,0.0,0.0,0.0,0.0,3932.0,2290.9022412945333,NaN,1799.996282683265,0.0,NaN,NaN,8722,1505,0,2734
