stress_case,method_label,m3_lolh,method_lolh,lolh_error,lolh_abs_error,lolh_rel_error,m3_eue,method_eue,eue_error,eue_rel_error,m3_cvar_eue,method_cvar_eue,cvar_eue_error,m3_max_shortfall,method_max_shortfall,max_shortfall_error,m3_runtime_s,method_runtime_s,runtime_speedup_vs_m3
base_reference,M1c_current,5.95,5.95,0.0,0.0,0.0,2479.16958463441,2479.1695846344096,-4.547473508864641e-13,-1.8342728698550216e-16,9782.932122726885,9782.932122726887,1.8189894035458565e-12,461.06735212653757,461.06735212653746,-1.1368683772161603e-13,183.1,1.4,130.7571428162711
base_reference,M1c_VREOnly,5.95,82.8,76.85,76.85,12.91596638655462,2479.16958463441,28179.663953816653,25700.49436918224,10.366573762630344,9782.932122726885,49099.827812856645,39316.895690129764,461.06735212653757,1000.4147142799991,539.3473621534615,183.1,1.0,183.05999994277954
base_reference,M2,5.95,5.75,-0.20000000000000018,0.20000000000000018,-0.03361344537815129,2479.16958463441,2479.1695846344096,-4.547473508864641e-13,-1.8342728698550216e-16,9782.932122726885,9782.932122726885,0.0,461.06735212653757,534.7469016465374,73.6795495199998,183.1,9.9,18.490909085129246
load_scale_1225,M1c_current,13.25,13.25,0.0,0.0,0.0,6185.399824054334,6185.399824054335,9.094947017729282e-13,1.4703895102075765e-16,19632.700370010596,19632.7003700106,3.637978807091713e-12,771.3888673166346,771.388867316635,4.547473508864641e-13,190.2,2.6,73.13692312974196
load_scale_1225,M1c_VREOnly,13.25,129.15,115.9,115.9,8.747169811320756,6185.399824054334,49076.88973455857,42891.489910504235,6.934311625855452,19632.700370010596,76080.79484939735,56448.09447938675,771.3888673166346,1184.6640643462501,413.2751970296156,190.2,1.5,126.7706667582194
load_scale_1225,M2,13.25,13.05,-0.1999999999999993,0.1999999999999993,-0.015094339622641456,6185.399824054334,6185.399824054335,9.094947017729282e-13,1.4703895102075765e-16,19632.700370010596,19632.700370010596,0.0,771.3888673166346,807.9909713750968,36.60210405846226,190.2,7.9,24.070379764218874
load_scale_125,M1c_current,24.75,24.75,0.0,0.0,0.0,12779.729615990178,12779.729615990178,0.0,0.0,32729.59063296344,32729.59063296344,0.0,1115.8304647255768,1115.8304647255768,0.0,192.3,1.7,113.14588224186618
load_scale_125,M1c_VREOnly,24.75,178.35,153.6,153.6,6.206060606060606,12779.729615990178,77881.3163432077,65101.586727217524,5.09412864617742,32729.59063296344,110880.68893395772,78151.09830099427,1115.8304647255768,1369.1614843125,253.33101958692328,192.3,1.1,174.86181801015678
load_scale_125,M2,24.75,24.1,-0.6499999999999986,0.6499999999999986,-0.026262626262626206,12779.729615990178,12779.729615990178,0.0,0.0,32729.59063296344,32729.59063296344,0.0,1115.8304647255768,1219.2976699348078,103.467205209231,192.3,10.0,19.23479998111725
storage_p05_d4,M1c_current,27.4,27.4,0.0,0.0,0.0,8770.141615981629,8770.14161598163,1.8189894035458565e-12,2.0740707313450374e-16,23530.203098174185,23530.203098174185,0.0,758.1178501865375,758.1178501865377,2.2737367544323206e-13,188.7,1.4,134.80928574289595
storage_p05_d4,M1c_VREOnly,27.4,87.3,59.9,59.9,2.186131386861314,8770.141615981629,29152.024146992666,20381.882531011037,2.3240083710700405,23530.203098174185,50072.18800603264,26541.984907858452,758.1178501865375,1000.4147142799991,242.29686409346164,188.7,2.3,82.05782610437144
storage_p05_d4,M2,27.4,26.9,-0.5,0.5,-0.018248175182481754,8770.141615981629,8770.141615981627,-1.8189894035458565e-12,-2.0740707313450374e-16,23530.203098174185,23530.20309817418,-3.637978807091713e-12,758.1178501865375,821.5399209665372,63.422070779999785,188.7,11.6,16.27008621034951
storage_p10_d8,M1c_current,2.45,2.45,0.0,0.0,0.0,359.2778486399989,359.2778486399989,0.0,0.0,1842.5206741999964,1842.5206741999964,0.0,104.07310839999977,104.07310839999977,0.0,186.0,2.2,84.54045458273454
storage_p10_d8,M1c_VREOnly,2.45,75.7,73.25,73.25,29.897959183673468,359.2778486399989,26314.552589849347,25955.27474120935,72.24290292167963,1842.5206741999964,47234.71644888933,45392.19577468934,104.07310839999977,996.6650674799994,892.5919590799996,186.0,1.5,123.992666721344
storage_p10_d8,M2,2.45,2.45,0.0,0.0,0.0,359.2778486399989,359.2778486399989,0.0,0.0,1842.5206741999964,1842.5206741999964,0.0,104.07310839999977,104.07310839999977,0.0,186.0,7.9,23.54291140278683
cycling_cost_high,M1c_current,5.95,5.95,0.0,0.0,0.0,2479.16958463441,2479.1695846344096,-4.547473508864641e-13,-1.8342728698550216e-16,9782.932122726885,9782.932122726887,1.8189894035458565e-12,461.06735212653757,461.06735212653746,-1.1368683772161603e-13,183.4,1.4,130.9957141535623
cycling_cost_high,M1c_VREOnly,5.95,82.8,76.85,76.85,12.91596638655462,2479.16958463441,28179.663953816653,25700.49436918224,10.366573762630344,9782.932122726885,49099.827812856645,39316.895690129764,461.06735212653757,1000.4147142799991,539.3473621534615,183.4,2.5,73.35759992599488
cycling_cost_high,M2,5.95,5.75,-0.20000000000000018,0.20000000000000018,-0.03361344537815129,2479.16958463441,2479.1695846344096,-4.547473508864641e-13,-1.8342728698550216e-16,9782.932122726885,9782.932122726885,0.0,461.06735212653757,534.7469016465374,73.6795495199998,183.4,7.6,24.13078944934042
