stress_case,model_label,lolh_hours,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,n_shortage_events,mean_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth_h,lolh_ci95_rel_halfwidth,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,runtime_s
base_reference,M1c_current,5.95,0.06792237442922375,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,2.0,2.975,6.049999999999997,461.06735212653746,416.6671570814134,3.253323450517057,0.5467770505070684,1499.9955123041589,0.6050394945149973,1.4
base_reference,M1c_VREOnly,82.8,0.9452054794520548,21.2,28179.663953816653,625.1923781433147,49099.827812856645,22.55,3.671840354767184,8.0,1000.4147142799991,340.33410572242343,9.321638708431383,0.11258017763806019,5036.057501551674,0.17871247541507998,1.0
base_reference,M2,5.75,0.0656392694063927,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,2.9,1.9827586206896552,5.0,534.7469016465374,431.159927762506,3.1632027407277215,0.5501222157787342,1499.9955123041589,0.6050394945149973,9.9
base_reference,M3,5.95,0.06792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,2.0,2.975,6.049999999999997,461.06735212653757,416.66715708141334,3.253323450517057,0.5467770505070684,1499.9955123041589,0.6050394945149972,183.1
load_scale_1225,M1c_current,13.25,0.1512557077625571,3.5,6185.399824054335,134.42832894154907,19632.7003700106,4.1,3.231707317073171,6.0,771.388867316635,466.82262823051576,4.817553757928012,0.3635889628624915,2856.5823811530013,0.4618266340753056,2.6
load_scale_1225,M1c_VREOnly,129.15,1.4743150684931507,30.7,49076.88973455857,1066.5962531652535,76080.79484939735,32.05,4.029641185647426,8.0,1184.6640643462501,379.9991462219014,9.976132474957154,0.07724454103722148,6532.318597105247,0.1331037609032785,1.5
load_scale_1225,M2,13.05,0.14897260273972604,3.5,6185.399824054335,134.42832894154907,19632.700370010596,5.8,2.25,6.249999999999986,807.9909713750968,473.97699801182637,5.38737352275524,0.4128255572992521,2856.582381153001,0.46182663407530555,7.9
load_scale_1225,M3,13.25,0.1512557077625571,3.5,6185.399824054334,134.42832894154904,19632.700370010596,4.1,3.231707317073171,6.0,771.3888673166346,466.82262823051576,4.817553757928012,0.3635889628624915,2856.582381153001,0.4618266340753056,190.2
load_scale_125,M1c_current,24.75,0.2825342465753425,6.5,12779.729615990178,272.1891212469416,32729.59063296344,7.6,3.2565789473684212,7.0,1115.8304647255768,516.3527117571789,5.646481438168281,0.22814066416841539,4295.675026320288,0.33613191791988145,1.7
load_scale_125,M1c_VREOnly,178.35,2.0359589041095894,39.35,77881.3163432077,1658.7555209688458,110880.68893395772,41.15,4.334143377885784,8.0,1369.1614843125,436.6768508169763,12.227201521715081,0.06855733962273665,8219.145009010683,0.10553423330430782,1.1
load_scale_125,M2,24.1,0.2751141552511416,6.5,12779.729615990178,272.1891212469416,32729.59063296344,10.65,2.2629107981220655,6.0,1219.2976699348078,530.2792371780157,6.212563772837986,0.2577827291634019,4295.675026320288,0.33613191791988145,10.0
load_scale_125,M3,24.75,0.2825342465753425,6.5,12779.729615990178,272.1891212469416,32729.59063296344,7.6,3.2565789473684212,7.0,1115.8304647255768,516.3527117571789,5.646481438168281,0.22814066416841539,4295.675026320288,0.33613191791988145,192.3
storage_p05_d4,M1c_current,27.4,0.3127853881278539,8.2,8770.14161598163,194.57384951556844,23530.203098174185,8.7,3.1494252873563218,7.0,758.1178501865377,320.0781611672127,5.999817821795661,0.21897145335020662,3197.570138121689,0.3645973210164394,1.4
storage_p05_d4,M1c_VREOnly,87.3,0.9965753424657534,22.55,29152.024146992666,646.7651045810716,50072.18800603264,24.1,3.6224066390041494,7.949999999999989,1000.4147142799991,333.9292571247728,9.2273511509619,0.10569703494801717,5036.057501551674,0.17275155495750355,2.3
