model,case,lolh,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth_mwh,total_runtime_s,mean_runtime_s
M1c,VRE120_base,5.95,0.06792237442922375,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,8387.089811914591,9719.414932385727,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653746,416.6671570814134,3.253323450517057,1499.9955123041589,1.2630000114440918,0.06315000057220459
M1d_earliest,VRE120_base,5.95,0.06792237442922375,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,8387.089811914591,9719.414932385727,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653746,416.6671570814134,3.253323450517057,1499.9955123041589,1.0269999504089355,0.05134999752044678
M1d_largest,VRE120_base,8.45,0.09646118721461186,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,8387.08981191459,9719.414932385725,9826.688409406352,3.65,2.315068493150685,8.0,7.3999999999999915,354.0449732730752,293.39285025259284,4.634881455362494,1499.9955123041589,1.246999979019165,0.06234999895095825
M2,VRE120_base,5.75,0.0656392694063927,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,8387.089811914586,9719.414932385725,9826.688409406352,2.9,1.9827586206896552,7.0,5.0,534.7469016465374,431.159927762506,3.1632027407277215,1499.9955123041589,8.67799997329712,0.43389999866485596
M3,VRE120_base,5.95,0.06792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,8387.089811914588,9719.414932385725,9826.688409406352,2.0,2.975,7.0,6.049999999999997,461.06735212653757,416.66715708141334,3.253323450517057,1499.9955123041589,191.1380000114441,9.556900000572204
M1c,VRE120_wind_hvy,2.25,0.025684931506849314,0.75,648.2368652992261,14.381745221688515,3528.387470763443,1829.0691329584536,2866.2066569728677,3984.5564758191767,0.85,2.6470588235294117,6.0,6.0,225.5296759530755,288.1052734663227,1.5568385644598715,499.7050543996064,1.4119999408721924,0.07059999704360961
M1d_earliest,VRE120_wind_hvy,2.25,0.025684931506849314,0.75,648.2368652992261,14.381745221688515,3528.387470763443,1829.0691329584536,2866.2066569728677,3984.5564758191767,0.85,2.6470588235294117,6.0,6.0,225.5296759530755,288.1052734663227,1.5568385644598715,499.7050543996064,2.2890000343322754,0.11445000171661376
M1d_largest,VRE120_wind_hvy,2.65,0.030251141552511414,0.75,648.2368652992258,14.381745221688508,3528.3874707634423,1829.0691329584533,2866.2066569728668,3984.5564758191763,1.3,2.0384615384615383,7.0,6.75,199.18950316326868,244.6176850185758,1.7888973963692942,499.7050543996064,1.0740001201629639,0.05370000600814819
M2,VRE120_wind_hvy,1.95,0.02226027397260274,0.75,648.2368652992255,14.381745221688503,3528.387470763441,1829.0691329584515,2866.206656972865,3984.556475819175,1.05,1.8571428571428572,7.0,3.0,289.0260597530752,332.42916169191045,1.4038667653081762,499.70505439960624,7.641000032424927,0.38205000162124636
M3,VRE120_wind_hvy,2.25,0.025684931506849314,0.75,648.2368652992254,14.381745221688501,3528.3874707634404,1829.0691329584515,2866.2066569728645,3984.556475819175,0.85,2.6470588235294117,6.0,6.0,225.5296759530751,288.1052734663224,1.5568385644598715,499.70505439960624,184.37199997901917,9.218599998950959
