case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_base,1,M3,M1c,1779.4778133961331,1779.4778133961363,3.183231456205249e-12,6.0,6.0,0.0
VRE120_base,2,M3,M1c,2522.2746481307545,2522.2746481307568,2.2737367544323206e-12,6.0,6.0,0.0
VRE120_base,3,M3,M1c,2519.0376033961334,2519.0376033961284,-5.002220859751105e-12,6.0,6.0,0.0
VRE120_base,4,M3,M1c,7004.091136661509,7004.091136661507,-1.8189894035458565e-12,14.0,14.0,0.0
VRE120_base,5,M3,M1c,9712.357466792264,9712.357466792266,1.8189894035458565e-12,24.0,24.0,0.0
VRE120_base,6,M3,M1c,8239.83785026151,8239.837850261514,3.637978807091713e-12,21.0,21.0,0.0
VRE120_base,7,M3,M1c,676.5770517961292,676.5770517961282,-1.0231815394945443e-12,4.0,4.0,0.0
VRE120_base,8,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,9,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,10,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,11,M3,M1c,3237.736763730755,3237.7367637307552,4.547473508864641e-13,7.0,7.0,0.0
VRE120_base,12,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,13,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,14,M3,M1c,839.7710056653752,839.7710056653759,6.821210263296962e-13,2.0,2.0,0.0
VRE120_base,15,M3,M1c,9853.506778661507,9853.506778661507,0.0,16.0,16.0,0.0
VRE120_base,16,M3,M1c,102.97820926537509,102.97820926537406,-1.0231815394945443e-12,3.0,3.0,0.0
VRE120_base,17,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,18,M3,M1c,3095.745364930748,3095.745364930747,-9.094947017729282e-13,10.0,10.0,0.0
VRE120_base,19,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,20,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,1,M3,M1d_earliest,1779.4778133961331,1779.4778133961363,3.183231456205249e-12,6.0,6.0,0.0
VRE120_base,2,M3,M1d_earliest,2522.2746481307545,2522.2746481307568,2.2737367544323206e-12,6.0,6.0,0.0
VRE120_base,3,M3,M1d_earliest,2519.0376033961334,2519.0376033961284,-5.002220859751105e-12,6.0,6.0,0.0
VRE120_base,4,M3,M1d_earliest,7004.091136661509,7004.091136661507,-1.8189894035458565e-12,14.0,14.0,0.0
VRE120_base,5,M3,M1d_earliest,9712.357466792264,9712.357466792266,1.8189894035458565e-12,24.0,24.0,0.0
VRE120_base,6,M3,M1d_earliest,8239.83785026151,8239.837850261514,3.637978807091713e-12,21.0,21.0,0.0
VRE120_base,7,M3,M1d_earliest,676.5770517961292,676.5770517961282,-1.0231815394945443e-12,4.0,4.0,0.0
VRE120_base,8,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,9,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,10,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,11,M3,M1d_earliest,3237.736763730755,3237.7367637307552,4.547473508864641e-13,7.0,7.0,0.0
VRE120_base,12,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,13,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,14,M3,M1d_earliest,839.7710056653752,839.7710056653759,6.821210263296962e-13,2.0,2.0,0.0
VRE120_base,15,M3,M1d_earliest,9853.506778661507,9853.506778661507,0.0,16.0,16.0,0.0
VRE120_base,16,M3,M1d_earliest,102.97820926537509,102.97820926537406,-1.0231815394945443e-12,3.0,3.0,0.0
VRE120_base,17,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,18,M3,M1d_earliest,3095.745364930748,3095.745364930747,-9.094947017729282e-13,10.0,10.0,0.0
VRE120_base,19,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,20,M3,M1d_earliest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,1,M3,M1d_largest,1779.4778133961331,1779.4778133961336,4.547473508864641e-13,6.0,9.0,3.0
VRE120_base,2,M3,M1d_largest,2522.2746481307545,2522.274648130756,1.3642420526593924e-12,6.0,8.0,2.0
VRE120_base,3,M3,M1d_largest,2519.0376033961334,2519.03760339613,-3.183231456205249e-12,6.0,10.0,4.0
VRE120_base,4,M3,M1d_largest,7004.091136661509,7004.091136661508,-9.094947017729282e-13,14.0,23.0,9.0
VRE120_base,5,M3,M1d_largest,9712.357466792264,9712.357466792264,0.0,24.0,36.0,12.0
VRE120_base,6,M3,M1d_largest,8239.83785026151,8239.837850261512,1.8189894035458565e-12,21.0,26.0,5.0
VRE120_base,7,M3,M1d_largest,676.5770517961292,676.5770517961273,-1.9326762412674725e-12,4.0,6.0,2.0
VRE120_base,8,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,9,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,10,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,11,M3,M1d_largest,3237.736763730755,3237.7367637307552,4.547473508864641e-13,7.0,10.0,3.0
VRE120_base,12,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,13,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,14,M3,M1d_largest,839.7710056653752,839.7710056653768,1.5916157281026244e-12,2.0,3.0,1.0
VRE120_base,15,M3,M1d_largest,9853.506778661507,9853.506778661507,0.0,16.0,22.0,6.0
VRE120_base,16,M3,M1d_largest,102.97820926537509,102.97820926537406,-1.0231815394945443e-12,3.0,3.0,0.0
VRE120_base,17,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,18,M3,M1d_largest,3095.745364930748,3095.7453649307445,-3.637978807091713e-12,10.0,13.0,3.0
VRE120_base,19,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,20,M3,M1d_largest,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,1,M3,M2,1779.4778133961331,1779.4778133961336,4.547473508864641e-13,6.0,7.0,1.0
VRE120_base,2,M3,M2,2522.2746481307545,2522.274648130755,4.547473508864641e-13,6.0,7.0,1.0
VRE120_base,3,M3,M2,2519.0376033961334,2519.037603396134,4.547473508864641e-13,6.0,4.0,-2.0
VRE120_base,4,M3,M2,7004.091136661509,7004.091136661509,0.0,14.0,14.0,0.0
