case,scenario_id,mc_eue_mwh,m3_eue_mwh,delta_eue_mwh,mc_lolh,m3_lolh,delta_lolh
VRE120_base,1,29464.531872399966,29464.531872399966,0.0,93.0,93.0,0.0
VRE120_base,2,40276.92264119996,40276.922641199955,7.275957614183426e-12,127.0,127.0,0.0
VRE120_base,3,35615.93109359997,35615.93109359997,0.0,101.0,101.0,0.0
VRE120_base,4,49491.39154559995,49491.39154559995,0.0,128.0,128.0,0.0
VRE120_base,5,54383.20719439995,54383.207194399954,-7.275957614183426e-12,129.0,129.0,0.0
VRE120_base,6,39633.035714399964,39633.035714399964,0.0,97.0,97.0,0.0
VRE120_base,7,36566.712325199966,36566.71232519996,7.275957614183426e-12,102.0,102.0,0.0
VRE120_base,8,24945.436746799973,24945.436746799973,0.0,90.0,90.0,0.0
VRE120_base,9,13900.730931999982,13900.73093199998,1.8189894035458565e-12,61.0,61.0,0.0
VRE120_base,10,19638.346831999974,19638.346831999974,0.0,77.0,77.0,0.0
VRE120_base,11,40313.85112839996,40313.85112839995,1.4551915228366852e-11,116.0,116.0,0.0
VRE120_base,12,19869.128942399977,19869.128942399977,0.0,74.0,74.0,0.0
VRE120_base,13,23746.44494479997,23746.444944799965,3.637978807091713e-12,89.0,89.0,0.0
VRE120_base,14,18393.798245999984,18393.79824599998,3.637978807091713e-12,64.0,64.0,0.0
VRE120_base,15,43791.13605639996,43791.13605639996,0.0,99.0,99.0,0.0
VRE120_base,16,23056.623701599965,23056.62370159997,-3.637978807091713e-12,92.0,92.0,0.0
VRE120_base,17,14618.263687599972,14618.263687599972,0.0,69.0,69.0,0.0
VRE120_base,18,34907.47428799997,34907.47428799997,0.0,102.0,102.0,0.0
VRE120_base,19,27280.860125999963,27280.86012599997,-7.275957614183426e-12,94.0,94.0,0.0
VRE120_base,20,30448.88220039996,30448.88220039996,0.0,104.0,104.0,0.0
VRE120_wind_hvy,1,14628.051111999986,14628.051111999983,3.637978807091713e-12,49.0,49.0,0.0
VRE120_wind_hvy,2,20296.354095999974,20296.35409599997,3.637978807091713e-12,70.0,70.0,0.0
VRE120_wind_hvy,3,18790.931141999976,18790.93114199998,-3.637978807091713e-12,64.0,64.0,0.0
VRE120_wind_hvy,4,23930.226200799963,23930.226200799963,0.0,76.0,76.0,0.0
VRE120_wind_hvy,5,28366.462050799964,28366.462050799964,0.0,77.0,77.0,0.0
VRE120_wind_hvy,6,25375.687206399976,25375.687206399976,0.0,62.0,62.0,0.0
VRE120_wind_hvy,7,16674.47596079998,16674.475960799977,3.637978807091713e-12,53.0,53.0,0.0
VRE120_wind_hvy,8,12729.834394799978,12729.834394799978,0.0,46.0,46.0,0.0
VRE120_wind_hvy,9,7325.049348799987,7325.049348799986,9.094947017729282e-13,34.0,34.0,0.0
VRE120_wind_hvy,10,8240.910919199983,8240.910919199981,1.8189894035458565e-12,39.0,39.0,0.0
VRE120_wind_hvy,11,22093.01744999997,22093.01744999997,0.0,65.0,65.0,0.0
VRE120_wind_hvy,12,10285.422772799982,10285.422772799982,0.0,45.0,45.0,0.0
VRE120_wind_hvy,13,13048.291331999979,13048.291331999979,0.0,44.0,44.0,0.0
VRE120_wind_hvy,14,5580.084951999987,5580.084951999989,-1.8189894035458565e-12,26.0,26.0,0.0
VRE120_wind_hvy,15,24003.500644399966,24003.500644399966,0.0,62.0,62.0,0.0
VRE120_wind_hvy,16,10673.109353599975,10673.109353599977,-1.8189894035458565e-12,50.0,50.0,0.0
VRE120_wind_hvy,17,5699.138032799995,5699.138032799991,3.637978807091713e-12,28.0,28.0,0.0
VRE120_wind_hvy,18,17867.81303159998,17867.81303159998,0.0,50.0,50.0,0.0
VRE120_wind_hvy,19,14673.605152799977,14673.605152799977,0.0,51.0,51.0,0.0
VRE120_wind_hvy,20,15740.251583599984,15740.25158359998,3.637978807091713e-12,57.0,57.0,0.0
