case,model,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
VRE120_base,MC-NoStorage,1,93.0,29464.531872399966,1057.5103431999987,27,3.4444444444444446,0.046000003814697266
VRE120_base,MC-NoStorage,2,127.0,40276.92264119996,1047.4009067999987,34,3.735294117647059,0.04399991035461426
VRE120_base,MC-NoStorage,3,101.0,35615.93109359997,1076.7977315999997,31,3.2580645161290325,0.30699992179870605
VRE120_base,MC-NoStorage,4,128.0,49491.39154559995,1259.4009067999987,31,4.129032258064516,0.04500007629394531
VRE120_base,MC-NoStorage,5,129.0,54383.20719439995,1302.4009067999987,28,4.607142857142857,0.04699993133544922
VRE120_base,MC-NoStorage,6,97.0,39633.035714399964,1332.3098683999997,28,3.4642857142857144,0.05500006675720215
VRE120_base,MC-NoStorage,7,102.0,36566.712325199966,887.4009067999987,25,4.08,0.042999982833862305
VRE120_base,MC-NoStorage,8,90.0,24945.436746799973,822.4009067999987,27,3.3333333333333335,0.04999995231628418
VRE120_base,MC-NoStorage,9,61.0,13900.730931999982,684.4151787999999,21,2.9047619047619047,0.042999982833862305
VRE120_base,MC-NoStorage,10,77.0,19638.346831999974,928.415178799999,26,2.9615384615384617,0.04500007629394531
VRE120_base,MC-NoStorage,11,116.0,40313.85112839996,1102.4009067999987,28,4.142857142857143,0.042999982833862305
VRE120_base,MC-NoStorage,12,74.0,19869.128942399977,719.1027760000006,22,3.3636363636363638,0.04400014877319336
VRE120_base,MC-NoStorage,13,89.0,23746.44494479997,894.5298223999998,30,2.966666666666667,0.04199981689453125
VRE120_base,MC-NoStorage,14,64.0,18393.798245999984,778.5207527999992,19,3.3684210526315788,0.04400014877319336
VRE120_base,MC-NoStorage,15,99.0,43791.13605639996,1552.4009067999987,27,3.6666666666666665,0.04499983787536621
VRE120_base,MC-NoStorage,16,92.0,23056.623701599965,1028.5298223999998,31,2.967741935483871,0.04500007629394531
VRE120_base,MC-NoStorage,17,69.0,14618.263687599972,628.4009067999987,22,3.1363636363636362,0.042999982833862305
VRE120_base,MC-NoStorage,18,102.0,34907.47428799997,1152.3098683999997,26,3.923076923076923,0.042999982833862305
VRE120_base,MC-NoStorage,19,94.0,27280.860125999963,831.6539771999996,25,3.76,0.04400014877319336
VRE120_base,MC-NoStorage,20,104.0,30448.88220039996,921.9917112000003,32,3.25,0.04399991035461426
VRE120_base,M3-NoStorage,1,93.0,29464.531872399966,1057.5103431999987,27,3.4444444444444446,7.01800012588501
VRE120_base,M3-NoStorage,2,127.0,40276.922641199955,1047.4009067999996,34,3.735294117647059,7.0920000076293945
VRE120_base,M3-NoStorage,3,101.0,35615.93109359997,1076.7977315999997,31,3.2580645161290325,7.146000146865845
VRE120_base,M3-NoStorage,4,128.0,49491.39154559995,1259.4009067999996,31,4.129032258064516,7.294000148773193
VRE120_base,M3-NoStorage,5,129.0,54383.207194399954,1302.4009067999996,28,4.607142857142857,7.384000062942505
VRE120_base,M3-NoStorage,6,97.0,39633.035714399964,1332.3098683999997,28,3.4642857142857144,7.309999942779541
VRE120_base,M3-NoStorage,7,102.0,36566.71232519996,887.4009067999996,25,4.08,7.200999975204468
VRE120_base,M3-NoStorage,8,90.0,24945.436746799973,822.4009067999996,27,3.3333333333333335,7.332000017166138
VRE120_base,M3-NoStorage,9,61.0,13900.73093199998,684.415178799999,21,2.9047619047619047,7.289000034332275
VRE120_base,M3-NoStorage,10,77.0,19638.346831999974,928.415178799999,26,2.9615384615384617,6.953000068664551
VRE120_base,M3-NoStorage,11,116.0,40313.85112839995,1102.4009067999996,28,4.142857142857143,7.017999887466431
VRE120_base,M3-NoStorage,12,74.0,19869.128942399977,719.1027760000006,22,3.3636363636363638,6.859999895095825
VRE120_base,M3-NoStorage,13,89.0,23746.444944799965,894.5298223999998,30,2.966666666666667,6.974999904632568
VRE120_base,M3-NoStorage,14,64.0,18393.79824599998,778.5207527999992,19,3.3684210526315788,7.471999883651733
VRE120_base,M3-NoStorage,15,99.0,43791.13605639996,1552.4009067999996,27,3.6666666666666665,6.4059998989105225
VRE120_base,M3-NoStorage,16,92.0,23056.62370159997,1028.5298223999998,31,2.967741935483871,5.921999931335449
VRE120_base,M3-NoStorage,17,69.0,14618.263687599972,628.4009067999996,22,3.1363636363636362,7.049999952316284
VRE120_base,M3-NoStorage,18,102.0,34907.47428799997,1152.3098683999997,26,3.923076923076923,6.601000070571899
VRE120_base,M3-NoStorage,19,94.0,27280.86012599997,831.6539771999996,25,3.76,7.166999816894531
VRE120_base,M3-NoStorage,20,104.0,30448.88220039996,921.9917112000003,32,3.25,6.351999998092651
VRE120_base,M3-WithStorage,1,6.0,1779.4778133961331,636.8230188653783,5,1.2,8.016999959945679
VRE120_base,M3-WithStorage,2,6.0,2522.2746481307545,781.0900187999996,3,2.0,7.6529998779296875
VRE120_base,M3-WithStorage,3,6.0,2519.0376033961334,854.0680419999999,3,2.0,8.884999990463257
VRE120_base,M3-WithStorage,4,14.0,7004.091136661509,1000.4025376,4,3.5,8.194999933242798
VRE120_base,M3-WithStorage,5,24.0,9712.357466792264,1085.7195783999996,7,3.4285714285714284,8.772000074386597
VRE120_base,M3-WithStorage,6,21.0,8239.83785026151,836.3365812000002,4,5.25,8.223000049591064
VRE120_base,M3-WithStorage,7,4.0,676.5770517961292,225.68144159999883,3,1.3333333333333333,8.533999919891357
VRE120_base,M3-WithStorage,8,0.0,0.0,0.0,0,0.0,8.047999858856201
VRE120_base,M3-WithStorage,9,0.0,0.0,0.0,0,0.0,8.746999979019165
VRE120_base,M3-WithStorage,10,0.0,0.0,0.0,0,0.0,9.16599988937378
VRE120_base,M3-WithStorage,11,7.0,3237.736763730755,911.0900187999996,2,3.5,8.266000032424927
VRE120_base,M3-WithStorage,12,0.0,0.0,0.0,0,0.0,8.337000131607056
VRE120_base,M3-WithStorage,13,0.0,0.0,0.0,0,0.0,7.755000114440918
VRE120_base,M3-WithStorage,14,2.0,839.7710056653752,511.7822120000001,1,2.0,8.54200005531311
VRE120_base,M3-WithStorage,15,16.0,9853.506778661507,1347.7195783999996,4,4.0,8.545000076293945
VRE120_base,M3-WithStorage,16,3.0,102.97820926537509,45.52982239999983,2,1.5,8.567999839782715
VRE120_base,M3-WithStorage,17,0.0,0.0,0.0,0,0.0,8.106000185012817
VRE120_base,M3-WithStorage,18,10.0,3095.745364930748,985.1041924653767,2,5.0,7.857000112533569
VRE120_base,M3-WithStorage,19,0.0,0.0,0.0,0,0.0,8.536999940872192
VRE120_base,M3-WithStorage,20,0.0,0.0,0.0,0,0.0,8.47000002861023
VRE120_wind_hvy,MC-NoStorage,1,49.0,14628.051111999986,963.5103431999987,19,2.5789473684210527,0.04900002479553223
VRE120_wind_hvy,MC-NoStorage,2,70.0,20296.354095999974,957.2009067999988,24,2.9166666666666665,0.04999995231628418
VRE120_wind_hvy,MC-NoStorage,3,64.0,18790.931141999976,869.5393583999994,20,3.2,0.04699993133544922
VRE120_wind_hvy,MC-NoStorage,4,76.0,23930.226200799963,1170.3002639999995,29,2.6206896551724137,0.04800009727478027
VRE120_wind_hvy,MC-NoStorage,5,77.0,28366.462050799964,1212.2009067999988,27,2.8518518518518516,0.04699993133544922
VRE120_wind_hvy,MC-NoStorage,6,62.0,25375.687206399976,1322.3098683999997,19,3.263157894736842,0.04699993133544922
VRE120_wind_hvy,MC-NoStorage,7,53.0,16674.47596079998,797.2009067999988,18,2.9444444444444446,0.04700016975402832
VRE120_wind_hvy,MC-NoStorage,8,46.0,12729.834394799978,732.2009067999988,17,2.7058823529411766,0.04699993133544922
VRE120_wind_hvy,MC-NoStorage,9,34.0,7325.049348799987,640.93624,13,2.6153846153846154,0.04799985885620117
VRE120_wind_hvy,MC-NoStorage,10,39.0,8240.910919199983,704.6151787999988,14,2.7857142857142856,0.04700016975402832
VRE120_wind_hvy,MC-NoStorage,11,65.0,22093.01744999997,1012.2009067999988,19,3.4210526315789473,0.04699993133544922
VRE120_wind_hvy,MC-NoStorage,12,45.0,10285.422772799982,610.0370979999998,15,3.0,0.04800009727478027
VRE120_wind_hvy,MC-NoStorage,13,44.0,13048.291331999979,863.3098683999997,16,2.75,0.9729998111724854
VRE120_wind_hvy,MC-NoStorage,14,26.0,5580.084951999987,636.720752799999,11,2.3636363636363638,0.04500007629394531
VRE120_wind_hvy,MC-NoStorage,15,62.0,24003.500644399966,1462.2009067999988,20,3.1,0.04699993133544922
VRE120_wind_hvy,MC-NoStorage,16,50.0,10673.109353599975,721.5298223999998,20,2.5,0.04800009727478027
VRE120_wind_hvy,MC-NoStorage,17,28.0,5699.138032799995,538.2009067999988,11,2.5454545454545454,0.05099987983703613
VRE120_wind_hvy,MC-NoStorage,18,50.0,17867.81303159998,1142.3098683999997,17,2.9411764705882355,0.04800009727478027
VRE120_wind_hvy,MC-NoStorage,19,51.0,14673.605152799977,810.6539771999996,18,2.8333333333333335,0.04900002479553223
VRE120_wind_hvy,MC-NoStorage,20,57.0,15740.251583599984,618.0773864000012,23,2.4782608695652173,0.04800009727478027
VRE120_wind_hvy,M3-NoStorage,1,49.0,14628.051111999983,963.5103431999987,19,2.5789473684210527,5.63100004196167
VRE120_wind_hvy,M3-NoStorage,2,70.0,20296.35409599997,957.2009067999988,24,2.9166666666666665,6.013000011444092
VRE120_wind_hvy,M3-NoStorage,3,64.0,18790.93114199998,869.5393583999994,20,3.2,7.159999847412109
VRE120_wind_hvy,M3-NoStorage,4,76.0,23930.226200799963,1170.3002639999995,29,2.6206896551724137,6.670000076293945
VRE120_wind_hvy,M3-NoStorage,5,77.0,28366.462050799964,1212.2009067999988,27,2.8518518518518516,7.221999883651733
VRE120_wind_hvy,M3-NoStorage,6,62.0,25375.687206399976,1322.3098683999997,19,3.263157894736842,6.550000190734863
VRE120_wind_hvy,M3-NoStorage,7,53.0,16674.475960799977,797.2009067999988,18,2.9444444444444446,6.834000110626221
VRE120_wind_hvy,M3-NoStorage,8,46.0,12729.834394799978,732.2009067999988,17,2.7058823529411766,6.697999954223633
VRE120_wind_hvy,M3-NoStorage,9,34.0,7325.049348799986,640.93624,13,2.6153846153846154,6.9700000286102295
VRE120_wind_hvy,M3-NoStorage,10,39.0,8240.910919199981,704.6151787999988,14,2.7857142857142856,6.76200008392334
VRE120_wind_hvy,M3-NoStorage,11,65.0,22093.01744999997,1012.2009067999988,19,3.4210526315789473,7.255000114440918
VRE120_wind_hvy,M3-NoStorage,12,45.0,10285.422772799982,610.0370979999989,15,3.0,6.958000183105469
VRE120_wind_hvy,M3-NoStorage,13,44.0,13048.291331999979,863.3098683999997,16,2.75,7.490000009536743
