model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
MC-NoStorage,VRE120_base_nostorage,1,93.0,29464.531872399966,1057.5103431999987,27.0,3.4444444444444446,0.042999982833862305
MC-NoStorage,VRE120_base_nostorage,2,127.0,40276.92264119996,1047.4009067999987,34.0,3.735294117647059,0.03900003433227539
MC-NoStorage,VRE120_base_nostorage,3,101.0,35615.93109359997,1076.7977315999997,31.0,3.2580645161290325,0.2999999523162842
MC-NoStorage,VRE120_base_nostorage,4,128.0,49491.39154559995,1259.4009067999987,31.0,4.129032258064516,0.042999982833862305
MC-NoStorage,VRE120_base_nostorage,5,129.0,54383.20719439995,1302.4009067999987,28.0,4.607142857142857,0.057000160217285156
M3-NoStorage,VRE120_base_nostorage,1,93.0,29464.531872399966,1057.5103431999987,27.0,3.4444444444444446,6.991999864578247
M3-NoStorage,VRE120_base_nostorage,2,127.0,40276.922641199955,1047.4009067999996,34.0,3.735294117647059,7.465000152587891
M3-NoStorage,VRE120_base_nostorage,3,101.0,35615.93109359997,1076.7977315999997,31.0,3.2580645161290325,7.6590001583099365
M3-NoStorage,VRE120_base_nostorage,4,128.0,49491.39154559995,1259.4009067999996,31.0,4.129032258064516,7.901000022888184
M3-NoStorage,VRE120_base_nostorage,5,129.0,54383.207194399954,1302.4009067999996,28.0,4.607142857142857,7.447999954223633
HOPE-ED-NoStorage,VRE120_base_nostorage,1,93.0,29464.531872399966,1057.5103431999987,27.0,3.4444444444444446,120.58
HOPE-ED-NoStorage,VRE120_base_nostorage,2,127.0,40276.92264119995,1047.4009067999978,34.0,3.735294117647059,123.13
HOPE-ED-NoStorage,VRE120_base_nostorage,3,101.0,35615.93109359997,1076.7977315999997,31.0,3.2580645161290325,123.03
HOPE-ED-NoStorage,VRE120_base_nostorage,4,128.0,49491.39154559995,1259.4009067999978,31.0,4.129032258064516,123.07
HOPE-ED-NoStorage,VRE120_base_nostorage,5,129.0,54383.20719439995,1302.4009067999978,28.0,4.607142857142857,124.46
HOPE-UC-NoStorage,VRE120_base_nostorage,1,93.0,29464.531872399966,1057.5103431999992,27.0,3.4444444444444446,731.89
HOPE-UC-NoStorage,VRE120_base_nostorage,2,127.0,40276.92264119995,1047.400906799999,34.0,3.735294117647059,863.07
HOPE-UC-NoStorage,VRE120_base_nostorage,3,101.0,35615.93109359997,1076.7977315999997,31.0,3.2580645161290325,913.08
HOPE-UC-NoStorage,VRE120_base_nostorage,4,128.0,49491.391545599945,1259.400906799999,31.0,4.129032258064516,898.5
HOPE-UC-NoStorage,VRE120_base_nostorage,5,129.0,54383.20719439995,1302.4009067999991,28.0,4.607142857142857,924.58
