portfolio,method,risk_margin_mw,window_buffer_h,lolh_h,eue_mwh,eue_vs_m3_mwh,max_shortfall_mw,runtime_s,speedup_vs_m3,window_coverage_pct,n_windows
Balanced VRE,"Full-year ED (M3, reference)",—,—,11.2,4707.4,0.0,872.0,49.6,1.0×,100,—
Balanced VRE,Event-window (M2),300,24,11.4,4707.4,-0.0,1106.0,2.6,19.1×,17.0,6.2
Balanced VRE,Event-window (M2),300,48,12.0,4707.4,0.0,897.0,1.5,33.1×,20.8,3.6
Balanced VRE,Event-window (M2),500,24,9.6,4707.4,-0.0,1002.0,1.8,27.5×,19.4,6.0
Balanced VRE,Event-window (M2),500,48,12.4,4707.4,0.0,951.0,1.2,41.3×,22.9,3.8
Balanced VRE,Event-window (M2),800,24,10.6,4707.4,-0.0,1020.0,1.6,31.0×,23.9,5.6
Balanced VRE,Event-window (M2),800,48,11.4,4707.4,-0.0,894.0,1.5,33.1×,27.1,4.4
Balanced VRE,Event-window (M2),1000,24,10.6,4707.4,0.0,1072.0,1.4,35.4×,26.8,6.0
Balanced VRE,Event-window (M2),1000,48,11.2,4707.4,0.0,986.0,2.0,24.8×,30.1,4.6
Wind-heavy VRE,"Full-year ED (M3, reference)",—,—,4.4,1113.2,0.0,417.0,45.9,1.0×,100,—
Wind-heavy VRE,Event-window (M2),300,24,3.4,1113.2,0.0,579.0,0.7,65.5×,14.0,7.0
Wind-heavy VRE,Event-window (M2),300,48,3.8,1113.2,0.0,472.0,1.9,24.1×,18.0,4.4
Wind-heavy VRE,Event-window (M2),500,24,3.4,1113.2,0.0,579.0,0.9,51.0×,17.3,6.8
Wind-heavy VRE,Event-window (M2),500,48,4.4,1113.2,0.0,420.0,1.5,30.6×,21.2,4.0
Wind-heavy VRE,Event-window (M2),800,24,4.2,1113.2,0.0,532.0,1.1,41.7×,22.1,6.0
Wind-heavy VRE,Event-window (M2),800,48,3.6,1113.2,0.0,584.0,1.6,28.7×,25.6,3.8
Wind-heavy VRE,Event-window (M2),1000,24,3.6,1113.2,0.0,590.0,1.3,35.3×,24.3,6.8
Wind-heavy VRE,Event-window (M2),1000,48,3.8,1113.2,0.0,509.0,2.0,22.9×,28.2,4.0
