portfolio,solver,threshold_mw,mean_lolh,total_positive_scenario_hours,total_eue_excluded_mwh,max_excluded_hourly_shed_mw
VRE120_base,HiGHS,0.0,5.75,115,0.0,0.0
VRE120_base,Gurobi,0.0,7.2,144,0.0,0.0
VRE120_base,HiGHS,1.0e-10,5.75,115,0.0,0.0
VRE120_base,Gurobi,1.0e-10,7.2,144,0.0,0.0
VRE120_base,HiGHS,1.0e-9,5.75,115,0.0,0.0
VRE120_base,Gurobi,1.0e-9,7.2,144,0.0,0.0
VRE120_base,HiGHS,1.0e-8,5.75,115,0.0,0.0
VRE120_base,Gurobi,1.0e-8,7.2,144,0.0,0.0
VRE120_base,HiGHS,1.0e-7,5.75,115,0.0,0.0
VRE120_base,Gurobi,1.0e-7,7.2,144,0.0,0.0
VRE120_base,HiGHS,1.0e-6,5.75,115,0.0,0.0
VRE120_base,Gurobi,1.0e-6,7.2,144,0.0,0.0
VRE120_base,HiGHS,1.0e-5,5.75,115,0.0,0.0
VRE120_base,Gurobi,1.0e-5,7.2,144,0.0,0.0
VRE120_base,HiGHS,0.0001,5.75,115,0.0,0.0
VRE120_base,Gurobi,0.0001,7.2,144,0.0,0.0
VRE120_base,HiGHS,0.001,5.75,115,0.0,0.0
VRE120_base,Gurobi,0.001,7.2,144,0.0,0.0
VRE120_wind_hvy,HiGHS,0.0,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,0.0,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,1.0e-10,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,1.0e-10,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,1.0e-9,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,1.0e-9,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,1.0e-8,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,1.0e-8,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,1.0e-7,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,1.0e-7,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,1.0e-6,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,1.0e-6,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,1.0e-5,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,1.0e-5,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,0.0001,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,0.0001,2.25,45,0.0,0.0
VRE120_wind_hvy,HiGHS,0.001,1.95,39,0.0,0.0
VRE120_wind_hvy,Gurobi,0.001,2.25,45,0.0,0.0
