portfolio,scenario,solver,eue_mwh,lolh_h,obj_value,status,runtime_s
VRE120_base,1,Gurobi,1779.4778133961331,6.0,8.134962224817245e8,OPTIMAL,8.354000091552734
VRE120_base,2,Gurobi,2522.2746481307545,6.0,8.294992215951626e8,OPTIMAL,9.61299991607666
VRE120_base,3,Gurobi,2519.0376033961334,6.0,8.21600998267457e8,OPTIMAL,9.440999984741211
VRE120_base,4,Gurobi,7004.091136661509,14.0,8.686799941460447e8,OPTIMAL,8.836000204086304
VRE120_base,5,Gurobi,9712.357466792264,24.0,8.95260795738418e8,OPTIMAL,9.361999988555908
VRE120_base,6,Gurobi,8239.83785026151,21.0,8.738715304525553e8,OPTIMAL,9.491999864578247
VRE120_base,7,Gurobi,676.5770517961292,4.0,8.038203074198817e8,OPTIMAL,8.746999979019165
VRE120_base,8,Gurobi,0.0,0.0,7.942458317915175e8,OPTIMAL,9.434000015258789
VRE120_base,9,Gurobi,0.0,0.0,7.844522596734684e8,OPTIMAL,8.742000102996826
VRE120_base,10,Gurobi,0.0,0.0,7.939183128941981e8,OPTIMAL,8.41700005531311
VRE120_base,11,Gurobi,3237.736763730755,7.0,8.335526256259775e8,OPTIMAL,8.628999948501587
VRE120_base,12,Gurobi,0.0,0.0,7.915924416215167e8,OPTIMAL,9.430000066757202
VRE120_base,13,Gurobi,0.0,0.0,8.092121448200729e8,OPTIMAL,8.57800006866455
VRE120_base,14,Gurobi,839.7710056653752,2.0,7.983598659096794e8,OPTIMAL,8.664999961853027
VRE120_base,15,Gurobi,9853.506778661507,16.0,8.921690372234005e8,OPTIMAL,9.067000150680542
VRE120_base,16,Gurobi,102.97820926537509,3.0,7.951599234709244e8,OPTIMAL,9.050000190734863
VRE120_base,17,Gurobi,0.0,0.0,7.888041739364929e8,OPTIMAL,9.870000123977661
VRE120_base,18,Gurobi,3095.745364930748,10.0,8.280517186865803e8,OPTIMAL,8.778000116348267
VRE120_base,19,Gurobi,0.0,0.0,7.965211100298386e8,OPTIMAL,9.348999977111816
VRE120_base,20,Gurobi,0.0,0.0,8.06525400635835e8,OPTIMAL,9.103000164031982
VRE120_base,1,HiGHS,1779.4778133961336,7.0,8.134962224817235e8,OPTIMAL,413.6050000190735
VRE120_base,2,HiGHS,2522.274648130754,7.0,8.294992215951608e8,OPTIMAL,421.96399998664856
VRE120_base,3,HiGHS,2519.037603396134,6.0,8.216009982674549e8,OPTIMAL,429.7869999408722
VRE120_base,4,HiGHS,7004.091136661508,14.0,8.686799941460445e8,OPTIMAL,425.5659999847412
VRE120_base,5,HiGHS,9712.357466792264,25.0,8.952607957384194e8,OPTIMAL,434.029000043869
VRE120_base,6,HiGHS,8239.83785026151,15.0,8.738715304525534e8,OPTIMAL,436.50300002098083
VRE120_base,7,HiGHS,676.57705179613,3.0,8.038203074198823e8,OPTIMAL,433.3949999809265
VRE120_base,8,HiGHS,0.0,0.0,7.942458317915115e8,OPTIMAL,428.09100008010864
VRE120_base,9,HiGHS,0.0,0.0,7.84452259673467e8,OPTIMAL,403.9909999370575
VRE120_base,10,HiGHS,0.0,0.0,7.939183128941952e8,OPTIMAL,419.5329999923706
VRE120_base,11,HiGHS,3237.7367637307552,7.0,8.335526256259769e8,OPTIMAL,424.96600008010864
VRE120_base,12,HiGHS,0.0,0.0,7.91592441621515e8,OPTIMAL,415.7410001754761
VRE120_base,13,HiGHS,0.0,0.0,8.092121448200712e8,OPTIMAL,421.20499992370605
VRE120_base,14,HiGHS,839.7710056653759,2.0,7.98359865909674e8,OPTIMAL,415.7630000114441
VRE120_base,15,HiGHS,9853.506778661507,16.0,8.921690372233999e8,OPTIMAL,412.0769999027252
VRE120_base,16,HiGHS,102.97820926537497,3.0,7.951599234709208e8,OPTIMAL,428.8430001735687
VRE120_base,17,HiGHS,0.0,0.0,7.888041739364928e8,OPTIMAL,425.1710000038147
VRE120_base,18,HiGHS,3095.745364930748,9.0,8.280517186865776e8,OPTIMAL,434.69400000572205
VRE120_base,19,HiGHS,0.0,0.0,7.965211100298359e8,OPTIMAL,404.72900009155273
VRE120_base,20,HiGHS,0.0,0.0,8.065254006358341e8,OPTIMAL,404.3239998817444
VRE120_wind_hvy,1,Gurobi,514.1403548653742,2.0,5.418974021199077e8,OPTIMAL,8.030999898910522
VRE120_wind_hvy,2,Gurobi,537.1403548653741,2.0,5.490755645912877e8,OPTIMAL,8.346999883651733
