portfolio,method_label,model_internal,n_scenarios,lolh_h,eue_mwh,neue_ppm,cvar_eue_mwh,runtime_s,marginal_cc
Balanced VRE (N=20),Naive Storage Monte Carlo,M1,20,95.4,31017,688,51937,0.07,0.0
Balanced VRE (N=20),Reserve-Floor Storage Monte Carlo,M1b,20,83.55,28272,627,49455,0.05,0.029
Balanced VRE (N=20),Emergency-Only Storage Monte Carlo,M1c,20,5.95,2479,55,9783,0.06,0.497
Balanced VRE (N=20),Risk-Hour-Earliest Monte Carlo,M1d_earliest,20,5.95,2479,55,9783,0.05,
Balanced VRE (N=20),Risk-Hour-Largest Monte Carlo,M1d_largest,20,8.45,2479,55,9783,0.06,
Balanced VRE (N=20),Event-Window LP Monte Carlo,M2,20,5.75,2479,55,9783,0.43,0.497
Balanced VRE (N=20),Full-Year ED Monte Carlo,M3,20,5.95,2479,55,9783,9.56,0.497
Balanced VRE (N=20),PCM-UCED,HOPE-UC,20,7.25,2479,55,9783,571.92,0.497
Wind-heavy VRE (N=20),Emergency-only storage MCS,M1c,20,2.25,648,14,3528,0.06,0.604
Wind-heavy VRE (N=20),Event-window storage MCS,M2,20,1.95,648,14,3528,0.43,0.604
Wind-heavy VRE (N=20),Full-year ED,M3,20,2.25,648,14,3528,9.37,0.604
Wind-heavy VRE (N=20),PCM-ED (cross-check),HOPE-ED,20,1.95,648,14,3528,118.9,
Wind-heavy VRE (N=20),PCM-UCED,HOPE-UC,20,2.65,660,15,3624,2819.95,0.612
