case,model,model_internal,n_scen,delta_mw,eue_baseline_mwh,eue_plus_storage_mwh,eue_plus_perfect_rerun_mwh,eue_plus_perfect_analytical_mwh,delta_eue_storage_mwh,delta_eue_perfect_rerun_mwh,delta_eue_perfect_analytical_mwh,normalized_marginal_cc_rerun,normalized_marginal_cc_analytical,cc_error_rerun_vs_m3,cc_error_analytical_vs_m3
VRE120_wind_hvy,Naive storage MCS,M1,20,1.0,15801.110836859978,15801.110836859978,15748.73896977998,15748.738969779984,0.0,52.37186707999717,52.371867079993535,0.0,0.0,-0.6041072964198553,-1.1008177401427979
VRE120_wind_hvy,Naive storage MCS,M1,20,5.0,15801.110836859978,15801.110836859978,15541.084123839979,15541.084123839983,0.0,260.0267130199991,260.02671301999544,0.0,0.0,-0.6041072964197943,-1.1008177401427313
VRE120_wind_hvy,Naive storage MCS,M1,20,10.0,15801.110836859978,15801.110836859978,15284.56605777998,15284.566057779986,0.0,516.5447790799972,516.5447790799917,0.0,0.0,-0.6018298937398728,-1.1055294549701467
VRE120_wind_hvy,SOC-floor storage MCS,M1b,20,1.0,8982.377867510268,8978.028529328649,8943.796726090266,8957.377867510268,4.349338181618805,38.581141420001586,25.0,0.1127322319023973,0.17397352726475218,-0.491375064517458,-0.9268442128780456
VRE120_wind_hvy,SOC-floor storage MCS,M1b,20,5.0,8982.377867510268,8960.63117660218,8790.536557170268,8858.187429610267,21.746690908086748,191.84131033999984,124.19043790000069,0.11335770627058972,0.17510761114794834,-0.4907495901492046,-0.9257101289947829
VRE120_wind_hvy,SOC-floor storage MCS,M1b,20,10.0,8982.377867510268,8938.884485694096,8600.454764070268,8735.139957848634,43.49338181617168,381.92310344,247.23790966163324,0.11387994448208205,0.1759171232101751,-0.4879499492577908,-0.9296123317599716
VRE120_wind_hvy,Emergency-only storage MCS,M1c,20,1.0,648.2368652992261,645.7600253839048,644.1368652992259,645.9868652992261,2.4768399153213068,4.10000000000025,2.25,0.6041072964197941,1.100817740142803,-6.117328865684613e-14,5.10702591327572e-15
VRE120_wind_hvy,Emergency-only storage MCS,M1c,20,5.0,648.2368652992261,635.8526657226199,627.736865299226,636.9868652992261,12.384199576606193,20.500000000000114,11.25,0.604107296419811,1.1008177401427728,1.6653345369377348e-14,4.1522341120980855e-14
VRE120_wind_hvy,Emergency-only storage MCS,M1c,20,10.0,648.2368652992261,623.7029727260137,607.471371879226,626.0448807592262,24.53389257321237,40.7654934200001,22.191984539999908,0.6018298937398784,1.1055294549701624,5.551115123125783e-15,1.5765166949677223e-14
VRE120_wind_hvy,Event-window storage MCS,M2,20,1.0,648.2368652992254,645.7600253839041,644.1368652992254,646.2868652992254,2.4768399153213068,4.100000000000023,1.9500000000000455,0.6041072964198275,1.2701743155493586,-2.7755575615628914e-14,0.16935657540656068
VRE120_wind_hvy,Event-window storage MCS,M2,20,5.0,648.2368652992254,635.8526657226191,627.7368652992255,638.4868652992254,12.384199576606306,20.499999999999886,9.75,0.6041072964198232,1.2701743155493648,2.886579864025407e-14,0.1693565754066335
VRE120_wind_hvy,Event-window storage MCS,M2,20,10.0,648.2368652992254,623.7029727260131,607.4713718792254,629.0066868159565,24.53389257321237,40.765493419999984,19.2301784832689,0.60182989373988,1.2758016049907146,7.216449660063518e-15,0.17027215002056795
VRE120_wind_hvy,Full-year ED (M3),M3,20,1.0,648.2368652992254,645.760025383904,644.1368652992254,645.9868652992253,2.4768399153214204,4.100000000000023,2.2500000000001137,0.6041072964198553,1.1008177401427979,0.0,0.0
VRE120_wind_hvy,Full-year ED (M3),M3,20,5.0,648.2368652992254,635.8526657226196,627.7368652992253,636.9868652992253,12.384199576605852,20.500000000000114,11.250000000000114,0.6041072964197943,1.1008177401427313,0.0,0.0
VRE120_wind_hvy,Full-year ED (M3),M3,20,10.0,648.2368652992254,623.7029727260133,607.4713718792253,626.0448807592254,24.533892573212142,40.7654934200001,22.19198454000002,0.6018298937398728,1.1055294549701467,0.0,0.0
