case,model,model_internal,n_scen,delta_mw,eue_baseline_mwh,eue_plus_storage_mwh,eue_plus_perfect_rerun_mwh,eue_plus_perfect_analytical_mwh,delta_eue_storage_mwh,delta_eue_perfect_rerun_mwh,delta_eue_perfect_analytical_mwh,normalized_marginal_cc_rerun,normalized_marginal_cc_analytical,cc_error_rerun_vs_m3,cc_error_analytical_vs_m3
VRE120_base,Naive storage MCS,M1,20,1.0,31017.135510959964,31017.135510959964,30921.76510951996,30921.76510951996,0.0,95.37040144000275,95.37040144000275,0.0,0.0,-0.4974369353074591,-1.116097997706584
VRE120_base,Naive storage MCS,M1,20,5.0,31017.135510959964,31017.135510959964,30541.503752139968,30541.50375213996,0.0,475.6317588199963,475.6317588200036,0.0,0.0,-0.49865402030765776,-1.1160979977064265
VRE120_base,Naive storage MCS,M1,20,10.0,31017.135510959964,31017.135510959964,30071.99858329997,30071.99858329997,0.0,945.1369276599944,945.1369276599944,0.0,0.0,-0.5009471810124526,-1.119072381128661
VRE120_base,SOC-floor storage MCS,M1b,20,1.0,28272.40493387265,28269.69756727656,28177.834532432655,28188.893032751017,2.70736659609247,94.5704014399962,83.51190112163385,0.02862805438983213,0.032418931430494326,-0.46880888091762696,-1.0836790662760896
VRE120_base,SOC-floor storage MCS,M1b,20,5.0,28272.40493387265,28258.868100892152,27800.77317505266,27856.112989271023,13.53683298049873,471.6317588199927,416.2919446016276,0.02870212348372689,0.03251764334150847,-0.46995189682393085,-1.083580354364918
VRE120_base,SOC-floor storage MCS,M1b,20,10.0,28272.40493387265,28245.33126791165,27335.12220081266,27444.87216466939,27.073665961001097,937.2827330599903,827.5327692032624,0.028885271227191447,0.03271612553430031,-0.4720619097852612,-1.0863562555943607
VRE120_base,Emergency-only storage MCS,M1c,20,1.0,2479.16958463441,2472.5288015480564,2465.8195846344097,2473.21958463441,6.640783086353622,13.350000000000364,5.950000000000273,0.4974369353073739,1.1160979977064398,-8.520961713998076e-14,-1.4410694859634532e-13
VRE120_base,Emergency-only storage MCS,M1c,20,5.0,2479.16958463441,2445.9656692026415,2412.58250405441,2449.4195846344096,33.203915431768564,66.58708058000002,29.750000000000455,0.49865402030768163,1.1160979977064893,2.3869795029440866e-14,6.283862319378386e-14
VRE120_base,Emergency-only storage MCS,M1c,20,10.0,2479.16958463441,2412.7617537708734,2346.605048131141,2419.82772973441,66.40783086353667,132.5645365032692,59.34185490000027,0.5009471810124646,1.1190723811286925,1.199040866595169e-14,3.1530333899354446e-14
VRE120_base,Event-window storage MCS,M2,20,1.0,2479.16958463441,2472.5288015480555,2465.8195846344092,2473.41958463441,6.640783086354531,13.350000000000819,5.75,0.49743693530742505,1.154918797626875,-3.402833570476105e-14,0.038820799920291194
