portfolio,case_label,method,paper_name,N,seed,delta_mw,eue_base_mwh,eue_storage_increment_mwh,eue_firm_increment_mwh,delta_eue_storage,delta_eue_firm,cc,cc_bootstrap_mean,cc_ci_lo,cc_ci_hi,denom_ci_lo,denom_ci_hi,denominator_status,n_bootstrap_valid,n_bootstrap_total,calibration_version,cyclic_soc_frac,code_commit
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,20,42,1.0,13655.080719304902,13648.465751710188,13609.080719304902,6.6149675947144715,46.0,0.14380364336335807,0.14381690791302001,0.1306179584794115,0.15692532616314847,40.248750000000015,52.04999999999927,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,50,42,1.0,14746.374957528978,14739.403400250616,14698.531820937595,6.971557278362525,47.84313659138388,0.14571697792109306,0.14567780485036963,0.13919435722936857,0.15226201748778936,43.87410020003608,52.29156571527956,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,100,42,1.0,14508.656351550077,14501.885102352304,14461.2968511469,6.771249197772704,47.35950040317584,0.14297552001453623,0.14298432845226636,0.1380852199681421,0.14764103020048014,44.78553634369941,50.099066422837446,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,200,42,1.0,15018.975158519386,15012.104221462938,14971.235699269595,6.870937056448383,47.73945924979125,0.14392574118816454,0.14388416822034622,0.14046379605160342,0.14731172219731756,45.84838245196519,49.69666797819369,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,500,42,1.0,15270.952775329539,15263.882351941369,15222.48334451189,7.070423388169729,48.46943081764948,0.14587386872294633,0.14589865148251152,0.1437976002393779,0.14812635227722526,47.19134840789261,49.789439341454866,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,1000,42,1.0,15110.887132912763,15103.91219761613,15062.75730062518,6.974935296633703,48.12983228758276,0.14491916894614235,0.14492664507406525,0.1434241159232335,0.14643166831794527,47.186895711657094,49.0726586872162,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,20,42,5.0,13655.080719304902,13622.250582527206,13426.448545424317,32.83013677769668,228.63217388058547,0.14359368683973522,0.14362887836082175,0.13083692508097625,0.1563056459360707,200.1394374325579,258.31175349410586,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,50,42,5.0,14746.374957528978,14711.631242688432,14508.452240872952,34.74371484054609,237.92271665602675,0.1460294137897572,0.14599280137211512,0.13962099114299742,0.15248934063395705,218.17685636091042,260.10168398499843,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,100,42,5.0,14508.656351550077,14474.900947362856,14273.097410854782,33.75540418722085,235.55894069529495,0.1432991848561793,0.1433044596004505,0.13843636909537968,0.14781949201724143,222.86465821008065,249.2702296023244,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,200,42,5.0,15018.975158519386,14984.68473887225,14781.499785028775,34.29041964713542,237.47537349061167,0.14439568677419537,0.14435566197258953,0.14098648806433894,0.14773107559211207,228.01492046255694,247.15532886323436,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,500,42,5.0,15270.952775329539,15235.665871512278,15029.844949643517,35.28690381726119,241.1078256860219,0.1463532082248251,0.14637896773294432,0.1442773723478843,0.14860001976728057,234.66837121690054,247.7294292324652,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,1000,42,5.0,15110.887132912763,15076.077241020153,14871.482185078758,34.80989189260981,239.40494783400572,0.14540172292823983,0.14541012174542128,0.14390945834614743,0.14691595216099942,234.68737593345224,244.12262074116504,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,20,42,10.0,13655.080719304902,13589.71596192363,13200.882945584195,65.36475738127228,454.1977737207071,0.14391254462965739,0.14393995661930675,0.1316448379695701,0.15596966337908916,397.1209963617845,513.2220241555616,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,50,42,10.0,14746.374957528978,14677.227912234366,14274.161056064848,69.14704529461233,472.2139014641307,0.14643161728237417,0.14638883334626016,0.14026894734860945,0.15260095415106784,432.8368581968138,516.2994749899242,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,100,42,10.0,14508.656351550077,14441.417922779117,14040.670676905364,67.23842877095922,467.9856746447131,0.14367625424005875,0.1436844725047692,0.13887145139218193,0.1481232716435052,442.413507447995,495.52353800424146,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,200,42,10.0,15018.975158519386,14950.612751833261,14547.10106810237,68.36240668612481,471.8740904170154,0.14487425369278067,0.1448356381807615,0.14145676820186173,0.148179076538468,452.8454428114273,491.3380589031792,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,500,42,10.0,15270.952775329539,15200.619929206627,14791.866894185336,70.33284612291209,479.0858811442031,0.14680634285221641,0.1468332098333284,0.14476046534596823,0.14906001951241254,466.22900170939806,492.2675949839161,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,1000,42,10.0,15110.887132912763,15041.508738961804,14635.224783280764,69.37839395095943,475.66234963199895,0.14585639162871467,0.14586674931005808,0.1443844150482093,0.1473543039887677,466.2755542188811,485.0102995327503,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,20,42,1.0,3595.9512850943856,3589.3342830046704,3577.4852351829627,6.617002089715243,18.466049911422942,0.3583333805256327,0.358356044203925,0.3291180552064256,0.38944058777800294,10.58313678110768,27.108224822846072,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,50,42,1.0,4052.544227846744,4044.7497810544883,4031.402183648868,7.794446792255712,21.142044197876203,0.3686704426168352,0.36872829699438503,0.35237179526812956,0.3851241848876884,15.952620585242629,26.764465987043607,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,100,42,1.0,3820.842271196273,3813.242326258343,3800.4017692945818,7.599944937930104,20.440501901691277,0.3718081373188431,0.37173384074766874,0.3591976864561764,0.3845439952334981,16.924614597014976,24.07631816741764,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,200,42,1.0,4413.664480943614,4405.6129089082615,4394.47186336475,8.051572035352365,19.192617578863974,0.4195140137747143,0.42889227589225587,0.36123083032772296,0.615334346578455,12.50042152856903,23.70730095635006,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,500,42,1.0,4485.627459137785,4477.276677911878,4464.921679081525,8.350781225906758,20.705780056259755,0.403306767637675,0.4048884437764208,0.3701781271858344,0.4658866860837922,17.564559332730948,23.31821474599126,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,1000,42,1.0,4427.316522786252,4419.148360514825,4406.956425729545,8.168162271426809,20.360097056706763,0.4011848395750234,0.40194717401619434,0.37661295187303545,0.43966659100678285,18.303156460854574,22.028269313998134,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,20,42,5.0,3595.9512850943856,3563.230474291503,3504.797386960841,32.720810802882625,91.15389813354477,0.3589622766866765,0.35925368526215967,0.333372336528644,0.3903064775390834,52.68468144283122,133.50907813416748,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,50,42,5.0,4052.544227846744,4014.1396628323146,3965.310823551132,38.40456501442941,87.23340429561176,0.44025067374748017,0.44898605369781663,0.3649670944214858,0.6312030230692417,53.06892023619806,122.86358602651305,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,100,42,5.0,3820.842271196273,3783.1842576716776,3733.133023363873,37.65801352459539,87.70924783240025,0.42935054689505986,0.43164237171145114,0.37880308839433163,0.5171203166723234,66.84195258977827,108.14048191829399,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,200,42,5.0,4413.664480943614,4373.586782279378,4314.807321978742,40.07769866423587,98.85715896487181,0.40541018054622824,0.4066102569101986,0.37592399700503476,0.44949593802532795,83.97826533253021,113.35759469077693,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,500,42,5.0,4485.627459137785,4444.132712409235,4383.785128209427,41.494746728550126,101.84233092835802,0.4074410547195744,0.4076458704907916,0.3882031047130009,0.4322547729492482,92.78080847328003,111.38739390600102,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,1000,42,5.0,4427.316522786252,4386.746898853633,4326.910653101873,40.569623932618924,100.40586968437856,0.40405629730759524,0.40436316057794613,0.3898749029019368,0.4231164269729639,94.04933198589184,107.16859323250574,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency storage MCS,20,42,10.0,3595.9512850943856,3530.600713400042,3414.37759829595,65.35057169434367,181.57368679843557,0.3599121262922262,0.36018827289895666,0.3337159695598812,0.39237642623684776,105.09191527353546,264.9119754138944,identified,2000,2000,pattern_energy_balanced,0.231,c88914a
