case_name,case_label,model_label,model_paper_name,n_scenarios,seed,n_shortage_events_total,mean_event_start_soc,p10_event_start_soc,pct_events_low_025,pct_events_low_050,runtime_s
VRE120_base,Balanced VRE,MP_pure,Market-pattern pure,20,42,540,0.8185278475249079,0.7690327592927937,0.0,0.0,2.11
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern pure (curtailed),20,42,540,0.8124421752952383,0.7433315246985411,0.0,0.0,0.94
VRE120_base,Balanced VRE,MP_emergency,Market-pattern + emergency,20,42,540,0.8493009975256309,0.7690327592927937,0.0,0.0,0.9
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency (curtailed),20,42,540,0.8438149108347982,0.7587638185883822,0.0,0.0,1.04
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,20,42,540,0.9988838614053579,1.0,0.0,0.0,1.31
VRE120_base,Balanced VRE,M2,Event-window storage MCS (M2),20,42,540,0.3246726140227349,0.029851336856138482,0.512962962962963,0.7611111111111111,6.6
VRE120_base,Balanced VRE,M3,Full-year ED (M3),20,42,540,0.8282853360639091,0.6217235178136655,0.003703703703703704,0.040740740740740744,204.36
VRE120_wind_hvy,Wind-heavy,MP_pure,Market-pattern pure,20,42,370,0.8168265495476515,0.7690327592927937,0.0,0.002702702702702703,1.82
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern pure (curtailed),20,42,370,0.8111423440330355,0.7444651548570766,0.0,0.002702702702702703,0.95
VRE120_wind_hvy,Wind-heavy,MP_emergency,Market-pattern + emergency,20,42,370,0.8368224249501724,0.7690327592927937,0.002702702702702703,0.008108108108108109,0.9
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency (curtailed),20,42,370,0.8311990594173082,0.753625125278961,0.002702702702702703,0.010810810810810811,0.93
VRE120_wind_hvy,Wind-heavy,M1c,Emergency-only storage MCS,20,42,370,0.9979832116885337,1.0,0.0,0.0,0.85
VRE120_wind_hvy,Wind-heavy,M2,Event-window storage MCS (M2),20,42,370,0.4037594327629951,0.055868953872196425,0.3162162162162162,0.6162162162162163,3.76
VRE120_wind_hvy,Wind-heavy,M3,Full-year ED (M3),20,42,370,0.7900367696759104,0.5466132713766836,0.008108108108108109,0.051351351351351354,194.11
