case_name,case_label,method,paper_name,calibration,soc_init,n_scenarios,seed,lolh_hours,eue_mwh,neue_ppm,cvar_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,max_shortfall_mw,lolh_ci95_halfwidth,eue_ci95_halfwidth,charging_induced_eue_mwh,mean_event_start_soc_frac,final_soc_mean_frac,final_soc_std_frac,runtime_s_total,runtime_s_per_scen
VRE120_base,Balanced VRE,M1a,Rule-based storage MCS,N/A,fixed_50pct,20,42,95.4,31017.13551095997,688.1443563369432,51937.29936999995,27.0,3.533333333333333,10.0,1000.4147142799991,8.750842317351964,5036.057501551674,NaN,0.0,NaN,NaN,1.65,0.0826
VRE120_base,Balanced VRE,M1b,Reserve-aware storage MCS,N/A,fixed_50pct,20,42,83.55,28272.404933872655,627.2499241086456,49454.931555232644,22.7,3.6806167400881056,10.0,1000.2014303799991,9.374494613746274,5071.91154711576,NaN,0.06602401028115702,NaN,NaN,1.01,0.05035
VRE120_base,Balanced VRE,M1c,Emergency-only storage MCS,N/A,fixed_50pct,20,42,5.95,2479.1695846344096,55.00271156456548,9782.932122726887,2.0,2.975,7.0,461.06735212653746,3.253323450517057,1499.9955123041589,NaN,0.9988838614053579,NaN,NaN,0.99,0.04965
VRE120_base,Balanced VRE,M2,Event-window storage MCS,N/A,fixed_50pct,20,42,5.75,2479.1695846344096,55.00271156456548,9782.932122726885,2.9,1.9827586206896552,7.0,534.7469016465374,3.1632027407277215,1499.9955123041589,NaN,0.36971435343910536,NaN,NaN,9.89,0.49435
VRE120_base,Balanced VRE,M3,Full-year ED (prior results N=20),N/A,fixed_50pct,20,42,5.95,2479.17,NaN,9782.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,191.2,9.56
VRE120_base,Balanced VRE,MP_pure_cur,Market-pattern storage MCS,energy_balanced,cyclic (init=23.1%),20,42,46.0,13655.080719304902,302.95082306987194,26226.958390762593,18.45,2.4932249322493223,9.0,849.1592257956797,6.12257530954521,2968.3585718913246,0.0,0.8844807765232969,0.23082181917599326,2.8476619731297836e-17,2.46,0.12275
VRE120_base,Balanced VRE,MP_emergency_cur,Market-pattern + emergency MCS,energy_balanced,cyclic (init=23.1%),20,42,7.7,3595.9512850943856,79.7795651254094,13429.237565579164,2.3,3.347826086956522,7.0,548.3971595010217,3.8943847294601786,2032.754767313083,0.0,0.9201068237973842,0.23082181917599326,2.8476619731297836e-17,2.2,0.11015
VRE120_wind_hvy,Wind-heavy,M1a,Rule-based storage MCS,N/A,fixed_50pct,20,42,52.4,15801.110836859982,350.56252188076996,26871.07462859997,18.5,2.8324324324324324,8.0,889.2628186999993,6.337421956334577,2963.2750340188404,NaN,0.0,NaN,NaN,0.86,0.04275
VRE120_wind_hvy,Wind-heavy,M1b,Reserve-aware storage MCS,N/A,fixed_50pct,20,42,25.0,8982.377867510268,199.2825105925377,20155.20418984901,8.1,3.0864197530864197,7.0,826.6689950999993,6.178460377114912,2730.8485464955356,NaN,0.26766128636756675,NaN,NaN,0.84,0.0419
VRE120_wind_hvy,Wind-heavy,M1c,Emergency-only storage MCS,N/A,fixed_50pct,20,42,2.25,648.2368652992261,14.381745221688515,3528.387470763443,0.85,2.6470588235294117,6.0,225.5296759530755,1.5568385644598715,499.7050543996064,NaN,0.9979832116885337,NaN,NaN,0.85,0.0423
VRE120_wind_hvy,Wind-heavy,M2,Event-window storage MCS,N/A,fixed_50pct,20,42,1.95,648.2368652992255,14.381745221688503,3528.387470763441,1.05,1.8571428571428572,7.0,289.0260597530752,1.4038667653081762,499.70505439960624,NaN,0.34559157010432373,NaN,NaN,7.39,0.3693
VRE120_wind_hvy,Wind-heavy,M3,Full-year ED (prior results N=20),N/A,fixed_50pct,20,42,2.25,648.24,NaN,3528.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184.4,9.22
VRE120_wind_hvy,Wind-heavy,MP_pure_cur,Market-pattern storage MCS,energy_balanced,cyclic (init=23.1%),20,42,23.9,7160.637802265563,158.86549193625112,14518.044484237502,10.65,2.244131455399061,6.0,759.2161366128882,3.17922188427824,1706.8899667524693,0.0,0.8840511805645178,0.23082181917599326,2.8476619731297836e-17,2.23,0.11135
VRE120_wind_hvy,Wind-heavy,MP_emergency_cur,Market-pattern + emergency MCS,energy_balanced,cyclic (init=23.1%),20,42,2.4,836.2103746975044,18.552114519252033,4375.333287960631,0.95,2.526315789473684,6.0,266.6124281923006,1.6484618668066873,635.0512489285137,0.0,0.9099169731969188,0.23082181917599326,2.8476619731297836e-17,1.84,0.09215
