experiment,method,portfolio,command,execution_timestamp_start,execution_timestamp_end,model_code_commit,execution_HEAD,results_commit,working_tree_clean,solver,solver_version,julia_version,project_manifest_sha256,N,seed,delta_values_mw,calibration,cyclic_soc_frac,M2_risk_margin_mw,M2_buffer_h,M2_merge_gap_h,M2_min_window_h,notes
script_70_no_m2,MP_pure_cur,VRE120_base,julia scripts/70_market_pattern_marginal_cc.jl,2026-06-16T09:51,2026-06-16T11:05,c88914a,c88914a,e82dbf9,false,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",pattern_energy_balanced,0.231,N/A,N/A,N/A,N/A,working_tree had uncommitted Gurobi fix in M2EventWindowLP.jl (irrelevant: MP_pure_cur uses no LP solver)
script_70_no_m2,MP_pure_cur,VRE120_wind_hvy,julia scripts/70_market_pattern_marginal_cc.jl,2026-06-16T09:51,2026-06-16T11:05,c88914a,c88914a,e82dbf9,false,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",pattern_energy_balanced,0.231,N/A,N/A,N/A,N/A,working_tree had uncommitted Gurobi fix in M2EventWindowLP.jl (irrelevant: MP_pure_cur uses no LP solver)
script_70_no_m2,MP_emergency_cur,VRE120_base,julia scripts/70_market_pattern_marginal_cc.jl,2026-06-16T09:51,2026-06-16T11:05,c88914a,c88914a,e82dbf9,false,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",pattern_energy_balanced,0.231,N/A,N/A,N/A,N/A,working_tree had uncommitted Gurobi fix in M2EventWindowLP.jl (irrelevant: MP_emergency_cur uses no LP solver)
script_70_no_m2,MP_emergency_cur,VRE120_wind_hvy,julia scripts/70_market_pattern_marginal_cc.jl,2026-06-16T09:51,2026-06-16T11:05,c88914a,c88914a,e82dbf9,false,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",pattern_energy_balanced,0.231,N/A,N/A,N/A,N/A,working_tree had uncommitted Gurobi fix in M2EventWindowLP.jl (irrelevant: MP_emergency_cur uses no LP solver)
script_70_no_m2,M1c,VRE120_base,julia scripts/70_market_pattern_marginal_cc.jl,2026-06-16T09:51,2026-06-16T11:05,c88914a,c88914a,e82dbf9,false,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",pattern_energy_balanced,0.231,N/A,N/A,N/A,N/A,working_tree had uncommitted Gurobi fix in M2EventWindowLP.jl (irrelevant: M1c uses no LP solver)
script_70_no_m2,M1c,VRE120_wind_hvy,julia scripts/70_market_pattern_marginal_cc.jl,2026-06-16T09:51,2026-06-16T11:05,c88914a,c88914a,e82dbf9,false,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",pattern_energy_balanced,0.231,N/A,N/A,N/A,N/A,working_tree had uncommitted Gurobi fix in M2EventWindowLP.jl (irrelevant: M1c uses no LP solver)
script_70_with_m2,M2,VRE120_base,julia scripts/70_market_pattern_marginal_cc.jl --with-m2,2026-06-16T15:10:19,2026-06-16T17:14,c88914a,c88914a,fb8eaa4,false,Gurobi,Gurobi.jl 1.9.2 / Gurobi 13.0.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",N/A,NaN,1000,48,24,24,PROVENANCE NOTE: CODE_COMMIT=c88914a (HiGHS) but working tree had uncommitted Gurobi fix; actual solver = Gurobi matching e82dbf9 content. CRN: same seed=42 N=1000 scenarios as script_70_no_m2.
script_70_with_m2,M2,VRE120_wind_hvy,julia scripts/70_market_pattern_marginal_cc.jl --with-m2,2026-06-16T15:10:19,2026-06-16T17:14,c88914a,c88914a,fb8eaa4,false,Gurobi,Gurobi.jl 1.9.2 / Gurobi 13.0.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,1000,42,"1,5,10",N/A,NaN,1000,48,24,24,PROVENANCE NOTE: CODE_COMMIT=c88914a (HiGHS) but working tree had uncommitted Gurobi fix; actual solver = Gurobi matching e82dbf9 content. CRN: same seed=42 N=1000 scenarios as script_70_no_m2.
script_71_benchmark,MP_pure_cur,VRE120_base,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; runtime values in runtime_common_benchmark.csv
script_71_benchmark,MP_pure_cur,VRE120_wind_hvy,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; runtime values in runtime_common_benchmark.csv
