case_name,model_label,model_paper_name,n_scenarios,seed,lolh_hours,lolp_percent,eue_mwh,neue_ppm,cvar_eue_mwh,p50_scenario_eue_mwh,p90_scenario_eue_mwh,p95_scenario_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,runtime_s,mean_soc_before_shortage,p10_soc_before_shortage,pct_low_soc_shortage,n_shortage_hours_total
VRE120_base,MP_pure,Market-pattern storage MCS,20,42,51.45,0.5873287671232877,14321.432064924249,317.73445509364325,27335.440129175386,12594.286799329702,24379.307751374916,25283.022804300614,18.9,2.7222222222222223,11.0,849.1592257956797,278.35630835615643,1.82,0.7320885353229002,0.5487489610829399,0.00890985324947589,1908
VRE120_base,MP_emergency,Market-pattern + emergency MCS,20,42,13.55,0.15468036529680368,4668.180331533712,103.56797610704389,16208.670168042696,3025.2755559730836,12597.879329635543,15276.623425611735,6.75,2.0074074074074075,7.0,634.3072330445922,344.515153618724,1.01,0.670917308484013,0.24978533795030272,0.100104821802935,1908
VRE120_wind_hvy,MP_pure,Market-pattern storage MCS,20,42,27.45,0.3133561643835616,7559.513417621558,167.71492303509208,15263.82349027628,6843.785772973668,13204.89664649693,14571.783905541537,10.95,2.506849315068493,7.0,759.2161366128882,275.3921099315686,1.23,0.7484875819679548,0.5649087716028303,0.0019083969465648854,1048
VRE120_wind_hvy,MP_emergency,Market-pattern + emergency MCS,20,42,6.0,0.0684931506849315,1455.601633783821,32.29389280674324,6267.289454646449,583.7139155506447,4417.34893532463,6186.6151105245135,3.55,1.6901408450704225,6.0,397.6286920421338,242.6002722973035,0.93,0.7067477006749504,0.4120083641572375,0.05534351145038168,1048
VRE120_base,M1c,Emergency-only storage MCS,20,42,5.95,NaN,2479.17,NaN,9782.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN,0
VRE120_base,M2,Event-window storage MCS,20,42,5.75,NaN,2479.17,NaN,9782.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43,NaN,NaN,NaN,0
VRE120_base,M3,Full-year ED,20,42,5.95,NaN,2479.17,NaN,9782.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.56,NaN,NaN,NaN,0
VRE120_wind_hvy,M1c,Emergency-only storage MCS,20,42,2.25,NaN,648.24,NaN,3528.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,0
VRE120_wind_hvy,M2,Event-window storage MCS,20,42,1.95,NaN,648.24,NaN,3528.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.38,NaN,NaN,NaN,0
VRE120_wind_hvy,M3,Full-year ED,20,42,2.25,NaN,648.24,NaN,3528.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.22,NaN,NaN,NaN,0
VRE120_base,PCM_UCED,PCM-UCED,20,42,7.25,NaN,2479.17,NaN,9782.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
VRE120_wind_hvy,PCM_UCED,PCM-UCED,20,42,2.65,NaN,660.3,NaN,3624.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
