scenario,eue_pcm_uced_mwh,lolh_pcm_uced_h,maxls_pcm_uced_mw,dc_total_pcm_uced_mwh,eue_fullyr_ed_mwh,lolh_fullyr_ed_h,maxls_fullyr_ed_mw,dc_total_fullyr_ed_mwh,delta_eue_mwh,delta_lolh_h,delta_maxls_mw
1,514.1404,2,410.8,916500.54,514.1404,3,248.52,916500.54,0.0,-1,162.28
2,537.1404,2,484.8,932080.27,537.1404,2,484.8,932080.27,0.0,0,0.0
3,0.0,0,0.0,922762.5,0.0,0,0.0,922762.5,0.0,0,0.0
4,1722.0067,6,818.41,932764.39,1722.0067,5,1080.65,932764.39,0.0,1,-262.2400000000001
5,2792.631,11,947.41,929690.58,2792.631,9,1123.65,929690.58,0.0,2,-176.24000000000012
6,1516.4183,10,353.15,1141624.75,1513.2405,6,437.87,923406.05,3.177799999999934,4,-84.72000000000003
7,0.0678,1,0.07,1126931.75,0.0,0,0.0,919456.22,0.0678,1,0.07
8,0.0,0,0.0,1136843.17,0.0,0,0.0,921378.34,0.0,0,0.0
9,0.0,0,0.0,1136509.18,0.0,0,0.0,927535.8,0.0,0,0.0
10,0.0,0,0.0,1139280.9,0.0,0,0.0,928652.4,0.0,0,0.0
11,860.1404,3,785.6,1137063.59,814.8025,2,486.29,933031.79,45.33789999999999,1,299.31
12,0.0,0,0.0,1138473.41,0.0,0,0.0,932537.8,0.0,0,0.0
13,0.5765,4,0.48,1135533.1,0.0,0,0.0,930328.04,0.5765,4,0.48
14,0.0,0,0.0,1133680.93,0.0,0,0.0,926425.67,0.0,0,0.0
15,4456.1439,9,1462.2,1135034.16,4264.1439,8,1462.2,927085.77,192.0,1,0.0
16,0.0678,1,0.07,1140532.25,0.0,0,0.0,941632.7,0.0678,1,0.07
17,0.0,0,0.0,1127611.42,0.0,0,0.0,927621.86,0.0,0,0.0
18,806.632,3,397.82,1135893.7,806.632,4,280.45,917877.66,0.0,-1,117.37
19,0.0,0,0.0,1128350.04,0.0,0,0.0,923107.65,0.0,0,0.0
20,0.0678,1,0.07,1135874.3,0.0,0,0.0,912363.27,0.0678,1,0.07
