scenario,hour,ls_uc_mw,ls_ed_mw,delta_ls_mw,dc_uc_mw,dc_ed_mw,soc_uc_mwh,soc_ed_mwh
15,4930,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4931,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4932,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4933,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4934,220.4514,220.4514,0.0,0.0,0.0,3932.0,3932.0
15,4935,0.0,0.0,0.0,653.1912,653.1912,3243.5,3243.5
15,4936,281.8708,281.8708,0.0,301.4996,301.4996,2925.7,2925.7
15,4937,0.0,0.0,0.0,633.1167,633.1167,2258.3,2258.3
15,4938,0.0,0.0,0.0,819.7208,819.7208,1394.2,1394.2
15,4939,0.0,0.0,0.0,798.1973,798.1973,552.9,552.9
15,4940,0.0,0.0,0.0,524.4972,524.4972,0.0,0.0
15,4941,20.6814,20.6814,0.0,0.0,0.0,0.0,0.0
15,4942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4946,0.0,0.0,0.0,0.0,0.0,104.0,0.0
15,4947,0.0,0.0,0.0,0.0,0.0,564.1,517.6
15,4948,0.0,0.0,0.0,0.0,0.0,1166.8,1214.3
15,4949,0.0,0.0,0.0,0.0,0.0,1786.7,1898.9
15,4950,0.0,0.0,0.0,0.0,0.0,2687.4,2705.7
15,4951,0.0,0.0,0.0,0.0,0.0,3481.1,3593.3
15,4952,0.0,0.0,0.0,0.0,0.0,3882.4,3932.0
15,4953,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4954,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4955,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4956,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4957,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4958,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4959,0.0,0.0,0.0,70.1181,30.1181,3858.1,3900.3
15,4960,0.0,0.0,0.0,0.0,15.2747,3858.1,3884.2
15,4961,0.0,0.0,0.0,399.3159,439.3159,3437.2,3421.1
15,4962,0.0,0.0,0.0,828.6581,859.3597,2563.7,2515.2
15,4963,0.0,0.0,0.0,972.0774,952.0774,1539.0,1511.6
15,4964,0.0,0.0,0.0,881.1891,914.9562,610.2,547.2
15,4965,0.0,0.0,0.0,575.1207,519.1207,3.9,0.0
15,4966,0.0,0.0,0.0,3.7435,0.0,0.0,0.0
15,4967,0.0,0.0,0.0,0.0,0.0,7.8,0.0
15,4968,0.0,0.0,0.0,7.3589,0.0,0.0,0.0
15,4969,0.0,0.0,0.0,0.0,0.0,642.1,593.7
15,4970,0.0,0.0,0.0,0.0,0.0,1223.5,1364.9
15,4971,0.0,0.0,0.0,0.0,0.0,1867.2,1861.5
15,4972,0.0,0.0,0.0,0.0,0.0,2362.0,2546.1
15,4973,0.0,0.0,0.0,0.0,0.0,2565.4,2777.9
15,4974,0.0,0.0,0.0,0.0,0.0,3006.3,3300.4
15,4975,0.0,0.0,0.0,0.0,0.0,3489.1,3636.1
15,4976,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4977,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4978,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4979,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4980,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4981,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4982,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
15,4983,387.3379,0.0,387.3379,0.0,202.3379,3932.0,3718.7
15,4984,1074.6972,1074.6972,-0.0,0.0,0.0,3932.0,3718.7
15,4985,390.654,390.654,0.0,983.0,983.0,2895.8,2682.5
15,4986,1462.2009,1462.2009,0.0,0.0,0.0,2895.8,2682.5
15,4987,359.0371,352.0371,7.0,983.0,983.0,1859.7,1646.4
15,4988,259.2133,461.5512,-202.3379,973.7063,771.3684,833.3,833.3
15,4989,0.0,0.0,0.0,790.5164,790.5164,0.0,0.0
15,4990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4991,0.0,0.0,0.0,0.0,0.0,376.6,0.0
15,4992,0.0,0.0,0.0,0.0,0.0,376.6,0.0
11,4979,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
11,4980,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
11,4981,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
11,4982,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0
11,4983,45.3379,0.0,45.3379,0.0,0.0,3932.0,3932.0
11,4984,0.0,0.0,0.0,624.6972,624.6972,3273.5,3273.5
