case_name,m2_label,risk_margin_mw,window_buffer_hours,scenario_id,n_risk_hours,n_windows,total_window_h,window_coverage,mean_window_len,max_window_len,n_lp_failures
VRE120_base,M2_rm1000_b48,1000.0,48.0,1,449,5,2608,0.29771689497716897,521.6,1682,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,2,522,5,2745,0.3133561643835616,549.0,2184,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,3,474,4,2411,0.2752283105022831,602.75,1680,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,4,521,5,2772,0.31643835616438354,554.4,2162,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,5,505,4,2652,0.30273972602739724,663.0,2115,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,6,484,5,2702,0.3084474885844749,540.4,2185,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,7,463,3,2503,0.28573059360730596,834.3333333333334,2185,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,8,443,5,2677,0.3055936073059361,535.4,2186,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,9,403,4,2624,0.29954337899543376,656.0,2185,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,10,464,4,2651,0.3026255707762557,662.75,2186,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,11,481,3,2577,0.2941780821917808,859.0,2186,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,12,461,4,2748,0.3136986301369863,687.0,2162,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,13,522,5,2804,0.32009132420091324,560.8,2188,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,14,443,4,2606,0.29748858447488585,651.5,2186,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,15,468,3,2455,0.2802511415525114,818.3333333333334,2116,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,16,479,4,2651,0.3026255707762557,662.75,2186,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,17,442,4,2816,0.32146118721461187,704.0,2185,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,18,463,4,2556,0.29178082191780824,639.0,2185,0
VRE120_base,M2_rm1000_b48,1000.0,48.0,19,507,5,2752,0.3141552511415525,550.4,2213,0
