case_name,risk_margin_mw,window_buffer_hours,scenario_id,n_risk_hours,n_windows,total_window_h,window_coverage,mean_window_len,max_window_len,n_lp_failures
VRE120_base,300.0,24.0,1,168,6,1192,0.13607305936073058,198.66666666666666,460,0
VRE120_base,300.0,24.0,2,226,6,1648,0.18812785388127853,274.6666666666667,674,0
VRE120_base,300.0,24.0,3,205,7,1579,0.18025114155251143,225.57142857142858,819,0
VRE120_base,300.0,24.0,4,225,6,1627,0.18573059360730593,271.1666666666667,794,0
VRE120_base,300.0,24.0,5,209,6,1409,0.1608447488584475,234.83333333333334,554,0
VRE120_base,300.0,48.0,1,168,5,1503,0.17157534246575343,300.6,508,0
VRE120_base,300.0,48.0,2,226,3,1974,0.22534246575342465,658.0,1538,0
VRE120_base,300.0,48.0,3,205,3,1974,0.22534246575342465,658.0,1419,0
VRE120_base,300.0,48.0,4,225,4,1934,0.22077625570776255,483.5,1082,0
VRE120_base,300.0,48.0,5,209,3,1714,0.195662100456621,571.3333333333334,820,0
VRE120_base,500.0,24.0,1,231,6,1628,0.18584474885844748,271.3333333333333,796,0
VRE120_base,500.0,24.0,2,302,5,1767,0.20171232876712328,353.4,940,0
VRE120_base,500.0,24.0,3,279,6,1720,0.1963470319634703,286.6666666666667,819,0
VRE120_base,500.0,24.0,4,292,7,1795,0.20490867579908675,256.42857142857144,794,0
VRE120_base,500.0,24.0,5,284,6,1578,0.18013698630136987,263.0,557,0
VRE120_base,500.0,48.0,1,231,5,1936,0.22100456621004566,387.2,964,0
VRE120_base,500.0,48.0,2,302,3,2025,0.23116438356164384,675.0,1539,0
VRE120_base,500.0,48.0,3,279,3,2025,0.23116438356164384,675.0,1420,0
VRE120_base,500.0,48.0,4,292,4,2147,0.24509132420091323,536.75,1610,0
VRE120_base,500.0,48.0,5,284,4,1885,0.2151826484018265,471.25,868,0
VRE120_base,800.0,24.0,1,351,6,2033,0.23207762557077627,338.8333333333333,1397,0
VRE120_base,800.0,24.0,2,441,6,2174,0.24817351598173515,362.3333333333333,1515,0
VRE120_base,800.0,24.0,3,395,4,2003,0.22865296803652968,500.75,1442,0
