case_name,scenario_id,m2_lolh,m3_lolh,lolh_diff,m2_eue,m3_eue,eue_diff,common_shortage_hours,m2_only_shortage_hours,m3_only_shortage_hours,common_eue_mwh,common_eue_m3_mwh,m2_only_eue_mwh,m3_only_eue_mwh,m2_intensity_common,m3_intensity_common,m2_intensity_m2only,m3_intensity_m3only,m2_max_shortfall_mw,m3_max_shortfall_mw
VRE120_base,1,5,6,-1,1779.4778133961336,1779.4778133961331,4.547473508864641e-13,4,1,2,1507.9278381307558,1098.011408930756,271.5499752653777,681.4664044653771,376.98195953268896,274.502852232689,271.5499752653777,340.73320223268854,805.7195783999996,636.8230188653783
VRE120_base,2,4,6,-2,2522.274648130755,2522.2746481307545,4.547473508864641e-13,3,1,3,1890.2303736653776,1280.4073547999988,632.0442744653774,1241.8672933307557,630.0767912217925,426.8024515999996,632.0442744653774,413.9557644435852,781.0900187999996,781.0900187999996
VRE120_base,3,7,6,1,2519.037603396133,2519.0376033961334,-4.547473508864641e-13,2,5,4,1463.734998,1101.8219920653767,1055.302605396133,1417.2156113307565,731.867499,550.9109960326883,211.0605210792266,354.3039028326891,1076.7977315999997,854.0680419999999
VRE120_base,4,13,14,-1,7004.091136661508,7004.091136661509,-9.094947017729282e-13,10,3,4,4586.085608530755,4716.082351061509,2418.005528130753,2288.008785599999,458.6085608530755,471.6082351061509,806.001842710251,572.0021963999998,1042.7195783999996,1000.4025376
VRE120_base,5,19,24,-5,9712.357466792264,9712.357466792264,0.0,16,3,8,8216.298412726888,6282.747767461512,1496.0590540653757,3429.609699330752,513.5186507954305,392.6717354663445,498.6863513551252,428.701212416344,1302.4009067999996,1085.7195783999996
VRE120_bal15,1,1,1,0,36.21034319999944,36.21034319999944,0.0,1,0,0,36.21034319999944,36.21034319999944,0.0,0.0,36.21034319999944,36.21034319999944,0.0,0.0,36.21034319999944,36.21034319999944
VRE120_bal15,2,1,1,0,47.35247046537461,47.35247046537444,1.7053025658242404e-13,0,1,1,0.0,0.0,47.35247046537461,47.35247046537444,0.0,0.0,47.35247046537461,47.35247046537444,47.35247046537461,47.35247046537444
VRE120_bal15,3,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_bal15,4,6,7,-1,1245.609239665373,1245.6092396653735,-4.547473508864641e-13,6,0,1,1245.609239665373,639.0428104653743,0.0,606.5664291999992,207.60153994422885,106.50713507756238,0.0,606.5664291999992,767.5819852653767,606.5664291999992
VRE120_bal15,5,7,9,-2,2163.992451330754,2163.9924513307533,9.094947017729282e-13,6,1,3,1802.958296865375,1153.3918676653757,361.0341544653793,1010.6005836653778,300.49304947756247,192.23197794422927,361.0341544653793,336.8668612217926,1057.0195783999989,649.5664291999992
VRE120_wind_hvy,1,1,2,-1,514.1403548653743,514.1403548653742,1.1368683772161603e-13,1,0,1,514.1403548653743,265.62392566537517,0.0,248.51642919999904,514.1403548653743,265.62392566537517,0.0,248.51642919999904,514.1403548653743,265.62392566537517
VRE120_wind_hvy,2,1,2,-1,537.1403548653743,537.1403548653741,2.2737367544323206e-13,0,1,2,0.0,0.0,537.1403548653743,537.1403548653741,0.0,0.0,537.1403548653743,268.57017743268705,537.1403548653743,273.51642919999904
VRE120_wind_hvy,3,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,6,7,-1,1722.0067020653742,1722.0067020653742,0.0,6,0,1,1722.0067020653742,1148.6126427999961,0.0,573.3940592653779,287.0011170108957,191.43544046666602,0.0,573.3940592653779,759.5949660653769,573.3940592653779
VRE120_wind_hvy,5,9,11,-2,2792.631010996133,2792.6310109961328,4.547473508864641e-13,8,1,3,2634.829615730753,1135.3936081307552,157.80139526538005,1657.2374028653774,329.35370196634415,141.9242010163444,157.80139526538005,552.4124676217924,1085.0370979999989,970.9195783999985
