model,scenario_id,eue_mwh,lolh_hours,n_shortage_events,max_shortfall_mw
M1,1,0.0,0.0,0,0.0
M1,2,0.0,0.0,0,0.0
M1,3,0.0,0.0,0,0.0
M1,4,0.0,0.0,0,0.0
M1,5,0.0,0.0,0,0.0
M1,6,0.0,0.0,0,0.0
M1,7,0.0,0.0,0,0.0
M1,8,0.0,0.0,0,0.0
M1,9,0.0,0.0,0,0.0
M1,10,0.0,0.0,0,0.0
M1,11,0.0,0.0,0,0.0
M1,12,0.0,0.0,0,0.0
M1,13,0.0,0.0,0,0.0
M1,14,0.0,0.0,0,0.0
M1,15,115.91500400000041,2.0,1,90.78408899999977
M1,16,0.0,0.0,0,0.0
M1,17,0.0,0.0,0,0.0
M1,18,0.0,0.0,0,0.0
M1,19,0.0,0.0,0,0.0
M1,20,0.0,0.0,0,0.0
M3,1,0.0,0.0,0,0.0
M3,2,0.0,0.0,0,0.0
M3,3,0.0,0.0,0,0.0
M3,4,0.0,0.0,0,0.0
M3,5,0.0,0.0,0,0.0
M3,6,0.0,0.0,0,0.0
M3,7,0.0,0.0,0,0.0
M3,8,0.0,0.0,0,0.0
M3,9,0.0,0.0,0,0.0
M3,10,0.0,0.0,0,0.0
M3,11,0.0,0.0,0,0.0
M3,12,0.0,0.0,0,0.0
M3,13,0.0,0.0,0,0.0
M3,14,0.0,0.0,0,0.0
M3,15,0.0,0.0,0,0.0
M3,16,0.0,0.0,0,0.0
M3,17,0.0,0.0,0,0.0
M3,18,0.0,0.0,0,0.0
M3,19,0.0,0.0,0,0.0
M3,20,0.0,0.0,0,0.0
