model,case,n_scenarios,lolh_h,lolp,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p90_eue_mwh,p95_eue_mwh,p99_eue_mwh,lolh_ci95_hw,eue_ci95_hw_mwh,lolh_ci95_rel,eue_ci95_rel,total_runtime_s,mean_runtime_s
MC-NoStorage,VRE120_base,20,95.4,0.01089041095890411,25.3,31017.13551095997,688.1443563369432,51937.29936999995,44361.16160531997,49735.98232803996,53453.76222112796,8.750842317351964,5036.057501551674,0.0917279068904818,0.16236371987903822,1.2999999523162842,0.06499999761581421
M1c,VRE120_base,20,5.95,0.0006792237442922375,1.75,2479.1695846344096,55.00271156456548,9782.932122726887,8387.089811914591,9719.414932385727,9826.688409406352,3.253323450517057,1499.9955123041589,0.5467770505070684,0.6050394945149973,0.9659998416900635,0.048299992084503175
M2,VRE120_base,20,5.75,0.000656392694063927,1.75,2479.1695846344096,55.00271156456548,9782.932122726885,8387.089811914586,9719.414932385725,9826.688409406352,3.1632027407277215,1499.9955123041589,0.5501222157787342,0.6050394945149973,8.590999841690063,0.4295499920845032
M3,VRE120_base,20,5.95,0.0006792237442922375,1.75,2479.16958463441,55.002711564565494,9782.932122726885,8387.089811914588,9719.414932385725,9826.688409406352,3.253323450517057,1499.9955123041589,0.5467770505070684,0.6050394945149972,186.92799997329712,9.346399998664856
MC-NoStorage,VRE120_base,50,96.48,0.011013698630136987,25.42,32826.163832447965,728.2793529888996,65165.39012626661,49673.06512535996,55983.93986397994,69294.5982260239,6.330784520104913,3643.538332803001,0.06561758416360813,0.11099494754856006,3.628000020980835,0.0725600004196167
M1c,VRE120_base,50,6.64,0.0007579908675799087,1.92,2888.524358517524,64.08463266226688,13310.475612569178,8363.478104294978,9789.989588320348,15126.847143817613,2.218024201851729,1090.6875690589657,0.33403978943550133,0.37759334306557096,2.23799991607666,0.044759998321533205
M2,VRE120_base,50,6.24,0.0007123287671232877,1.92,2888.524358517524,64.08463266226688,13310.47561256918,8363.478104294973,9789.989588320346,15126.847143817617,2.1136272519060686,1090.6875690589657,0.3387223160105879,0.37759334306557096,19.16599988937378,0.3833199977874756
M3,VRE120_base,50,6.64,0.0007579908675799087,1.92,2888.524358517524,64.08463266226688,13310.475612569178,8363.478104294974,9789.989588320346,15126.847143817613,2.218024201851729,1090.6875690589654,0.33403978943550133,0.37759334306557085,459.3110001087189,9.186220002174377
MC-NoStorage,VRE120_base,100,95.72,0.010926940639269406,25.29,32067.72879282397,711.4527575097324,64323.96738999995,47899.447115639945,57400.69184315995,67178.601084308,4.087104769833527,2380.5270344747278,0.04269854544330889,0.0742343509842654,7.193000078201294,0.07193000078201293
M1c,VRE120_base,100,6.25,0.0007134703196347032,1.84,2703.1350159549856,59.971595539146726,13995.002402814052,7879.230907541509,10085.16270167131,19462.352969371168,1.4615284513622764,782.1230668900656,0.2338445522179642,0.28933925322770115,4.668999910354614,0.04668999910354614
M2,VRE120_base,100,5.8,0.0006621004566210046,1.84,2703.1350159549856,59.971595539146726,13995.002402814054,7879.230907541506,10085.162701671314,19462.352969371175,1.423225529946294,782.1230668900656,0.24538371205970586,0.28933925322770115,41.26699995994568,0.41266999959945677
M3,VRE120_base,100,6.25,0.0007134703196347032,1.84,2703.1350159549856,59.971595539146726,13995.002402814052,7879.230907541507,10085.16270167131,19462.352969371168,1.4615284513622764,782.1230668900655,0.2338445522179642,0.2893392532277011,918.6520001888275,9.186520001888276
MC-NoStorage,VRE120_base,200,95.62,0.010915525114155252,25.305,32520.228838625968,721.4918970895567,66713.22459658179,49517.44110619995,59784.591023919944,71992.01679623994,2.902882235151088,1765.6791036162922,0.030358525780705792,0.054294793323197754,20.063999891281128,0.10031999945640564
M1c,VRE120_base,200,7.005,0.0007996575342465753,2.035,3179.664800492754,70.54385749867723,18126.9632124531,8683.155387329205,12601.561193718238,22338.832403491604,1.080302935273157,643.1975339410903,0.15421883444299173,0.20228469801012164,12.835000038146973,0.06417500019073487
M2,VRE120_base,200,6.665,0.0007608447488584475,2.035,3179.6648004927542,70.54385749867723,18126.963212453105,8683.155387329203,12601.561193718238,22338.832403491608,1.0981835446265085,643.1975339410905,0.164768723874945,0.20228469801012164,100.08999991416931,0.5004499995708466
M3,VRE120_base,200,7.0,0.0007990867579908676,2.035,3179.664800492754,70.54385749867723,18126.9632124531,8683.155387329201,12601.561193718238,22338.832403491608,1.0804371718948123,643.1975339410903,0.1543481674135446,0.20228469801012164,1894.5199999809265,9.472599999904633
