model,case,n_scenarios,n_events_per_scenario,n_events_total,mean_event_duration_h,median_event_duration_h,p95_event_duration_h,max_event_duration_h,mean_event_energy_mwh,median_event_energy_mwh,p95_event_energy_mwh,max_event_energy_mwh,max_hourly_shortfall_mw,mean_shortfall_when_shedding_mw,p95_shortfall_when_shedding_mw
MC-NoStorage,VRE120_base,20,27.0,540,3.533333333333333,3.0,7.0,10.0,1148.7827967022208,646.3872823999991,4155.055253659996,8302.241278399997,1000.4147142799991,325.1272066138361,858.9892578399981
M1c,VRE120_base,20,2.0,40,2.975,2.0,6.049999999999997,7.0,1239.5847923172046,1272.182685665378,2987.496357785373,4572.018550465377,461.06735212653746,416.6671570814134,969.7914361665371
M2,VRE120_base,20,2.9,58,1.9827586206896552,1.0,5.0,7.0,854.8860636670377,666.8116023999983,2084.48315312537,4572.018550465377,534.7469016465374,431.159927762506,1090.6634246799983
M3,VRE120_base,20,2.0,40,2.975,2.0,6.049999999999997,7.0,1239.5847923172048,1272.1826856653765,2987.4963577853728,4572.018550465377,461.06735212653757,416.66715708141334,969.7914361665373
MC-NoStorage,VRE120_base,50,26.76,1338,3.6053811659192827,3.0,7.0,11.0,1226.6877366385636,682.3671095999985,4286.597687059998,12960.239496399994,1064.9454046959995,340.2380165054723,887.4127782400001
M1c,VRE120_base,50,2.14,107,3.102803738317757,3.0,7.0,9.0,1349.7777376250112,1044.7394480653775,3193.1971114253756,9230.016768465375,586.9780377464601,435.01872869239827,1091.2445385399997
M2,VRE120_base,50,3.16,158,1.9746835443037976,1.0,5.0,8.0,914.0899868726344,560.63959203269,2840.879619385378,9096.613753665373,683.5431482649977,462.9045446342186,1230.3325810799993
M3,VRE120_base,50,2.14,107,3.102803738317757,3.0,7.0,9.0,1349.7777376250112,1044.739448065378,3193.1971114253756,9230.016768465375,586.9780377464601,435.0187286923982,1091.2445385399997
MC-NoStorage,VRE120_base,100,26.67,2667,3.589051368578928,3.0,7.0,11.0,1202.3895310395187,664.8901983999986,4150.875831879999,12960.239496399994,1062.7459203559997,335.015971508817,875.9316249399994
M1c,VRE120_base,100,2.06,206,3.033980582524272,2.0,7.0,9.0,1312.2014640558182,800.2394480653775,4275.944991965378,9230.016768465375,558.8551146737291,432.50160255279764,1178.732596879999
M2,VRE120_base,100,2.8,280,2.0714285714285716,1.0,6.0,9.0,965.4053628410663,518.0819002326889,3442.53426464538,9096.613753665373,650.4749709983053,466.0577613715492,1257.3014752621093
M3,VRE120_base,100,2.06,206,3.033980582524272,2.0,7.0,9.0,1312.2014640558182,800.2394480653776,4275.944991965378,9230.016768465375,558.8551146737291,432.50160255279764,1178.732596879999
MC-NoStorage,VRE120_base,200,26.57,5314,3.5987956341738805,3.0,7.0,12.0,1223.945383463529,646.3872823999991,4261.845133099997,12960.239496399994,1083.1193094819996,340.09860738993905,897.9810722399999
M1c,VRE120_base,200,2.33,466,3.0064377682403434,2.0,7.0,9.0,1364.663004503328,757.2553888653802,4929.6497362653745,9230.016768465375,605.2916342623444,453.9136046385088,1257.0900187999996
M2,VRE120_base,200,3.12,624,2.136217948717949,1.0,6.0,10.0,1019.1233334912677,479.16681363268935,4248.661484325377,9096.613753665373,676.6733714003442,477.06898732074325,1277.393127719228
M3,VRE120_base,200,2.335,467,2.9978586723768736,2.0,7.0,9.0,1361.7408139155264,756.5806580653815,4928.882040065374,9230.016768465375,606.671142316671,454.2378286418221,1257.2916425799995
