model,case,n_scenarios,total_runtime_s,mean_runtime_s
MC-NoStorage,VRE120_base,20,1.2999999523162842,0.06499999761581421
M1c,VRE120_base,20,0.9659998416900635,0.048299992084503175
M2,VRE120_base,20,8.590999841690063,0.4295499920845032
M3,VRE120_base,20,186.92799997329712,9.346399998664856
MC-NoStorage,VRE120_base,50,3.628000020980835,0.0725600004196167
M1c,VRE120_base,50,2.23799991607666,0.044759998321533205
M2,VRE120_base,50,19.16599988937378,0.3833199977874756
M3,VRE120_base,50,459.3110001087189,9.186220002174377
MC-NoStorage,VRE120_base,100,7.193000078201294,0.07193000078201293
M1c,VRE120_base,100,4.668999910354614,0.04668999910354614
M2,VRE120_base,100,41.26699995994568,0.41266999959945677
M3,VRE120_base,100,918.6520001888275,9.186520001888276
MC-NoStorage,VRE120_base,200,20.063999891281128,0.10031999945640564
M1c,VRE120_base,200,12.835000038146973,0.06417500019073487
M2,VRE120_base,200,100.08999991416931,0.5004499995708466
M3,VRE120_base,200,1894.5199999809265,9.472599999904633
