case,scenario_id,n_events,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,bound_minus_m1c_mwh
VRE120_base,1,27,29464.531872399966,1779.4778133961372,0.93960610604294,1779.4778133961363,1779.4778133961336,1779.4778133961331,4.092726157978177e-12,9.094947017729282e-13
VRE120_base,2,34,40276.92264119996,2522.274648130762,0.9373766791817734,2522.2746481307568,2522.274648130755,2522.2746481307545,7.73070496506989e-12,5.4569682106375694e-12
VRE120_base,3,31,35615.93109359997,2519.0376033961365,0.9292721676494708,2519.0376033961284,2519.037603396134,2519.0376033961334,3.183231456205249e-12,8.185452315956354e-12
VRE120_base,4,31,49491.39154559995,7004.091136661504,0.8584785976323148,7004.091136661507,7004.091136661509,7004.091136661509,-5.4569682106375694e-12,-3.637978807091713e-12
VRE120_base,5,28,54383.20719439995,9712.357466792258,0.8214088876355865,9712.357466792266,9712.357466792264,9712.357466792264,-5.4569682106375694e-12,-7.275957614183426e-12
VRE120_base,6,28,39633.035714399964,8239.837850261509,0.7920967268407424,8239.837850261514,8239.837850261509,8239.83785026151,-1.8189894035458565e-12,-5.4569682106375694e-12
VRE120_base,7,25,36566.712325199966,676.5770517961282,0.981497460155042,676.5770517961282,676.57705179613,676.5770517961292,-1.0231815394945443e-12,0.0
VRE120_base,8,27,24945.436746799973,3.637978807091713e-12,0.9999999999999999,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12
VRE120_base,9,21,13900.730931999982,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
VRE120_base,10,26,19638.346831999974,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0
VRE120_base,11,28,40313.85112839996,3237.7367637307543,0.9196867410801678,3237.7367637307552,3237.7367637307543,3237.736763730755,-4.547473508864641e-13,-9.094947017729282e-13
VRE120_base,12,22,19869.128942399977,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,13,30,23746.44494479997,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_base,14,19,18393.798245999984,839.7710056653741,0.9543448832897797,839.7710056653759,839.771005665375,839.7710056653752,-1.1368683772161603e-12,-1.8189894035458565e-12
VRE120_base,15,27,43791.13605639996,9853.506778661504,0.77498855553848,9853.506778661507,9853.506778661507,9853.506778661507,-3.637978807091713e-12,-3.637978807091713e-12
VRE120_base,16,31,23056.623701599965,102.97820926537315,0.9955336821818267,102.97820926537406,102.97820926537497,102.97820926537509,-1.9326762412674725e-12,-9.094947017729282e-13
VRE120_base,17,22,14618.263687599972,1.8189894035458565e-12,0.9999999999999999,0.0,0.0,0.0,1.8189894035458565e-12,1.8189894035458565e-12
VRE120_base,18,26,34907.47428799997,3095.745364930739,0.9113156873112715,3095.745364930747,3095.745364930748,3095.745364930748,-9.094947017729282e-12,-8.185452315956354e-12
VRE120_base,19,25,27280.860125999963,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
VRE120_base,20,32,30448.88220039996,7.275957614183426e-12,0.9999999999999998,0.0,0.0,0.0,7.275957614183426e-12,7.275957614183426e-12
VRE120_wind_hvy,1,19,14628.051111999986,514.1403548653761,0.9648524365324642,514.140354865377,514.1403548653743,514.1403548653742,1.9326762412674725e-12,-9.094947017729282e-13
VRE120_wind_hvy,2,24,20296.354095999974,537.1403548653798,0.9735351308749959,537.140354865377,537.1403548653743,537.1403548653741,5.6843418860808015e-12,2.7284841053187847e-12
VRE120_wind_hvy,3,20,18790.931141999976,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,29,23930.226200799963,1722.0067020653805,0.9280405171428001,1722.006702065376,1722.0067020653742,1722.0067020653742,6.366462912410498e-12,4.547473508864641e-12
VRE120_wind_hvy,5,27,28366.462050799964,2792.631010996134,0.9015516631578883,2792.631010996136,2792.631010996133,2792.6310109961328,1.3642420526593924e-12,-1.8189894035458565e-12
VRE120_wind_hvy,6,19,25375.687206399976,1513.2404797307536,0.9403665221981022,1513.2404797307554,1513.2404797307545,1513.240479730754,-4.547473508864641e-13,-1.8189894035458565e-12
VRE120_wind_hvy,7,18,16674.47596079998,3.637978807091713e-12,0.9999999999999998,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12
VRE120_wind_hvy,8,17,12729.834394799978,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,13,7325.049348799987,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,14,8240.910919199983,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,19,22093.01744999997,814.8024704653762,0.9631194574344856,814.8024704653772,814.8024704653744,814.802470465374,2.2737367544323206e-12,-9.094947017729282e-13
VRE120_wind_hvy,12,15,10285.422772799982,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,16,13048.291331999979,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,14,11,5580.084951999987,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,20,24003.500644399966,4264.143930530747,0.8223532478157275,4264.14393053075,4264.143930530749,4264.143930530749,-1.8189894035458565e-12,-3.637978807091713e-12
VRE120_wind_hvy,16,20,10673.109353599975,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,17,11,5699.138032799995,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,17,17867.81303159998,806.632002465376,0.9548555829950306,806.6320024653751,806.632002465376,806.632002465376,0.0,9.094947017729282e-13
VRE120_wind_hvy,19,18,14673.605152799977,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,23,15740.251583599984,0.0,1.0,0.0,0.0,0.0,0.0,0.0
