scenario_id,scenario_pre_storage_eue_mwh,scenario_residual_eue_bound_mwh,n_events,max_event_duration_h,max_event_peak_shortfall_mw,total_storage_coverage_bound_mwh,storage_sufficiency_ratio,case
1,29464.531872399966,1779.4778133961372,27,8,1057.5103431999987,27685.05405900383,0.93960610604294,VRE120_base
2,40276.92264119996,2522.274648130762,34,9,1047.4009067999987,37754.6479930692,0.9373766791817734,VRE120_base
3,35615.93109359997,2519.0376033961365,31,8,1076.7977315999997,33096.89349020383,0.9292721676494708,VRE120_base
4,49491.39154559995,7004.091136661504,31,9,1259.4009067999987,42487.30040893845,0.8584785976323148,VRE120_base
5,54383.20719439995,9712.357466792258,28,10,1302.4009067999987,44670.84972760769,0.8214088876355865,VRE120_base
6,39633.035714399964,8239.837850261509,28,8,1332.3098683999997,31393.197864138456,0.7920967268407424,VRE120_base
7,36566.712325199966,676.5770517961282,25,8,887.4009067999987,35890.13527340384,0.981497460155042,VRE120_base
8,24945.436746799973,3.637978807091713e-12,27,7,822.4009067999987,24945.43674679997,0.9999999999999999,VRE120_base
9,13900.730931999982,0.0,21,5,684.4151787999999,13900.730931999984,1.0000000000000002,VRE120_base
10,19638.346831999974,0.0,26,6,928.415178799999,19638.34683199998,1.0000000000000004,VRE120_base
11,40313.85112839996,3237.7367637307543,28,9,1102.4009067999987,37076.11436466921,0.9196867410801678,VRE120_base
12,19869.128942399977,0.0,22,6,719.1027760000006,19869.128942399977,1.0,VRE120_base
13,23746.44494479997,0.0,30,7,894.5298223999998,23746.44494479997,1.0,VRE120_base
14,18393.798245999984,839.7710056653741,19,8,778.5207527999992,17554.02724033461,0.9543448832897797,VRE120_base
15,43791.13605639996,9853.506778661504,27,9,1552.4009067999987,33937.62927773846,0.77498855553848,VRE120_base
16,23056.623701599965,102.97820926537315,31,7,1028.5298223999998,22953.645492334592,0.9955336821818267,VRE120_base
17,14618.263687599972,1.8189894035458565e-12,22,7,628.4009067999987,14618.26368759997,0.9999999999999999,VRE120_base
18,34907.47428799997,3095.745364930739,26,8,1152.3098683999997,31811.72892306923,0.9113156873112715,VRE120_base
19,27280.860125999963,0.0,25,7,831.6539771999996,27280.86012599997,1.0000000000000002,VRE120_base
20,30448.88220039996,7.275957614183426e-12,32,7,921.9917112000003,30448.882200399952,0.9999999999999998,VRE120_base
1,14628.051111999986,514.1403548653761,19,7,963.5103431999987,14113.91075713461,0.9648524365324642,VRE120_wind_hvy
2,20296.354095999974,537.1403548653798,24,7,957.2009067999988,19759.213741134594,0.9735351308749959,VRE120_wind_hvy
3,18790.931141999976,0.0,20,7,869.5393583999994,18790.93114199998,1.0000000000000002,VRE120_wind_hvy
4,23930.226200799963,1722.0067020653805,29,7,1170.3002639999995,22208.219498734583,0.9280405171428001,VRE120_wind_hvy
5,28366.462050799964,2792.631010996134,27,7,1212.2009067999988,25573.83103980383,0.9015516631578883,VRE120_wind_hvy
6,25375.687206399976,1513.2404797307536,19,7,1322.3098683999997,23862.446726669223,0.9403665221981022,VRE120_wind_hvy
7,16674.47596079998,3.637978807091713e-12,18,7,797.2009067999988,16674.475960799977,0.9999999999999998,VRE120_wind_hvy
8,12729.834394799978,0.0,17,6,732.2009067999988,12729.834394799978,1.0,VRE120_wind_hvy
9,7325.049348799987,0.0,13,5,640.93624,7325.049348799987,1.0,VRE120_wind_hvy
10,8240.910919199983,0.0,14,5,704.6151787999988,8240.910919199983,1.0,VRE120_wind_hvy
11,22093.01744999997,814.8024704653762,19,6,1012.2009067999988,21278.214979534594,0.9631194574344856,VRE120_wind_hvy
12,10285.422772799982,0.0,15,6,610.0370979999998,10285.422772799982,1.0,VRE120_wind_hvy
13,13048.291331999979,0.0,16,6,863.3098683999997,13048.291331999983,1.0000000000000002,VRE120_wind_hvy
14,5580.084951999987,0.0,11,5,636.720752799999,5580.084951999987,1.0,VRE120_wind_hvy
15,24003.500644399966,4264.143930530747,20,8,1462.2009067999988,19739.35671386922,0.8223532478157275,VRE120_wind_hvy
16,10673.109353599975,0.0,20,5,721.5298223999998,10673.109353599977,1.0000000000000002,VRE120_wind_hvy
17,5699.138032799995,0.0,11,5,538.2009067999988,5699.138032799995,1.0,VRE120_wind_hvy
18,17867.81303159998,806.632002465376,17,7,1142.3098683999997,17061.181029134605,0.9548555829950306,VRE120_wind_hvy
19,14673.605152799977,0.0,18,6,810.6539771999996,14673.60515279998,1.0000000000000002,VRE120_wind_hvy
20,15740.251583599984,0.0,23,6,618.0773864000012,15740.251583599984,1.0,VRE120_wind_hvy
