case_name,load_scale,storage_power_pct_peak,storage_duration_hours,storage_power_mw,storage_energy_mwh,eue_m1_mwh,lolh_m1_hours,runtime_m1_s,eue_m3_mwh,lolh_m3_hours,runtime_m3_s,delta_eue_mwh,delta_lolh_hours,runtime_ratio_m3_vs_m1
storage120_p05_d2,1.2,0.05,2,492.0,984.0,34391.62468975996,100.5,1.1349999904632568,18463.849691845382,46.0,3694.9720001220703,15927.774997914581,54.5,3255.4819657874586
storage120_p05_d4,1.2,0.05,4,492.0,1968.0,34391.62468975996,100.5,1.5929999351501465,10972.687602893906,31.2,3731.3689999580383,23418.937086866055,69.3,2342.3535165469684
storage120_p05_d8,1.2,0.05,8,492.0,3936.0,34391.62468975996,100.5,0.5720000267028809,6179.232088501943,26.0,3663.736999988556,28212.39260125802,74.5,6405.134316351429
storage120_p05_d12,1.2,0.05,12,492.0,5904.0,34391.62468975996,100.5,0.5,6111.05607887999,25.9,3648.8710000514984,28280.56861087997,74.6,7297.742000102997
storage120_p10_d2,1.2,0.1,2,983.0,1966.0,34391.62468975996,100.5,0.47099995613098145,10664.699392743392,22.3,3666.986999988556,23726.92529701657,78.2,7785.535756968935
storage120_p10_d4,1.2,0.1,4,983.0,3932.0,34391.62468975996,100.5,1.5119998455047607,3245.3653570434426,7.7,3695.2269999980927,31146.25933271652,92.8,2443.933450776571
storage120_p10_d8,1.2,0.1,8,983.0,7864.0,34391.62468975996,100.5,0.4509999752044678,445.67268607999847,3.4,3760.5969998836517,33945.952003679966,97.1,8338.353008065527
storage120_p10_d12,1.2,0.1,12,983.0,11796.0,34391.62468975996,100.5,1.508000135421753,445.67268607999847,3.4,3635.9980001449585,33945.952003679966,97.1,2411.139040864909
storage120_p20_d2,1.2,0.2,2,1966.0,3932.0,34391.62468975996,100.5,1.3989999294281006,3245.3653570434435,5.9,3753.3280000686646,31146.25933271652,94.6,2682.8650388874526
storage120_p20_d4,1.2,0.2,4,1966.0,7864.0,34391.62468975996,100.5,1.6489999294281006,0.0,0.0,3719.8689999580383,34391.62468975996,100.5,2255.8333287789455
storage120_p20_d8,1.2,0.2,8,1966.0,15728.0,34391.62468975996,100.5,0.4830000400543213,0.0,0.0,3675.2809998989105,34391.62468975996,100.5,7609.276801479281
storage120_p20_d12,1.2,0.2,12,1966.0,23592.0,34391.62468975996,100.5,0.48399996757507324,0.0,0.0,3694.5930001735687,34391.62468975996,100.5,7633.457123322019
