case_name,model,n_scenarios,seed,load_scale,storage_power_pct_peak,storage_duration_hours,storage_power_mw,storage_energy_mwh,lolh_hours,eue_mwh,neue_ppm,cvar_eue_mwh,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,runtime_s,status,error_message
storage120_p05_d2,M1,10,42,1.2,0.05,2,492.0,984.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,1.1349999904632568,ok,
storage120_p05_d2,M3,10,42,1.2,0.05,2,492.0,984.0,46.0,18463.849691845382,409.637890552704,35930.58953605608,6128.957127205752,0.3319436211567854,3694.9720001220703,ok,
storage120_p05_d4,M1,10,42,1.2,0.05,4,492.0,1968.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,1.5929999351501465,ok,
storage120_p05_d4,M3,10,42,1.2,0.05,4,492.0,1968.0,31.2,10972.687602893906,243.43940610220744,25495.23824812927,4898.180763240402,0.44639754092229594,3731.3689999580383,ok,
storage120_p05_d8,M1,10,42,1.2,0.05,8,492.0,3936.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,0.5720000267028809,ok,
storage120_p05_d8,M3,10,42,1.2,0.05,8,492.0,3936.0,26.0,6179.232088501943,137.09208210720263,14621.282922073162,2820.092316980448,0.45638232657225447,3663.736999988556,ok,
storage120_p05_d12,M1,10,42,1.2,0.05,12,492.0,5904.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,0.5,ok,
storage120_p05_d12,M3,10,42,1.2,0.05,12,492.0,5904.0,25.9,6111.05607887999,135.57953314076624,14205.436869199984,2763.8278668546086,0.4522668146356058,3648.8710000514984,ok,
storage120_p10_d2,M1,10,42,1.2,0.1,2,983.0,1966.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,0.47099995613098145,ok,
storage120_p10_d2,M3,10,42,1.2,0.1,2,983.0,1966.0,22.3,10664.699392743392,236.60639766535473,25258.112699894184,4919.577041812937,0.4612954252756882,3666.986999988556,ok,
storage120_p10_d4,M1,10,42,1.2,0.1,4,983.0,3932.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,1.5119998455047607,ok,
storage120_p10_d4,M3,10,42,1.2,0.1,4,983.0,3932.0,7.7,3245.3653570434426,72.00148620789756,9712.357466792264,2284.704542896609,0.7039899338107176,3695.2269999980927,ok,
storage120_p10_d8,M1,10,42,1.2,0.1,8,983.0,7864.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,0.4509999752044678,ok,
storage120_p10_d8,M3,10,42,1.2,0.1,8,983.0,7864.0,3.4,445.67268607999847,9.887668175905816,1720.1353115999946,418.0812823054937,0.9380904313046635,3760.5969998836517,ok,
storage120_p10_d12,M1,10,42,1.2,0.1,12,983.0,11796.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,1.508000135421753,ok,
storage120_p10_d12,M3,10,42,1.2,0.1,12,983.0,11796.0,3.4,445.67268607999847,9.887668175905816,1720.1353115999946,418.0812823054937,0.9380904313046635,3635.9980001449585,ok,
storage120_p20_d2,M1,10,42,1.2,0.2,2,1966.0,3932.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,1.3989999294281006,ok,
storage120_p20_d2,M3,10,42,1.2,0.2,2,1966.0,3932.0,5.9,3245.3653570434435,72.00148620789757,9712.357466792264,2284.704542896609,0.7039899338107174,3753.3280000686646,ok,
storage120_p20_d4,M1,10,42,1.2,0.2,4,1966.0,7864.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,1.6489999294281006,ok,
storage120_p20_d4,M3,10,42,1.2,0.2,4,1966.0,7864.0,0.0,0.0,0.0,0.0,0.0,NaN,3719.8689999580383,ok,
storage120_p20_d8,M1,10,42,1.2,0.2,8,1966.0,15728.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,0.4830000400543213,ok,
storage120_p20_d8,M3,10,42,1.2,0.2,8,1966.0,15728.0,0.0,0.0,0.0,0.0,0.0,NaN,3675.2809998989105,ok,
storage120_p20_d12,M1,10,42,1.2,0.2,12,1966.0,23592.0,100.5,34391.62468975996,763.0105761105509,54383.20719439995,7859.162881407174,0.2285196745516714,0.48399996757507324,ok,
storage120_p20_d12,M3,10,42,1.2,0.2,12,1966.0,23592.0,0.0,0.0,0.0,0.0,0.0,NaN,3694.5930001735687,ok,
