hour,rel_hour,scenario_id,m1c_load_shed_mw,m2_load_shed_mw,m3_load_shed_mw,m1c_storage_discharge_mw,m2_storage_discharge_mw,m3_storage_discharge_mw,m1c_soc_mwh,m2_soc_mwh,m3_soc_mwh
4959,-24,15,0.0,0.0,0.0,81.51810040000055,81.51810040000055,145.51810040000055,3846.072377401905,3329.180049538334,3778.61045398498
4960,-23,15,0.0,0.0,0.0,1.8747472000013659,1.8747472000004564,65.87474720000046,3844.096220338896,3327.203892475326,3709.1723735050464
4961,-22,15,0.0,0.0,0.0,391.1158887999991,391.1158888,455.1158888,3431.8238744425166,2914.931546578946,3229.438104191741
4962,-21,15,0.0,0.0,0.0,717.7597103999997,717.7597103999997,781.7597103999997,2675.238708586902,2158.346380723331,2405.3910149192006
4963,-20,15,0.0,0.0,0.0,873.277386400001,873.277386400001,937.277386400001,1754.7235185392508,1237.83119067568,1417.4139014546242
4964,-19,15,0.0,0.0,0.0,771.789081599999,771.789081599999,878.1561999346193,941.1863948374017,424.294066973831,491.75599039075644
4965,-18,15,0.0,0.0,0.0,402.52069479999955,402.52069479999955,466.52069479999955,516.8923278635707,0.0,0.0
4966,-17,15,0.0,0.0,0.0,0.0,0.0,0.0,673.4786696124595,0.0,0.0
4967,-16,15,0.0,0.0,0.0,0.0,0.0,0.0,1260.2109530455364,0.0,0.0
4968,-15,15,0.0,0.0,0.0,0.0,0.0,0.0,2192.7666350291915,0.0,0.0
4969,-14,15,0.0,0.0,0.0,0.0,0.0,0.0,3125.3223170128467,0.0,0.0
4970,-13,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,185.29157707448113
4971,-12,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,530.5134106126133
4972,-11,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,916.6237959780103
4973,-10,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,1325.05114575451
