hour,rel_hour,scenario_id,m1c_load_shed_mw,m2_load_shed_mw,m3_load_shed_mw,m1c_storage_discharge_mw,m2_storage_discharge_mw,m3_storage_discharge_mw,m1c_soc_mwh,m2_soc_mwh,m3_soc_mwh
4975,-8,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3636.1209019102444
4976,-7,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3932.0
4977,-6,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,310.04537853575323,3932.0
4978,-5,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,1242.6010605194083,3932.0
4979,-4,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,2175.1567425030635,3932.0
4980,-3,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,2973.2159050453,3932.0
4981,-2,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,3624.2143630018313,3932.0
4982,-1,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,3932.0,3932.0
4983,0,15,0.0,202.3378843999999,0.0,202.3378843999999,0.0,202.3378843999999,3718.7171427853827,3932.0,3718.7171427853827
4984,1,15,91.69720880000023,1074.6972087999993,91.69720879999932,983.0,0.0,983.0,2682.5441628035437,3932.0,2682.5441628035437
4985,2,15,390.65397719999964,1373.6539771999996,390.65397719999964,983.0,0.0,983.0,1646.3711828217047,3932.0,1646.3711828217047
4986,3,15,479.20090679999885,479.20090679999885,479.20090679999885,983.0,983.0,983.0,610.1982028398656,2895.827020018161,610.1982028398656
4987,4,15,756.1522544653799,352.0370979999989,756.1522544653787,578.8848435346201,983.0,578.8848435346201,0.0,1859.654040036322,0.0
4988,5,15,1232.9195783999994,249.9195783999985,1232.9195783999985,0.0,983.0,0.0,0.0,823.4810600544829,0.0
4989,6,15,790.516429199999,9.29370126537924,790.516429199999,0.0,781.22272793462,0.0,0.0,0.0,0.0
4990,7,15,0.0,0.0,0.0,0.0,0.0,0.0,59.12365493865147,0.0,0.0
4991,8,15,0.0,0.0,0.0,0.0,0.0,0.0,991.6793369223066,0.0,0.0
4992,9,15,0.0,0.0,0.0,0.0,0.0,0.0,1924.2350189059616,0.0,275.6342549482483
4993,10,15,0.0,0.0,0.0,0.0,0.0,0.0,2856.790700889617,0.0,983.0368719217657
4994,11,15,0.0,0.0,0.0,0.0,0.0,0.0,3789.346382873272,0.0,1035.8283280619935
4995,12,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,1450.2120614404926
4996,13,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,2268.536162892802
4997,14,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,2885.074440710649
4998,15,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3817.630122694304
4999,16,15,0.0,0.0,0.0,0.0,0.0,0.0,3932.0,0.0,3932.0
