source_case,variant_name,experiment,power_mw,energy_mwh,duration_h,power_scale,load_scale,peak_load_mw,out_dir,status,description
VRE120_base,VRE120_base_dur2h,A,983.0,1966.0,2.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_dur2h,OK,"2h duration (983 MW, 1966 MWh)"
VRE120_base,VRE120_base_dur4h,A,983.0,3932.0,4.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_dur4h,OK,"4h duration base (983 MW, 3932 MWh)"
VRE120_base,VRE120_base_dur8h,A,983.0,7864.0,8.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_dur8h,OK,"8h duration (983 MW, 7864 MWh)"
VRE120_base,VRE120_base_dur12h,A,983.0,11796.0,12.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_dur12h,OK,"12h duration (983 MW, 11796 MWh)"
VRE120_base,VRE120_base_pwr0p5x,B,491.5,1966.0,4.0,0.5,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_pwr0p5x,OK,"0.5x power (491.5 MW, 1966 MWh)"
VRE120_base,VRE120_base_pwr1p0x,B,983.0,3932.0,4.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_pwr1p0x,OK,"1.0x power base (983 MW, 3932 MWh)"
VRE120_base,VRE120_base_pwr2p0x,B,1966.0,7864.0,4.0,2.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_pwr2p0x,OK,"2.0x power (1966 MW, 7864 MWh)"
VRE120_base,VRE120_base_ls1p225,C,983.0,3932.0,4.0,1.0,1.225,10034.999047325002,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_ls1p225,OK,Load scale 1.225 (base storage)
VRE120_base,VRE120_base_ls1p25,C,983.0,3932.0,4.0,1.0,1.25,10239.79494625,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_ls1p25,OK,Load scale 1.25  (base storage)
VRE120_base,VRE120_base_dur2h_ls1p225,C,983.0,1966.0,2.0,1.0,1.225,10034.999047325002,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_dur2h_ls1p225,OK,2h storage + load scale 1.225
VRE120_base,VRE120_base_pwr0p5x_ls1p225,C,491.5,1966.0,4.0,0.5,1.225,10034.999047325002,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_base_pwr0p5x_ls1p225,OK,0.5x power + load scale 1.225
VRE120_wind_hvy,VRE120_wind_hvy_dur2h,A,983.0,1966.0,2.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_dur2h,OK,"2h duration (983 MW, 1966 MWh)"
VRE120_wind_hvy,VRE120_wind_hvy_dur4h,A,983.0,3932.0,4.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_dur4h,OK,"4h duration base (983 MW, 3932 MWh)"
VRE120_wind_hvy,VRE120_wind_hvy_dur8h,A,983.0,7864.0,8.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_dur8h,OK,"8h duration (983 MW, 7864 MWh)"
VRE120_wind_hvy,VRE120_wind_hvy_dur12h,A,983.0,11796.0,12.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_dur12h,OK,"12h duration (983 MW, 11796 MWh)"
VRE120_wind_hvy,VRE120_wind_hvy_pwr0p5x,B,491.5,1966.0,4.0,0.5,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_pwr0p5x,OK,"0.5x power (491.5 MW, 1966 MWh)"
VRE120_wind_hvy,VRE120_wind_hvy_pwr1p0x,B,983.0,3932.0,4.0,1.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_pwr1p0x,OK,"1.0x power base (983 MW, 3932 MWh)"
VRE120_wind_hvy,VRE120_wind_hvy_pwr2p0x,B,1966.0,7864.0,4.0,2.0,1.2,9830.2031484,D:\MIT Dropbox\Shen Wang\MIT\RA\RA_assessment\RAChronoOps\data_processed\storage_robustness_cases\VRE120_wind_hvy_pwr2p0x,OK,"2.0x power (1966 MW, 7864 MWh)"
