model,case,n_scenarios,mean_lolh_h,mean_eue_mwh,cvar_eue_mwh,p95_eue_mwh,runtime_s
M1c,VRE120_base_dur12h,20,2.45,359.2778486399989,1964.9060367999973,1732.3738478599957,1.3029999732971191
M2,VRE120_base_dur12h,20,2.45,359.2778486399989,1964.9060367999982,1732.3738478599948,8.670000076293945
M3,VRE120_base_dur12h,20,2.45,359.2778486399989,1964.9060367999982,1732.3738478599948,195.39199995994568
M1c,VRE120_base_dur2h,20,17.05,8501.248418033245,25258.112699894187,21732.167701406186,2.3930001258850098
M2,VRE120_base_dur2h,20,17.65,8501.248418033243,25258.112699894184,21732.167701406186,8.305999994277954
M3,VRE120_base_dur2h,20,17.05,8501.248418033245,25258.112699894184,21732.167701406186,191.60599994659424
M1c,VRE120_base_dur2h_ls1p225,20,33.15,17258.519880224656,40369.63383910776,33973.684616671,2.1519999504089355
M2,VRE120_base_dur2h_ls1p225,20,34.6,17258.519880224652,40369.63383910775,33973.684616671,9.503999948501587
M3,VRE120_base_dur2h_ls1p225,20,33.15,17258.519880224652,40369.63383910776,33973.684616671,190.2369999885559
M1c,VRE120_base_dur4h,20,5.95,2479.1695846344096,9853.506778661507,9719.414932385727,2.375
M2,VRE120_base_dur4h,20,5.75,2479.1695846344096,9853.506778661507,9719.414932385725,8.03600001335144
M3,VRE120_base_dur4h,20,5.95,2479.16958463441,9853.506778661507,9719.414932385725,192.0699999332428
M1c,VRE120_base_dur8h,20,2.45,359.2778486399989,1964.9060367999973,1732.3738478599957,2.200000047683716
M2,VRE120_base_dur8h,20,2.45,359.2778486399989,1964.9060367999982,1732.3738478599948,8.604000091552734
M3,VRE120_base_dur8h,20,2.45,359.2778486399989,1964.9060367999982,1732.3738478599948,196.1010000705719
M1c,VRE120_base_ls1p225,20,13.25,6185.399824054335,21530.431535138483,17924.742321395504,2.427000045776367
M2,VRE120_base_ls1p225,20,13.05,6185.399824054335,21530.431535138483,17924.7423213955,7.992000102996826
M3,VRE120_base_ls1p225,20,13.25,6185.399824054334,21530.431535138483,17924.7423213955,192.6819999217987
M1c,VRE120_base_ls1p25,20,24.75,12779.729615990178,35460.71688733844,30271.577004025945,1.3899998664855957
M2,VRE120_base_ls1p25,20,24.1,12779.729615990178,35460.71688733844,30271.577004025945,8.27400016784668
M3,VRE120_base_ls1p25,20,24.75,12779.729615990178,35460.71688733844,30271.577004025945,182.6969997882843
M1c,VRE120_base_pwr0p5x,20,27.4,8770.14161598163,25513.81454749418,21744.952793786186,1.371999979019165
M2,VRE120_base_pwr0p5x,20,26.9,8770.141615981627,25513.814547494178,21744.952793786186,11.078999996185303
M3,VRE120_base_pwr0p5x,20,27.4,8770.141615981629,25513.81454749418,21744.95279378619,182.43700003623962
M1c,VRE120_base_pwr0p5x_ls1p225,20,50.3,17734.187901454847,40759.32800819236,34283.42286252419,2.05400013923645
M2,VRE120_base_pwr0p5x_ls1p225,20,49.1,17734.187901454847,40759.32800819236,34283.42286252418,10.444000005722046
M3,VRE120_base_pwr0p5x_ls1p225,20,50.3,17734.187901454847,40759.32800819237,34283.42286252418,181.16999983787537
