model,case,runtime_s
M1c,VRE120_base_dur12h,1.3029999732971191
M2,VRE120_base_dur12h,8.670000076293945
M3,VRE120_base_dur12h,195.39199995994568
Bound,VRE120_base_dur12h,1.3629999160766602
M1c,VRE120_base_dur2h,2.3930001258850098
M2,VRE120_base_dur2h,8.305999994277954
M3,VRE120_base_dur2h,191.60599994659424
Bound,VRE120_base_dur2h,1.2929999828338623
M1c,VRE120_base_dur2h_ls1p225,2.1519999504089355
M2,VRE120_base_dur2h_ls1p225,9.503999948501587
M3,VRE120_base_dur2h_ls1p225,190.2369999885559
Bound,VRE120_base_dur2h_ls1p225,1.3300001621246338
M1c,VRE120_base_dur4h,2.375
M2,VRE120_base_dur4h,8.03600001335144
M3,VRE120_base_dur4h,192.0699999332428
Bound,VRE120_base_dur4h,1.6990001201629639
M1c,VRE120_base_dur8h,2.200000047683716
M2,VRE120_base_dur8h,8.604000091552734
M3,VRE120_base_dur8h,196.1010000705719
Bound,VRE120_base_dur8h,1.2939999103546143
M1c,VRE120_base_ls1p225,2.427000045776367
M2,VRE120_base_ls1p225,7.992000102996826
M3,VRE120_base_ls1p225,192.6819999217987
Bound,VRE120_base_ls1p225,1.86899995803833
M1c,VRE120_base_ls1p25,1.3899998664855957
M2,VRE120_base_ls1p25,8.27400016784668
M3,VRE120_base_ls1p25,182.6969997882843
Bound,VRE120_base_ls1p25,1.8510000705718994
M1c,VRE120_base_pwr0p5x,1.371999979019165
M2,VRE120_base_pwr0p5x,11.078999996185303
M3,VRE120_base_pwr0p5x,182.43700003623962
Bound,VRE120_base_pwr0p5x,1.3579998016357422
M1c,VRE120_base_pwr0p5x_ls1p225,2.05400013923645
M2,VRE120_base_pwr0p5x_ls1p225,10.444000005722046
M3,VRE120_base_pwr0p5x_ls1p225,181.16999983787537
Bound,VRE120_base_pwr0p5x_ls1p225,1.3489999771118164
M1c,VRE120_base_pwr1p0x,1.1729998588562012
M2,VRE120_base_pwr1p0x,8.540000200271606
M3,VRE120_base_pwr1p0x,182.42599987983704
Bound,VRE120_base_pwr1p0x,1.8680000305175781
M1c,VRE120_base_pwr2p0x,1.440999984741211
M2,VRE120_base_pwr2p0x,5.604000091552734
M3,VRE120_base_pwr2p0x,188.9170000553131
Bound,VRE120_base_pwr2p0x,1.253000020980835
M1c,VRE120_wind_hvy_dur12h,2.122999906539917
M2,VRE120_wind_hvy_dur12h,7.696000099182129
M3,VRE120_wind_hvy_dur12h,181.32599997520447
Bound,VRE120_wind_hvy_dur12h,1.8629999160766602
M1c,VRE120_wind_hvy_dur2h,1.4000000953674316
M2,VRE120_wind_hvy_dur2h,7.638000011444092
M3,VRE120_wind_hvy_dur2h,175.7630000114441
Bound,VRE120_wind_hvy_dur2h,1.437000036239624
M1c,VRE120_wind_hvy_dur4h,2.0880000591278076
M2,VRE120_wind_hvy_dur4h,7.490000009536743
M3,VRE120_wind_hvy_dur4h,177.85099983215332
Bound,VRE120_wind_hvy_dur4h,1.2529997825622559
M1c,VRE120_wind_hvy_dur8h,1.2139999866485596
M2,VRE120_wind_hvy_dur8h,8.402000188827515
M3,VRE120_wind_hvy_dur8h,181.41899991035461
Bound,VRE120_wind_hvy_dur8h,1.2730000019073486
M1c,VRE120_wind_hvy_pwr0p5x,2.078000068664551
M2,VRE120_wind_hvy_pwr0p5x,10.406000137329102
M3,VRE120_wind_hvy_pwr0p5x,177.30999994277954
Bound,VRE120_wind_hvy_pwr0p5x,1.8459999561309814
M1c,VRE120_wind_hvy_pwr1p0x,1.5520000457763672
M2,VRE120_wind_hvy_pwr1p0x,7.435999870300293
M3,VRE120_wind_hvy_pwr1p0x,177.80200004577637
Bound,VRE120_wind_hvy_pwr1p0x,1.3240001201629639
M1c,VRE120_wind_hvy_pwr2p0x,2.3350000381469727
M2,VRE120_wind_hvy_pwr2p0x,6.0879998207092285
M3,VRE120_wind_hvy_pwr2p0x,186.0770001411438
Bound,VRE120_wind_hvy_pwr2p0x,1.3259999752044678
