model,case,scenario_id,eue_mwh,lolh_h
M1c,VRE120_base_dur12h,1,113.91124999999829,2
M1c,VRE120_base_dur12h,2,64.40090679999958,1
M1c,VRE120_base_dur12h,3,93.79773159999968,1
M1c,VRE120_base_dur12h,4,1059.614011999999,8
M1c,VRE120_base_dur12h,5,1404.8676487999937,13
M1c,VRE120_base_dur12h,6,1720.1353115999955,9
M1c,VRE120_base_dur12h,7,0.0,0
M1c,VRE120_base_dur12h,8,0.0,0
M1c,VRE120_base_dur12h,9,0.0,0
M1c,VRE120_base_dur12h,10,0.0,0
M1c,VRE120_base_dur12h,11,126.23800479999954,2
M1c,VRE120_base_dur12h,12,0.0,0
M1c,VRE120_base_dur12h,13,0.0,0
M1c,VRE120_base_dur12h,14,0.0,0
M1c,VRE120_base_dur12h,15,1964.9060367999973,6
M1c,VRE120_base_dur12h,16,63.42909079999845,2
M1c,VRE120_base_dur12h,17,0.0,0
M1c,VRE120_base_dur12h,18,574.2569795999971,5
M1c,VRE120_base_dur12h,19,0.0,0
M1c,VRE120_base_dur12h,20,0.0,0
M2,VRE120_base_dur12h,1,113.91124999999829,2
M2,VRE120_base_dur12h,2,64.40090679999958,1
M2,VRE120_base_dur12h,3,93.79773159999968,1
M2,VRE120_base_dur12h,4,1059.614011999999,8
M2,VRE120_base_dur12h,5,1404.8676487999937,13
M2,VRE120_base_dur12h,6,1720.1353115999946,9
M2,VRE120_base_dur12h,7,0.0,0
M2,VRE120_base_dur12h,8,0.0,0
M2,VRE120_base_dur12h,9,0.0,0
M2,VRE120_base_dur12h,10,0.0,0
M2,VRE120_base_dur12h,11,126.23800479999954,2
M2,VRE120_base_dur12h,12,0.0,0
M2,VRE120_base_dur12h,13,0.0,0
M2,VRE120_base_dur12h,14,0.0,0
M2,VRE120_base_dur12h,15,1964.9060367999982,6
M2,VRE120_base_dur12h,16,63.42909079999845,2
M2,VRE120_base_dur12h,17,0.0,0
M2,VRE120_base_dur12h,18,574.2569795999971,5
M2,VRE120_base_dur12h,19,0.0,0
M2,VRE120_base_dur12h,20,0.0,0
M3,VRE120_base_dur12h,1,113.91124999999829,2
M3,VRE120_base_dur12h,2,64.40090679999958,1
M3,VRE120_base_dur12h,3,93.79773159999968,1
M3,VRE120_base_dur12h,4,1059.614011999999,8
M3,VRE120_base_dur12h,5,1404.8676487999937,13
M3,VRE120_base_dur12h,6,1720.1353115999946,9
M3,VRE120_base_dur12h,7,0.0,0
M3,VRE120_base_dur12h,8,0.0,0
M3,VRE120_base_dur12h,9,0.0,0
M3,VRE120_base_dur12h,10,0.0,0
M3,VRE120_base_dur12h,11,126.23800479999954,2
M3,VRE120_base_dur12h,12,0.0,0
M3,VRE120_base_dur12h,13,0.0,0
M3,VRE120_base_dur12h,14,0.0,0
M3,VRE120_base_dur12h,15,1964.9060367999982,6
M3,VRE120_base_dur12h,16,63.42909079999845,2
M3,VRE120_base_dur12h,17,0.0,0
M3,VRE120_base_dur12h,18,574.2569795999971,5
M3,VRE120_base_dur12h,19,0.0,0
M3,VRE120_base_dur12h,20,0.0,0
M1c,VRE120_base_dur2h,1,8588.039075363442,14
M1c,VRE120_base_dur2h,2,10434.830031301502,25
M1c,VRE120_base_dur2h,3,11674.164112996128,20
M1c,VRE120_base_dur2h,4,19408.935900661498,33
M1c,VRE120_base_dur2h,5,25258.112699894187,42
M1c,VRE120_base_dur2h,6,16705.269653396128,26
M1c,VRE120_base_dur2h,7,8765.415165894186,22
