case_name,method,m3_lolh_hours,method_lolh_hours,lolh_error_h,lolh_rel_error,m3_eue_mwh,method_eue_mwh,eue_error_mwh,eue_rel_error,runtime_ratio_vs_m3
VRE120_base,M1,11.2,115.6,104.39999999999999,9.321428571428571,4707.447733675359,41846.39686943996,37138.949135764604,7.889402333686288,61.62499999999999
VRE120_base,M1b,11.2,103.8,92.6,8.267857142857142,4707.447733675359,39203.56292515265,34496.11519147729,7.327986871676706,123.24999999999999
VRE120_bal15,M1,3.6,63.8,60.199999999999996,16.72222222222222,698.6329009323001,21058.312823839977,20359.679922907675,29.142171655154552,153.66666666666669
VRE120_bal15,M1b,3.6,48.6,45.0,12.5,698.6329009323001,17635.23978837882,16936.60688744652,24.2424982631726,230.5
VRE120_bal20,M1,2.4,45.0,42.6,17.75,282.41669930615114,14921.989480719985,14639.572781413834,51.83678166829626,153.66666666666669
VRE120_bal20,M1b,2.4,26.4,24.0,10.0,282.41669930615114,10770.084132772292,10487.66743346614,37.135436605669994,153.66666666666669
VRE120_bal30,M1,1.0,31.2,30.2,30.2,82.64892631999973,10290.692391919987,10208.043465599987,123.51090232045522,220.5
VRE120_bal30,M1b,1.0,12.8,11.8,11.8,82.64892631999973,5856.148279332296,5773.499353012296,69.85570908275913,220.5
VRE120_solar_hvy,M1,2.8,53.4,50.6,18.071428571428573,236.36168351999913,19229.095862639988,18992.734179119987,80.3545392648761,225.0
VRE120_solar_hvy,M1b,2.8,26.2,23.4,8.357142857142858,236.36168351999913,12335.440525018828,12099.07884149883,51.18883340698112,225.0
VRE120_wind_hvy,M1,4.4,67.2,62.800000000000004,14.272727272727273,1113.183684558451,21202.404920319976,20089.221235761524,18.0466364306534,228.99999999999997
VRE120_wind_hvy,M1b,4.4,36.4,32.0,7.2727272727272725,1113.183684558451,13798.608819291514,12685.425134733063,11.395626176253913,76.33333333333333
