case_name,model,n_scenarios,seed,load_scale,wind_scale,solar_scale,available_vre_energy_share,vre_capacity_share_no_storage,vre_capacity_share_incl_storage,negative_net_load_hours,vre_exceeds_load_hours,net_load_peak_mw,lolh_hours,lolp,lolp_percent,lole_days,eue_mwh,neue_ppm,cvar_eue_mwh,p50_scenario_eue_mwh,p90_scenario_eue_mwh,p95_scenario_eue_mwh,p99_scenario_eue_mwh,n_shortage_events,mean_shortage_duration_h,max_shortage_duration_h,p95_shortage_duration_h,max_shortfall_mw,mean_shortfall_when_shedding_mw,lolh_ci95_halfwidth,lolh_ci95_rel_halfwidth,eue_ci95_halfwidth_mwh,eue_ci95_rel_halfwidth,p1_fire_scenarios,p1_fire_hours,runtime_s,status,error_message
VRE120_base,M1,3,42,1.2,1.0,1.0,0.2887,0.3928,0.3657,23,23,8548.4,107.0,0.01221461187214612,1.221461187214612,28.0,35119.128535733296,779.1509339344728,40276.92264119996,35615.93109359997,39344.724331679965,39810.823486439964,40183.70281024796,30.666666666666668,3.489130434782609,9.0,7.0,1060.5696605333324,328.2161545395635,20.115877642631784,0.18799885647319423,6137.028664195268,0.17474888814370534,0,0,0.7,ok,
VRE120_base,M1b,3,42,1.2,1.0,1.0,0.2887,0.3928,0.3657,23,23,8548.4,94.66666666666667,0.01080669710806697,1.0806697108066972,24.0,32369.317171765986,718.1437796652897,37527.111277232645,32866.11972963266,36594.91296771265,37061.012122472646,37433.89144628064,26.0,3.641025641025641,9.0,7.0,1060.5696605333324,341.9294067440069,22.356986479497735,0.23616535013553944,6137.028664195264,0.18959401063758813,3,43,0.3,ok,
VRE120_bal15,M1,3,42,1.2,1.5,1.5,0.4331,0.4924,0.4638,620,620,8437.8,57.666666666666664,0.006582952815829528,0.6582952815829528,21.0,17821.043960533312,395.3766401523522,19992.300417999977,19522.806076399986,19898.40154967998,19945.350983839977,19982.910531167978,21.0,2.746031746031746,6.0,5.0,959.8363271999993,309.0354444023118,13.115575134591356,0.22743771909695995,3804.842629271688,0.2135027912897772,0,0,0.2,ok,
VRE120_bal15,M1b,3,42,1.2,1.5,1.5,0.4331,0.4924,0.4638,620,620,8437.8,42.0,0.004794520547945206,0.4794520547945206,15.333333333333334,14090.821232598695,312.6181366406087,16262.077690065355,15792.583348465365,16168.178821745356,16215.128255905356,16252.687803233355,15.333333333333334,2.739130434782609,6.0,5.749999999999993,959.8363271999993,335.4957436333023,14.840880477024715,0.35335429707201704,3804.842629271686,0.27002277343986847,3,53,0.1,ok,
VRE120_bal20,M1,3,42,1.2,2.0,2.0,0.5774,0.564,0.5356,1684,1684,8383.4,40.666666666666664,0.004642313546423135,0.4642313546423135,18.333333333333332,12736.865906133322,282.5793628695664,14330.780840399988,13722.563896799984,14209.137451679988,14269.959146039988,14318.616501527988,18.333333333333332,2.2181818181818183,5.0,5.0,881.9281797333327,313.20162064262263,9.624200976935407,0.23666067976070676,2551.335870830895,0.20031111967680545,0,0,0.1,ok,
VRE120_bal20,M1b,3,42,1.2,2.0,2.0,0.5774,0.564,0.5356,1684,1684,8383.4,22.333333333333332,0.002549467275494673,0.2549467275494673,10.0,8371.475208065367,185.72905988076286,10387.651607265369,9107.641168865362,10131.649519585368,10259.650563425368,10362.051398497368,10.0,2.2333333333333334,5.0,5.0,870.4369849442286,374.8421734954641,13.2612183117205,0.5937858945546493,2792.833344730665,0.33361304612596276,3,61,0.1,ok,
VRE120_bal30,M1,3,42,1.2,3.0,3.0,0.8662,0.6599,0.6337,3492,3492,8331.0,28.333333333333332,0.0032343987823439876,0.3234398782343988,14.333333333333334,8889.329227333323,197.21813889773804,9895.185955199991,9242.959993599987,9764.740762879992,9829.96335903999,9882.141435967991,14.333333333333334,1.9767441860465116,4.0,4.0,821.4615130666662,313.7410315529408,7.275212100764561,0.2567721917916904,1382.462145868002,0.15551928728403297,0,0,0.4,ok,
VRE120_bal30,M1b,3,42,1.2,3.0,3.0,0.8662,0.6599,0.6337,3492,3492,8331.0,10.333333333333334,0.0011796042617960426,0.11796042617960427,4.0,4106.880308198705,91.11500658207613,5836.874406465375,3492.68920286537,5368.037365745375,5602.455886105373,5789.990702393374,4.0,2.5833333333333335,4.0,4.0,780.5491554666663,397.4400298256811,4.71125366660628,0.45592777418770447,1718.9856697239366,0.41856239790876465,3,60,0.1,ok,
VRE120_solar_hvy,M1,3,42,1.2,1.0,3.0,0.5499,0.5689,0.5405,1717,1717,8435.8,49.666666666666664,0.005669710806697108,0.5669710806697108,23.0,16640.70235293332,369.1896502050503,18359.25526879999,18116.20450359998,18310.645115759988,18334.95019227999,18354.39425349599,23.0,2.1594202898550723,4.0,4.0,1003.3150575999995,335.04769838120774,10.873633758367584,0.21893222332283727,3133.1933398293654,0.18828492171648425,2,5,0.1,ok,
VRE120_solar_hvy,M1b,3,42,1.2,1.0,3.0,0.5499,0.5689,0.5405,1717,1717,8435.8,23.333333333333332,0.002663622526636225,0.2663622526636225,9.666666666666666,9952.614948332035,220.80813378364155,12525.01693566537,10122.518787265366,12044.51730598537,12284.767120825367,12476.966972697368,9.666666666666666,2.413793103448276,4.0,4.0,993.8693666666665,426.54064064280146,11.334909694293016,0.4857818440411293,3011.68531624919,0.30260241473060506,3,90,0.1,ok,
