case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_wind_hvy,1,HOPE-ED,M1c,514.1403548653747,514.140354865377,2.3874235921539366e-12,3.0,2.0,-1.0
VRE120_wind_hvy,2,HOPE-ED,M1c,537.1403548653743,537.140354865377,2.7284841053187847e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,M1c,1722.0067020653748,1722.006702065376,1.1368683772161603e-12,5.0,7.0,2.0
VRE120_wind_hvy,5,HOPE-ED,M1c,2792.631010996133,2792.631010996136,2.7284841053187847e-12,9.0,11.0,2.0
VRE120_wind_hvy,6,HOPE-ED,M1c,1513.2404797307533,1513.2404797307554,2.0463630789890885e-12,6.0,9.0,3.0
VRE120_wind_hvy,7,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,8,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,9,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,10,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,11,HOPE-ED,M1c,814.8024704653753,814.8024704653772,1.8189894035458565e-12,2.0,3.0,1.0
VRE120_wind_hvy,12,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,13,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,14,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,15,HOPE-ED,M1c,4264.1439305307495,4264.14393053075,9.094947017729282e-13,8.0,8.0,0.0
VRE120_wind_hvy,16,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,17,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,18,HOPE-ED,M1c,806.632002465374,806.6320024653751,1.1368683772161603e-12,4.0,3.0,-1.0
VRE120_wind_hvy,19,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,20,HOPE-ED,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,1,HOPE-ED,M2,514.1403548653747,514.1403548653743,-3.410605131648481e-13,3.0,1.0,-2.0
VRE120_wind_hvy,2,HOPE-ED,M2,537.1403548653743,537.1403548653743,0.0,2.0,2.0,0.0
VRE120_wind_hvy,3,HOPE-ED,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,HOPE-ED,M2,1722.0067020653748,1722.0067020653742,-6.821210263296962e-13,5.0,6.0,1.0
VRE120_wind_hvy,5,HOPE-ED,M2,2792.631010996133,2792.631010996133,0.0,9.0,10.0,1.0
VRE120_wind_hvy,6,HOPE-ED,M2,1513.2404797307533,1513.2404797307545,1.1368683772161603e-12,6.0,6.0,0.0
