model,case,scenario_id,lolh,eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,runtime_s
M1c,VRE120_wind_hvy,1,2.0,514.140354865377,265.623925665378,1.0,2.0,0.0
M1c,VRE120_wind_hvy,2,2.0,537.140354865377,273.51642919999904,1.0,2.0,0.0
M1c,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,0.0
M1c,VRE120_wind_hvy,4,7.0,1722.006702065376,573.3940592653798,2.0,3.5,0.0
M1c,VRE120_wind_hvy,5,11.0,2792.631010996136,970.9195783999994,5.0,2.2,0.0
M2,VRE120_wind_hvy,1,1.0,514.1403548653743,514.1403548653743,1.0,1.0,1.0340001583099365
M2,VRE120_wind_hvy,2,2.0,537.1403548653743,273.51642919999904,2.0,1.0,0.36099982261657715
M2,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,0.2800002098083496
M2,VRE120_wind_hvy,4,6.0,1722.0067020653742,632.4311572653769,3.0,2.0,0.3639998435974121
M2,VRE120_wind_hvy,5,10.0,2792.631010996133,1123.6539771999996,5.0,2.0,0.38000011444091797
M3,VRE120_wind_hvy,1,2.0,514.1403548653742,265.62392566537517,1.0,2.0,8.293999910354614
M3,VRE120_wind_hvy,2,2.0,537.1403548653741,273.51642919999904,1.0,2.0,7.516000032424927
M3,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,8.446000099182129
M3,VRE120_wind_hvy,4,7.0,1722.0067020653742,573.3940592653779,2.0,3.5,8.216000080108643
M3,VRE120_wind_hvy,5,11.0,2792.6310109961328,970.9195783999985,5.0,2.2,8.47100019454956
HOPE-ED,VRE120_wind_hvy,1,3.0,514.1403548653747,248.51642919999904,3.0,1.0,117.35
HOPE-ED,VRE120_wind_hvy,2,2.0,537.1403548653743,484.8024704653744,1.0,2.0,118.39
HOPE-ED,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,118.19
HOPE-ED,VRE120_wind_hvy,4,5.0,1722.0067020653748,1080.6539771999996,2.0,2.5,117.27
HOPE-ED,VRE120_wind_hvy,5,9.0,2792.631010996133,1123.6539771999996,6.0,1.5,116.37
HOPE-UC,VRE120_wind_hvy,1,2.0,514.1403548653761,410.8024704653762,1.0,2.0,535.8
HOPE-UC,VRE120_wind_hvy,2,2.0,537.1403548653759,484.8024704653761,1.0,2.0,555.28
HOPE-UC,VRE120_wind_hvy,3,0.0,0.0,0.0,0.0,0.0,547.0
HOPE-UC,VRE120_wind_hvy,4,6.0,1722.0067020653746,818.4141864653772,2.0,3.0,529.79
HOPE-UC,VRE120_wind_hvy,5,11.0,2792.631010996133,947.4141864653775,6.0,1.8333333333333333,544.34
