case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_wind_hvy,1,M3,M1c,514.1403548653742,514.140354865377,2.8421709430404007e-12,2.0,2.0,0.0
VRE120_wind_hvy,2,M3,M1c,537.1403548653741,537.140354865377,2.9558577807620168e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,M1c,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,M1c,1722.0067020653742,1722.006702065376,1.8189894035458565e-12,7.0,7.0,0.0
VRE120_wind_hvy,5,M3,M1c,2792.6310109961328,2792.631010996136,3.183231456205249e-12,11.0,11.0,0.0
VRE120_wind_hvy,1,M3,M2,514.1403548653742,514.1403548653743,1.1368683772161603e-13,2.0,1.0,-1.0
VRE120_wind_hvy,2,M3,M2,537.1403548653741,537.1403548653743,2.2737367544323206e-13,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,M2,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,M2,1722.0067020653742,1722.0067020653742,0.0,7.0,6.0,-1.0
VRE120_wind_hvy,5,M3,M2,2792.6310109961328,2792.631010996133,4.547473508864641e-13,11.0,10.0,-1.0
VRE120_wind_hvy,1,M3,HOPE-ED,514.1403548653742,514.1403548653747,4.547473508864641e-13,2.0,3.0,1.0
VRE120_wind_hvy,2,M3,HOPE-ED,537.1403548653741,537.1403548653743,2.2737367544323206e-13,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,HOPE-ED,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,HOPE-ED,1722.0067020653742,1722.0067020653748,6.821210263296962e-13,7.0,5.0,-2.0
VRE120_wind_hvy,5,M3,HOPE-ED,2792.6310109961328,2792.631010996133,4.547473508864641e-13,11.0,9.0,-2.0
VRE120_wind_hvy,1,M3,HOPE-UC,514.1403548653742,514.1403548653761,1.9326762412674725e-12,2.0,2.0,0.0
VRE120_wind_hvy,2,M3,HOPE-UC,537.1403548653741,537.1403548653759,1.8189894035458565e-12,2.0,2.0,0.0
VRE120_wind_hvy,3,M3,HOPE-UC,0.0,0.0,0.0,0.0,0.0,0.0
VRE120_wind_hvy,4,M3,HOPE-UC,1722.0067020653742,1722.0067020653746,4.547473508864641e-13,7.0,6.0,-1.0
VRE120_wind_hvy,5,M3,HOPE-UC,2792.6310109961328,2792.631010996133,4.547473508864641e-13,11.0,11.0,0.0
